global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
4,0,80000,-16.737804412841797,-0.6513313055038452,6273.72412109375,0.01171875
4,49,80049,-16.29214859008789,-0.6247798204421997,6110.27392578125,0.01171875
4,99,80099,-15.887495040893555,-0.6422319412231445,5945.65234375,0.015625
4,149,80149,-15.458642959594727,-0.6295789480209351,5783.3349609375,0.01171875
4,199,80199,-15.05827522277832,-0.6393804550170898,5623.36865234375,0.0078125
4,249,80249,-14.654264450073242,-0.6393347382545471,5465.822265625,0.015625
4,299,80299,-14.242115020751953,-0.6248772144317627,5310.72216796875,0.015625
4,349,80349,-13.845963478088379,-0.6199706792831421,5158.13720703125,0.01171875
4,399,80399,-13.510393142700195,-0.6691805124282837,5008.07275390625,0.0078125
4,449,80449,-13.102455139160156,-0.639420211315155,4860.58349609375,0.0078125
4,499,80499,-12.696158409118652,-0.6044909954071045,4715.75,0.015625
4,549,80549,-12.33613395690918,-0.6090959310531616,4573.54443359375,0.01953125
4,599,80599,-11.9976806640625,-0.6283887028694153,4434.02392578125,0.01171875
4,649,80649,-11.636201858520508,-0.6177952885627747,4297.1787109375,0.01171875
4,699,80699,-11.283390045166016,-0.6088796854019165,4163.05859375,0.01171875
4,749,80749,-10.928277969360352,-0.5906063318252563,4031.692138671875,0.0078125
4,799,80799,-10.602777481079102,-0.5948485136032104,3903.092041015625,0.015625
4,849,80849,-10.248631477355957,-0.563223123550415,3777.30908203125,0.015625
4,899,80899,-9.934316635131836,-0.5643080472946167,3654.30322265625,0.01171875
4,949,80949,-9.608626365661621,-0.5469686388969421,3534.046630859375,0.01171875
4,999,80999,-9.318893432617188,-0.5583786964416504,3416.600830078125,0.0078125
4,1049,81049,-9.027762413024902,-0.5613517761230469,3301.89990234375,0.015625
4,1099,81099,-8.691134452819824,-0.5116844177246094,3189.9853515625,0.01953125
4,1149,81149,-8.377901077270508,-0.47831979393959045,3080.8369140625,0.01171875
4,1199,81199,-8.1546630859375,-0.5279451012611389,2974.419677734375,0.01171875
4,1249,81249,-7.825911521911621,-0.464938759803772,2870.779296875,0.01171875
4,1299,81299,-7.568790435791016,-0.4665098190307617,2769.889404296875,0.0078125
4,1349,81349,-7.307682514190674,-0.4570656418800354,2671.740478515625,0.015625
4,1399,81399,-7.108935356140137,-0.5030307173728943,2576.302734375,0.015625
4,1449,81449,-6.7846221923828125,-0.4165281057357788,2483.556640625,0.01171875
4,1499,81499,-6.57991886138916,-0.44296520948410034,2393.411865234375,0.01171875
4,1549,81549,-6.356261253356934,-0.4433537423610687,2306.033935546875,0.01171875
4,1599,81599,-6.089066505432129,-0.3931976556777954,2221.388916015625,0.01171875
4,1649,81649,-5.856564521789551,-0.3711779713630676,2139.300537109375,0.01953125
4,1699,81699,-5.635613441467285,-0.3539074659347534,2059.865234375,0.015625
4,1749,81749,-5.412365913391113,-0.3278062343597412,1982.97802734375,0.01171875
4,1799,81799,-5.204672813415527,-0.3106582760810852,1908.665771484375,0.0078125
4,1849,81849,-5.017359733581543,-0.3073570728302002,1836.901123046875,0.0078125
