global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
1,0,20000,-180.13568115234375,-0.3202950954437256,64913.35546875,0.00390625
1,49,20049,-81.9188232421875,-0.31253719329833984,29459.87109375,0.0078125
1,99,20099,-61.455787658691406,-0.30221614241600037,22076.439453125,0.00390625
1,149,20149,-52.00941467285156,-0.2935771346092224,18669.41796875,0.01171875
1,199,20199,-46.30492401123047,-0.2786601185798645,16615.482421875,0.0078125
1,249,20249,-42.554168701171875,-0.2720123827457428,15263.8583984375,0.01171875
1,299,20299,-39.41839599609375,-0.2587427794933319,14136.6357421875,0.0078125
1,349,20349,-37.228172302246094,-0.25130340456962585,13348.6484375,0.0078125
1,399,20399,-35.405357360839844,-0.24723628163337708,12692.08203125,0.0078125
1,449,20449,-33.86260986328125,-0.24071064591407776,12137.5048828125,0.0078125
1,499,20499,-32.55398178100586,-0.23332133889198303,11667.7578125,0.0078125
1,549,20549,-31.514171600341797,-0.2233760952949524,11295.9765625,0.00390625
1,599,20599,-30.628141403198242,-0.22358408570289612,10976.044921875,0.0078125
1,649,20649,-29.660533905029297,-0.2129298746585846,10630.5859375,0.00390625
1,699,20699,-28.919357299804688,-0.21955746412277222,10360.6279296875,0.01171875
1,749,20749,-28.084373474121094,-0.20838019251823425,10063.234375,0.0078125
1,799,20799,-27.518844604492188,-0.20801502466201782,9859.2099609375,0.01171875
1,849,20849,-27.059024810791016,-0.20379284024238586,9694.7392578125,0.01171875
1,899,20899,-26.445796966552734,-0.2009795606136322,9474.3798828125,0.01171875
1,949,20949,-25.891273498535156,-0.18841224908828735,9278.732421875,0.0078125
1,999,20999,-25.767242431640625,-0.18666601181030273,9234.587890625,0.0078125
1,1049,21049,-25.259654998779297,-0.17982998490333557,9053.81640625,0.0078125
1,1099,21099,-24.87041473388672,-0.17455285787582397,8915.2060546875,0.00390625
1,1149,21149,-24.63943862915039,-0.1763973832130432,8831.158203125,0.0078125
1,1199,21199,-24.148366928100586,-0.16626454889774323,8657.5390625,0.00390625
1,1249,21249,-23.850933074951172,-0.17745137214660645,8546.126953125,0.01171875
1,1299,21299,-23.750255584716797,-0.16803237795829773,8513.1826171875,0.0078125
1,1349,21349,-23.2171630859375,-0.17200309038162231,8319.302734375,0.01171875
1,1399,21399,-23.098358154296875,-0.1621488630771637,8279.9716796875,0.0078125
1,1449,21449,-22.828399658203125,-0.16733019053936005,8180.646484375,0.01171875
1,1499,21499,-22.60950469970703,-0.15941031277179718,8104.484375,0.0078125
1,1549,21549,-22.274948120117188,-0.15683205425739288,7984.640625,0.0078125
1,1599,21599,-22.271644592285156,-0.15428704023361206,7984.3662109375,0.0078125
1,1649,21649,-21.98812484741211,-0.1529006063938141,7882.5166015625,0.0078125
1,1699,21699,-21.808269500732422,-0.15104074776172638,7818.2607421875,0.0078125
1,1749,21749,-21.727861404418945,-0.14308208227157593,7792.10546875,0.00390625
1,1799,21799,-21.39897918701172,-0.14817652106285095,7671.5390625,0.0078125
1,1849,21849,-21.317039489746094,-0.1468961238861084,7642.421875,0.0078125
1,1899,21899,-21.393115997314453,-0.15163050591945648,7668.1767578125,0.01171875
1,1949,21949,-21.124387741088867,-0.14438246190547943,7573.7822265625,0.0078125
1,1999,21999,-20.882465362548828,-0.1505013108253479,7484.2392578125,0.01171875
1,2049,22049,-20.8247013092041,-0.14023905992507935,7467.0908203125,0.0078125
1,2099,22099,-20.648853302001953,-0.14003947377204895,7403.68212890625,0.0078125
1,2149,22149,-20.43740463256836,-0.13763411343097687,7328.216796875,0.0078125
1,2199,22199,-20.263195037841797,-0.13795781135559082,7265.2109375,0.0078125
1,2249,22249,-20.25924301147461,-0.13495153188705444,7264.869140625,0.0078125
1,2299,22299,-20.081180572509766,-0.12830576300621033,7202.98828125,0.00390625
1,2349,22349,-20.10262107849121,-0.13384632766246796,7208.7275390625,0.0078125
1,2399,22399,-19.765422821044922,-0.1269715428352356,7089.4814453125,0.00390625
1,2449,22449,-19.78048324584961,-0.1415260136127472,7089.6640625,0.01171875
1,2499,22499,-19.557373046875,-0.1331665813922882,7012.138671875,0.0078125
1,2549,22549,-19.332918167114258,-0.13975147902965546,6928.7333984375,0.01171875
1,2599,22599,-19.195518493652344,-0.1388886570930481,6879.443359375,0.01171875
1,2649,22649,-19.2353515625,-0.13802653551101685,6894.134765625,0.01171875
1,2699,22699,-18.92132568359375,-0.13006669282913208,6783.64453125,0.0078125
1,2749,22749,-18.85294532775879,-0.12990690767765045,6759.01708984375,0.0078125
1,2799,22799,-18.844369888305664,-0.12878814339637756,6756.3251953125,0.0078125
1,2849,22849,-18.75594711303711,-0.11987529695034027,6727.6220703125,0.00390625
1,2899,22899,-18.530908584594727,-0.12700098752975464,6643.810546875,0.0078125
1,2949,22949,-18.432567596435547,-0.11989367753267288,6610.8759765625,0.00390625
1,2999,22999,-18.428287506103516,-0.13428235054016113,6604.1357421875,0.01171875
1,3049,23049,-18.122209548950195,-0.1265029013156891,6496.4501953125,0.0078125
1,3099,23099,-18.231752395629883,-0.13167604804039001,6534.1279296875,0.01171875
1,3149,23149,-18.07485580444336,-0.12582695484161377,6479.60009765625,0.0078125
1,3199,23199,-17.955400466918945,-0.13329802453517914,6433.779296875,0.01171875
1,3249,23249,-17.945545196533203,-0.12472187727689743,6433.31787109375,0.0078125
1,3299,23299,-17.714962005615234,-0.12315407395362854,6350.64306640625,0.0078125
1,3349,23349,-17.738285064697266,-0.1236581951379776,6358.880859375,0.0078125
1,3399,23399,-17.448482513427734,-0.11478649079799652,6257.46435546875,0.00390625
1,3449,23449,-17.313241958618164,-0.12489375472068787,6204.994140625,0.0078125
1,3499,23499,-17.256593704223633,-0.11330673098564148,6188.7265625,0.00390625
1,3549,23549,-17.024738311767578,-0.1296621561050415,6099.1220703125,0.01171875
1,3599,23599,-17.078998565673828,-0.12144331634044647,6121.677734375,0.0078125
1,3649,23649,-17.047454833984375,-0.1302463412284851,6107.11279296875,0.01171875
1,3699,23699,-16.770877838134766,-0.1210138350725174,6010.6015625,0.0078125
1,3749,23749,-16.67626190185547,-0.12891946732997894,5973.59033203125,0.01171875
1,3799,23799,-16.627670288085938,-0.12044894695281982,5959.107421875,0.0078125
1,3849,23849,-16.566131591796875,-0.11964379251003265,5937.1826171875,0.0078125
1,3899,23899,-16.45421600341797,-0.11907044053077698,5896.9873046875,0.0078125
1,3949,23949,-16.374740600585938,-0.12030602246522903,5867.8505859375,0.0078125
1,3999,23999,-16.20429801940918,-0.11816959828138351,5807.09228515625,0.0078125
1,4049,24049,-15.946399688720703,-0.11229178309440613,5716.11328125,0.00390625
1,4099,24099,-15.888066291809082,-0.11630082875490189,5693.607421875,0.0078125
1,4149,24149,-15.72628402709961,-0.11055056005716324,5637.27978515625,0.00390625
1,4199,24199,-15.78123664855957,-0.12743660807609558,5651.021484375,0.01171875
1,4249,24249,-15.56669807434082,-0.1176677793264389,5577.10009765625,0.0078125
1,4299,24299,-15.338994979858398,-0.12558594346046448,5492.041015625,0.01171875
1,4349,24349,-15.307779312133789,-0.1260351836681366,5480.60986328125,0.01171875
1,4399,24399,-15.288558006286621,-0.12533709406852722,5473.9228515625,0.01171875
1,4449,24449,-15.046270370483398,-0.11675123870372772,5389.556640625,0.0078125
1,4499,24499,-14.958425521850586,-0.11723130941390991,5357.67138671875,0.0078125
1,4549,24549,-14.92803955078125,-0.11501961946487427,5347.5,0.0078125
1,4599,24599,-14.797378540039062,-0.10615682601928711,5303.53125,0.00390625
1,4649,24649,-14.628030776977539,-0.11404268443584442,5239.5498046875,0.0078125
1,4699,24699,-14.452272415161133,-0.10816912353038788,5178.2216796875,0.00390625
1,4749,24749,-14.400764465332031,-0.12568703293800354,5153.302734375,0.01171875
1,4799,24799,-14.226446151733398,-0.11532634496688843,5094.1142578125,0.0078125
1,4849,24849,-14.243917465209961,-0.12351260334253311,5097.46630859375,0.01171875
1,4899,24899,-14.135705947875977,-0.11524336785078049,5061.38720703125,0.0078125
1,4949,24949,-13.951129913330078,-0.12293730676174164,4991.9775390625,0.01171875
1,4999,24999,-13.888197898864746,-0.11473656445741653,4972.2197265625,0.0078125
1,5049,25049,-13.71949291229248,-0.11612705886363983,4910.8154296875,0.0078125
1,5099,25099,-13.515642166137695,-0.11556948721408844,4837.42626953125,0.0078125
1,5149,25149,-13.48516845703125,-0.10764628648757935,4829.2861328125,0.00390625
1,5199,25199,-13.362834930419922,-0.11715042591094971,4781.6923828125,0.0078125
1,5249,25249,-13.215498924255371,-0.10957850515842438,4731.2373046875,0.00390625
1,5299,25299,-13.033733367919922,-0.12498360127210617,4660.05859375,0.01171875
1,5349,25349,-12.802682876586914,-0.11473207920789719,4580.3505859375,0.0078125
1,5399,25399,-12.724042892456055,-0.12418261170387268,4548.5498046875,0.01171875
1,5449,25449,-12.595687866210938,-0.11531846225261688,4505.41357421875,0.0078125
1,5499,25499,-12.566235542297363,-0.12671968340873718,4490.66552734375,0.01171875
1,5549,25549,-12.396646499633789,-0.11473707854747772,4433.76953125,0.0078125
1,5599,25599,-12.219559669494629,-0.11576040089130402,4369.4716796875,0.0078125
1,5649,25649,-12.039518356323242,-0.11846156418323517,4303.50146484375,0.0078125
1,5699,25699,-11.929183006286621,-0.11667545884847641,4264.3154296875,0.0078125
1,5749,25749,-11.862217903137207,-0.11929924786090851,4239.19384765625,0.0078125
1,5799,25799,-11.639007568359375,-0.1087934821844101,4162.4072265625,0.00390625
1,5849,25849,-11.500760078430176,-0.11491240561008453,4110.291015625,0.0078125
1,5899,25899,-11.305765151977539,-0.11017964780330658,4041.606689453125,0.00390625
1,5949,25949,-11.150688171386719,-0.1262790709733963,3979.81201171875,0.01171875
1,5999,25999,-10.885122299194336,-0.11471555382013321,3888.1171875,0.0078125
1,6049,26049,-10.784481048583984,-0.1258493959903717,3847.76611328125,0.01171875
1,6099,26099,-10.540035247802734,-0.1274002343416214,3758.961181640625,0.01171875
1,6149,26149,-10.393290519714355,-0.12305711954832077,3707.5546875,0.01171875
1,6199,26199,-10.179882049560547,-0.12021899223327637,3631.53857421875,0.0078125
1,6249,26249,-10.052539825439453,-0.11709613353013992,3586.695556640625,0.0078125
