communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.685881495475769,0.8833775520324707,-0.6859912872314453,0.8797832131385803
20,1,-1.4140080213546753,0.8836817145347595,-1.4617998600006104,0.8803362250328064
40,2,-0.6205799579620361,0.8836817145347595,-0.621972918510437,0.8803362250328064
60,3,-0.5986030101776123,0.8836817145347595,-0.6004239916801453,0.8803362250328064
80,4,-0.5752701163291931,0.8836817145347595,-0.5776193737983704,0.8803362250328064
100,5,-0.5361008048057556,0.8836817145347595,-0.5395260453224182,0.8803362250328064
120,6,-0.5055577754974365,0.8836817145347595,-0.5093598365783691,0.8803362250328064
140,7,-0.45250844955444336,0.8836817145347595,-0.45642635226249695,0.8803362250328064
160,8,-0.4060766398906708,0.8836817145347595,-0.41106748580932617,0.8803362250328064
180,9,-0.3564334213733673,0.8836817145347595,-0.362224817276001,0.8803362250328064
200,10,-0.3168582320213318,0.8836817145347595,-0.32464712858200073,0.8803362250328064
