z,yz
-2.359294,-0.5660484
0.6208241,1.3238881
0.25853312,0.55925447
-4.9933186,-3.5580318
0.17030755,-0.58173525
0.4231507,0.9773084
2.1296866,0.2684133
-3.5908124,-1.7647715
-1.2353462,1.2431321
0.31309912,0.08608032
-2.8598125,-0.8971211
0.6360122,1.085588
-0.031032952,-1.3399813
-0.09544674,-1.9733186
-0.15075126,-1.7424874
0.08377328,0.77119184
2.8089647,0.76707715
2.422177,0.5395566
0.6084307,-0.36966193
0.6915272,-1.7699236
0.12028558,-0.73947084
2.0691898,1.4652938
-0.2090768,0.24360369
-0.4944254,2.0602925
-0.24003832,1.7788925
0.07617384,-0.7284399
0.5349234,-1.1769371
-0.01803875,-0.5595278
0.112382695,2.059507
0.030003596,-0.27329823
0.25522792,-1.0431126
0.08490212,-1.3014865
0.07165952,1.1418134
-0.10601265,-0.6850017
0.40743798,-1.1118039
0.105824195,0.9575221
4.1497927,2.5949397
0.10628532,0.8641146
3.4288495,1.5531123
2.0307257,2.1807802
