epoch,lls,kls,elbos,errors
0,-8410.907802592405,11820.758099451068,-20231.665902043474,0.38067572013469697
1,-8759.75431727193,11533.932860304903,-20293.687177576834,0.3293923870370573
2,-8847.935352407623,11071.53448193115,-19919.46983433877,0.33250157308933376
3,-10865.931304442165,10761.933584389548,-21627.86488883171,0.2186765694605875
4,-10268.552066078078,10386.767585863287,-20655.319651941365,0.31092078366251835
5,-4315.749345361815,9929.036584304751,-14244.785929666567,0.13744480897840428
6,-5754.212655997157,9581.60391131061,-15335.816567307767,0.18134862776505856
7,-13175.71522202974,9344.467046735444,-22520.182268765184,0.36764806862440885
8,-6576.817487639706,8820.311347453653,-15397.12883509336,0.3375345674566317
9,-20668.012605821947,8362.831947250985,-29030.84455307293,0.2934358425342339
10,-8161.2916478991465,8022.183468317079,-16183.475116216225,0.3460544524859178
11,-32612.808332577144,7694.770420412379,-40307.578752989524,0.234152147980088
12,-7775.480814911578,7512.008203677817,-15287.489018589395,0.23471100043714593
13,-12558.110982985327,7278.1548022319585,-19836.265785217285,0.30580910862450006
14,-8645.068610339675,7041.366314534693,-15686.434924874367,0.39974252763249174
15,-13430.828957754056,6683.6453317498,-20114.474289503858,0.3133698759120748
16,-9463.962790499125,6517.7446528266955,-15981.70744332582,0.410319979276055
17,-16901.934122278373,6283.655422174321,-23185.589544452694,0.5232363446634344
18,-20307.408584642904,6094.0508953700455,-26401.45948001295,0.5549625145362455
19,-2498.6341272396476,5711.1709796824325,-8209.80510692208,0.21132996206147267
20,-5900.078754360438,5646.615386145404,-11546.694140505842,0.30773884487625414
21,-7274.525647417144,5454.528456642875,-12729.054104060018,0.4054357130691926
22,-3732.762693653172,5150.534408515381,-8883.297102168553,0.14715320954527675
23,-13460.223534197741,5122.676846405065,-18582.900380602805,0.3813163979351324
24,-16664.43925356155,4732.6608938875,-21397.10014744905,0.5772669849946016
25,-4535.045821928261,4679.840353210386,-9214.886175138647,0.3182043682659276
26,-10553.748673672886,4450.061754921608,-15003.810428594494,0.43422082234813325
27,-2640.246000707131,4243.05435136039,-6883.300352067521,0.18468333967561795
28,-4891.300311957337,4078.663081347968,-8969.963393305305,0.24858949819562084
29,-7070.622289643172,3903.504740480544,-10974.127030123716,0.2707518544410323
30,-15891.639317651447,3901.862768134137,-19793.502085785585,0.2857461408320973
