global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-0.8534496426582336,-0.6922181248664856,6299.7978515625,0.2421875
0,49,49,-0.8501392602920532,-0.6928637623786926,6145.22607421875,0.33203125
0,99,99,-0.8450127840042114,-0.6917176246643066,5989.69970703125,0.203125
0,149,149,-0.8472455739974976,-0.6978564262390137,5837.0810546875,0.73828125
0,199,199,-0.8334542512893677,-0.6879059672355652,5687.0078125,0.2421875
0,249,249,-0.8440111875534058,-0.7022438049316406,5539.2763671875,0.75390625
0,299,299,-0.8456230163574219,-0.7075725793838501,5394.046875,0.7265625
0,349,349,-0.829399824142456,-0.6949917078018188,5251.7294921875,0.765625
0,399,399,-0.8270938396453857,-0.6962559223175049,5112.22900390625,0.7734375
0,449,449,-0.8231970071792603,-0.6958573460578918,4975.54248046875,0.8125
0,499,499,-0.80701744556427,-0.6831109523773193,4841.396484375,0.296875
0,549,549,-0.815977156162262,-0.6954389810562134,4709.7890625,0.75
0,599,599,-0.8044863939285278,-0.6872386932373047,4581.21923828125,0.19921875
0,649,649,-0.8143265247344971,-0.70030677318573,4455.095703125,0.73046875
0,699,699,-0.809083104133606,-0.6982053518295288,4332.32958984375,0.7421875
0,749,749,-0.7932047843933105,-0.6854049563407898,4212.06298828125,0.25
0,799,799,-0.8098971843719482,-0.7050936222076416,4094.9892578125,0.75390625
0,849,849,-0.8055406212806702,-0.7036543488502502,3981.002685546875,0.77734375
0,899,899,-0.7961462140083313,-0.6971136927604675,3869.49853515625,0.76171875
0,949,949,-0.7800663113594055,-0.6838104128837585,3761.006103515625,0.25
0,999,999,-0.7971224784851074,-0.7035671472549438,3655.484375,0.75
0,1049,1049,-0.7818000912666321,-0.690876305103302,3552.665771484375,0.2265625
0,1099,1099,-0.767760157585144,-0.6794009804725647,3452.457275390625,0.234375
0,1149,1149,-0.7820748090744019,-0.696212649345398,3354.89208984375,0.765625
0,1199,1199,-0.7662060260772705,-0.6827692985534668,3260.1240234375,0.26171875
0,1249,1249,-0.7655239105224609,-0.6844451427459717,3167.99267578125,0.21875
0,1299,1299,-0.7634780406951904,-0.684686541557312,3078.61962890625,0.2265625
0,1349,1349,-0.7589515447616577,-0.682374119758606,2992.111083984375,0.21875
0,1399,1399,-0.7687760591506958,-0.6943445801734924,2908.26171875,0.63671875
0,1449,1449,-0.7612087726593018,-0.6888449192047119,2827.4736328125,0.1953125
0,1499,1499,-0.7661547660827637,-0.6958121061325073,2748.4990234375,0.734375
0,1549,1549,-0.7637592554092407,-0.6953580379486084,2672.640869140625,0.69140625
0,1599,1599,-0.7589112520217896,-0.6923933029174805,2599.054931640625,0.3984375
