communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-48.84504699707031,0.5786092877388,-49.3720817565918,0.5796478390693665
2,1,-0.36369580030441284,0.7908018231391907,-0.36906060576438904,0.7841932773590088
4,2,-0.35771432518959045,0.8552197217941284,-0.3712700605392456,0.8488943576812744
6,3,-0.35261625051498413,0.8539912700653076,-0.36116844415664673,0.8489966988563538
8,4,-0.3492680490016937,0.8571903705596924,-0.3669182360172272,0.8505323529243469
10,5,-0.35199427604675293,0.8569600582122803,-0.36156174540519714,0.8511465787887573
12,6,-0.3500773310661316,0.8582909107208252,-0.36012277007102966,0.851965606212616
14,7,-0.3509218990802765,0.8580605387687683,-0.3625258803367615,0.8520679473876953
16,8,-0.3427882194519043,0.8582652807235718,-0.3550999164581299,0.8511465787887573
18,9,-0.3452523350715637,0.8579325675964355,-0.3577822148799896,0.851044237613678
20,10,-0.3455386459827423,0.8592634201049805,-0.3585560619831085,0.8517608642578125
