global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-23.413694381713867,-0.7041481733322144,88726.203125,0.32421875
0,49,49,-10.628907203674316,-0.48908597230911255,39616.28125,0.21875
0,99,99,-7.736645698547363,-0.43119144439697266,28542.41015625,0.17578125
0,149,149,-6.444883346557617,-0.44125181436538696,23456.19140625,0.1640625
0,199,199,-5.629779815673828,-0.40184539556503296,20425.54296875,0.1328125
0,249,249,-5.086902618408203,-0.39049196243286133,18348.87890625,0.12890625
0,299,299,-4.708396911621094,-0.3824218511581421,16901.5859375,0.15625
0,349,349,-4.412907600402832,-0.37502437829971313,15776.0107421875,0.1171875
0,399,399,-4.2259602546691895,-0.4104311466217041,14907.2734375,0.1796875
0,449,449,-3.975050926208496,-0.3608168363571167,14120.814453125,0.1328125
0,499,499,-3.821101665496826,-0.359418660402298,13524.796875,0.15625
0,549,549,-3.7166786193847656,-0.3642774224281311,13097.83203125,0.16796875
0,599,599,-3.606442451477051,-0.38343486189842224,12592.291015625,0.16796875
0,649,649,-3.4645304679870605,-0.34995773434638977,12168.63671875,0.125
0,699,699,-3.399016857147217,-0.360562264919281,11871.2421875,0.13671875
0,749,749,-3.34421443939209,-0.3841995298862457,11564.779296875,0.16796875
0,799,799,-3.238386631011963,-0.344197154045105,11307.59765625,0.125
0,849,849,-3.182450294494629,-0.3460954427719116,11081.6396484375,0.1171875
0,899,899,-3.13470458984375,-0.3563191294670105,10855.15234375,0.12890625
0,949,949,-3.134589195251465,-0.3873199224472046,10733.58203125,0.15234375
0,999,999,-3.022160053253174,-0.3198012411594391,10558.115234375,0.109375
0,1049,1049,-2.973567008972168,-0.33103299140930176,10324.380859375,0.11328125
0,1099,1099,-2.937325954437256,-0.31953543424606323,10227.7080078125,0.12890625
0,1149,1149,-2.9527926445007324,-0.3682340979576111,10097.87109375,0.1640625
0,1199,1199,-2.8700666427612305,-0.323459267616272,9949.595703125,0.140625
0,1249,1249,-2.8421669006347656,-0.32534104585647583,9833.240234375,0.1171875
0,1299,1299,-2.8476641178131104,-0.36666733026504517,9693.255859375,0.1484375
0,1349,1349,-2.797311544418335,-0.33448147773742676,9622.27734375,0.15234375
0,1399,1399,-2.7865328788757324,-0.34434929490089417,9541.611328125,0.13671875
0,1449,1449,-2.7450451850891113,-0.34497949481010437,9377.056640625,0.1640625
0,1499,1499,-2.7385497093200684,-0.35562822222709656,9310.0751953125,0.1328125
0,1549,1549,-2.6675283908843994,-0.31588852405548096,9187.857421875,0.140625
0,1599,1599,-2.6957502365112305,-0.3534387946128845,9151.412109375,0.15625
0,1649,1649,-2.6711692810058594,-0.35803741216659546,9037.40625,0.15234375
0,1699,1699,-2.625720977783203,-0.335538387298584,8947.744140625,0.1328125
0,1749,1749,-2.5907881259918213,-0.3062979280948639,8925.50390625,0.12109375
0,1799,1799,-2.593250274658203,-0.3167978823184967,8894.1005859375,0.12109375
0,1849,1849,-2.5961618423461914,-0.35879337787628174,8741.3984375,0.15625
0,1899,1899,-2.5437333583831787,-0.3127249777317047,8716.5498046875,0.12109375
0,1949,1949,-2.5309762954711914,-0.31221500039100647,8668.701171875,0.11328125
0,1999,1999,-2.5127830505371094,-0.3064815402030945,8620.01953125,0.15234375
0,2049,2049,-2.510781764984131,-0.3380746841430664,8488.767578125,0.140625
0,2099,2099,-2.4971840381622314,-0.32464540004730225,8488.109375,0.15625
0,2149,2149,-2.4639413356781006,-0.32450059056282043,8358.794921875,0.12890625
0,2199,2199,-2.5435903072357178,-0.40352892875671387,8361.220703125,0.19921875
0,2249,2249,-2.4451236724853516,-0.324182391166687,8286.517578125,0.13671875
0,2299,2299,-2.4083473682403564,-0.3095141649246216,8200.1416015625,0.1171875
0,2349,2349,-2.4392685890197754,-0.3279648423194885,8248.865234375,0.14453125
0,2399,2399,-2.4433183670043945,-0.3530768156051636,8166.57421875,0.16015625
0,2449,2449,-2.3689188957214355,-0.2990719676017761,8086.89208984375,0.1015625
0,2499,2499,-2.375553846359253,-0.32362034916877747,8016.90478515625,0.14453125
0,2549,2549,-2.3197391033172607,-0.28284382820129395,7958.150390625,0.109375
0,2599,2599,-2.3635144233703613,-0.34390950202941895,7890.5966796875,0.14453125
0,2649,2649,-2.303044557571411,-0.295354425907135,7844.0458984375,0.12890625
0,2699,2699,-2.3347134590148926,-0.325950562953949,7848.236328125,0.125
0,2749,2749,-2.3604013919830322,-0.37265831232070923,7766.11279296875,0.16015625
0,2799,2799,-2.293795108795166,-0.3190716803073883,7715.2451171875,0.14453125
0,2849,2849,-2.2818000316619873,-0.3138299584388733,7688.859375,0.12890625
0,2899,2899,-2.2741193771362305,-0.32291004061698914,7623.37548828125,0.16015625
0,2949,2949,-2.2474706172943115,-0.3190593123435974,7534.3037109375,0.140625
0,2999,2999,-2.228036642074585,-0.30812352895736694,7501.10107421875,0.140625
0,3049,3049,-2.231964588165283,-0.320004940032959,7470.0263671875,0.140625
0,3099,3099,-2.250149965286255,-0.34134531021118164,7457.7001953125,0.140625
0,3149,3149,-2.2277212142944336,-0.33137765526771545,7409.01513671875,0.12890625
0,3199,3199,-2.1733756065368652,-0.298492968082428,7325.1669921875,0.1171875
0,3249,3249,-2.18127179145813,-0.31219667196273804,7302.4775390625,0.1328125
0,3299,3299,-2.2390005588531494,-0.37837809324264526,7269.45263671875,0.171875
0,3349,3349,-2.1419517993927,-0.28993654251098633,7235.82373046875,0.10546875
0,3399,3399,-2.1518747806549072,-0.3164551556110382,7170.98486328125,0.12890625
0,3449,3449,-2.1314809322357178,-0.3029440641403198,7144.09375,0.1484375
0,3499,3499,-2.1447606086730957,-0.3311821222305298,7085.65234375,0.15234375
0,3549,3549,-2.1103057861328125,-0.3126138746738434,7023.58203125,0.13671875
0,3599,3599,-2.093188762664795,-0.3066209852695465,6980.12109375,0.12109375
0,3649,3649,-2.1283984184265137,-0.34684666991233826,6960.52294921875,0.1484375
0,3699,3699,-2.065567970275879,-0.30343082547187805,6884.6708984375,0.12890625
0,3749,3749,-2.048757553100586,-0.2874632477760315,6881.376953125,0.1171875
0,3799,3799,-2.059737205505371,-0.31457647681236267,6818.34326171875,0.1484375
0,3849,3849,-2.0807814598083496,-0.3368028700351715,6813.7255859375,0.13671875
0,3899,3899,-2.000579833984375,-0.2861041724681854,6698.45654296875,0.11328125
0,3949,3949,-2.0302629470825195,-0.32661813497543335,6656.14013671875,0.15625
0,3999,3999,-1.99111807346344,-0.31067919731140137,6565.47509765625,0.11328125
0,4049,4049,-2.0191023349761963,-0.336773157119751,6572.8603515625,0.13671875
0,4099,4099,-1.9878299236297607,-0.30501851439476013,6574.744140625,0.13671875
0,4149,4149,-1.9888603687286377,-0.31483662128448486,6540.4111328125,0.1171875
0,4199,4199,-2.013484239578247,-0.36099186539649963,6456.2880859375,0.1640625
0,4249,4249,-1.9402387142181396,-0.3049585819244385,6389.03955078125,0.1328125
0,4299,4299,-1.9626262187957764,-0.3223581910133362,6408.52783203125,0.1484375
