global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
1,0,20000,-262.02850341796875,-0.3608816862106323,102050.3671875,0.01171875
1,49,20049,-102.93336486816406,-0.3133668899536133,40021.796875,0.0078125
1,99,20099,-70.4738540649414,-0.3123775124549866,27362.974609375,0.01171875
1,149,20149,-56.27484130859375,-0.3017439544200897,21829.5078125,0.015625
1,199,20199,-48.20116424560547,-0.2917720079421997,18684.6640625,0.01953125
1,249,20249,-42.959407806396484,-0.26883167028427124,16649.32421875,0.01171875
1,299,20299,-39.326847076416016,-0.2618385851383209,15235.353515625,0.01171875
1,349,20349,-36.363670349121094,-0.25096753239631653,14083.9541015625,0.0078125
1,399,20399,-34.15387725830078,-0.2547946274280548,13220.642578125,0.01171875
1,449,20449,-32.49217987060547,-0.2550138235092163,12572.494140625,0.01953125
1,499,20499,-30.899431228637695,-0.24516665935516357,11955.162109375,0.015625
1,549,20549,-29.606155395507812,-0.23566855490207672,11454.490234375,0.01171875
1,599,20599,-28.674774169921875,-0.22711800038814545,11094.5859375,0.0078125
1,649,20649,-27.691234588623047,-0.22450301051139832,10712.0244140625,0.0078125
1,699,20699,-27.115203857421875,-0.2306201457977295,10484.986328125,0.015625
1,749,20749,-26.33672332763672,-0.22966498136520386,10181.751953125,0.01953125
1,799,20799,-25.79458236694336,-0.2140234410762787,9976.41796875,0.01171875
1,849,20849,-25.22480583190918,-0.20664742588996887,9757.0810546875,0.0078125
1,899,20899,-24.8397274017334,-0.2039894014596939,9607.9375,0.0078125
1,949,20949,-24.294179916381836,-0.20638681948184967,9394.23828125,0.01171875
1,999,20999,-24.013986587524414,-0.212530717253685,9282.5673828125,0.01953125
1,1049,21049,-23.68582534790039,-0.20418433845043182,9157.83984375,0.015625
1,1099,21099,-23.161563873291016,-0.194377601146698,8957.2021484375,0.01171875
1,1149,21149,-22.9719295501709,-0.19073668122291565,8884.6650390625,0.01171875
1,1199,21199,-22.633968353271484,-0.1815636157989502,8756.4375,0.0078125
1,1249,21249,-22.325927734375,-0.18601951003074646,8634.5634765625,0.01171875
1,1299,21299,-21.988300323486328,-0.1952252984046936,8499.298828125,0.01953125
1,1349,21349,-21.831798553466797,-0.18791547417640686,8441.1142578125,0.015625
1,1399,21399,-21.531702041625977,-0.17031733691692352,8330.939453125,0.0078125
1,1449,21449,-21.382465362548828,-0.1669415533542633,8274.0537109375,0.0078125
1,1499,21499,-21.23507308959961,-0.17120361328125,8214.908203125,0.01171875
1,1549,21549,-21.098678588867188,-0.17690029740333557,8159.49267578125,0.015625
1,1599,21599,-20.873668670654297,-0.17580707371234894,8072.16552734375,0.015625
1,1649,21649,-20.635337829589844,-0.16501498222351074,7983.42578125,0.01171875
1,1699,21699,-20.306978225708008,-0.16360336542129517,7855.91552734375,0.01171875
1,1749,21749,-20.37454605102539,-0.15440455079078674,7885.85498046875,0.0078125
1,1799,21799,-19.985309600830078,-0.158973827958107,7732.2705078125,0.01171875
1,1849,21849,-20.040267944335938,-0.17312103509902954,7748.1875,0.01953125
1,1899,21899,-19.836585998535156,-0.16314801573753357,7672.640625,0.015625
1,1949,21949,-19.63890838623047,-0.15435221791267395,7598.9765625,0.01171875
1,1999,21999,-19.530012130737305,-0.14427229762077332,7560.4384765625,0.0078125
1,2049,22049,-19.33755111694336,-0.14976035058498383,7483.23828125,0.01171875
1,2099,22099,-19.053176879882812,-0.15680211782455444,7369.58642578125,0.015625
1,2149,22149,-18.96161651611328,-0.16405755281448364,7331.0478515625,0.01953125
1,2199,22199,-18.91731071472168,-0.14628204703330994,7320.701171875,0.01171875
1,2249,22249,-18.822917938232422,-0.1449098140001297,7284.423828125,0.01171875
1,2299,22299,-18.626798629760742,-0.1358945667743683,7211.4521484375,0.0078125
1,2349,22349,-18.418567657470703,-0.14346015453338623,7127.2919921875,0.01171875
1,2399,22399,-18.3835391998291,-0.15787385404109955,7108.00927734375,0.01953125
1,2449,22449,-18.347129821777344,-0.15006043016910553,7096.85693359375,0.015625
1,2499,22499,-17.994518280029297,-0.14122238755226135,6962.78564453125,0.01171875
1,2549,22549,-17.966081619262695,-0.12952762842178345,6956.255859375,0.0078125
1,2599,22599,-17.858539581298828,-0.12995265424251556,6914.1484375,0.0078125
1,2649,22649,-17.935195922851562,-0.14608071744441986,6937.75439453125,0.015625
1,2699,22699,-17.549972534179688,-0.1531541794538498,6784.759765625,0.01953125
1,2749,22749,-17.42599868774414,-0.13637563586235046,6742.9521484375,0.01171875
1,2799,22799,-17.318119049072266,-0.12801799178123474,6704.1396484375,0.0078125
1,2849,22849,-17.252628326416016,-0.12690570950508118,6679.03125,0.0078125
1,2899,22899,-17.011951446533203,-0.13352593779563904,6582.58544921875,0.01171875
1,2949,22949,-16.945837020874023,-0.15098318457603455,6549.99267578125,0.01953125
1,2999,22999,-16.911178588867188,-0.1416940540075302,6540.0986328125,0.015625
1,3049,23049,-16.662534713745117,-0.13262200355529785,6446.66552734375,0.01171875
1,3099,23099,-16.52858543395996,-0.1323072463274002,6394.5478515625,0.01171875
1,3149,23149,-16.302104949951172,-0.1223788857460022,6310.09375,0.0078125
1,3199,23199,-16.383255004882812,-0.1309591829776764,6338.3955078125,0.01171875
1,3249,23249,-16.359111785888672,-0.15042507648468018,6321.3876953125,0.01953125
1,3299,23299,-15.989002227783203,-0.13967421650886536,6181.23828125,0.015625
1,3349,23349,-15.932121276855469,-0.1222388744354248,6165.85400390625,0.0078125
1,3399,23399,-15.859569549560547,-0.12044359743595123,6138.2587890625,0.0078125
1,3449,23449,-15.507792472839355,-0.1278599053621292,5998.17333984375,0.01171875
1,3499,23499,-15.577249526977539,-0.13760323822498322,6021.4619140625,0.015625
1,3549,23549,-15.447355270385742,-0.13708943128585815,5971.00390625,0.015625
1,3599,23599,-15.25786018371582,-0.12633132934570312,5901.2958984375,0.01171875
1,3649,23649,-15.18002986907959,-0.12676681578159332,5870.7724609375,0.01171875
1,3699,23699,-15.11631965637207,-0.11859350651502609,5849.11279296875,0.0078125
1,3749,23749,-14.998298645019531,-0.12750357389450073,5799.60986328125,0.01171875
1,3799,23799,-14.826820373535156,-0.14373654127120972,5726.40234375,0.01953125
