communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.7116304039955139,0.4108719527721405,-0.7114218473434448,0.4176904261112213
20,1,-0.36219850182533264,0.8425255417823792,-0.3639200031757355,0.8384521007537842
40,2,-0.3331497311592102,0.8456478714942932,-0.34384971857070923,0.8393734693527222
60,3,-0.33313414454460144,0.8454943299293518,-0.34340614080429077,0.8380426168441772
80,4,-0.3288585841655731,0.846748411655426,-0.3425631821155548,0.8425471186637878
100,5,-0.33333370089530945,0.8474138379096985,-0.34282970428466797,0.8403972387313843
120,6,-0.3349813222885132,0.848770260810852,-0.34265172481536865,0.8406019806861877
140,7,-0.3350638747215271,0.845827043056488,-0.347743421792984,0.8399876952171326
160,8,-0.3418121933937073,0.8475929498672485,-0.3496260344982147,0.8434684872627258
180,9,-0.3509427607059479,0.8369206190109253,-0.36152055859565735,0.8320024609565735
200,10,-0.3413722813129425,0.8436004519462585,-0.3531116247177124,0.83640456199646
