communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-53.0004768371582,0.6812375783920288,-52.91775894165039,0.6834771037101746
2,1,-0.24066175520420074,0.8836817145347595,-0.24887463450431824,0.8803362250328064
4,2,-0.24058355391025543,0.8836817145347595,-0.2483384907245636,0.8803362250328064
6,3,-0.2382432073354721,0.8836817145347595,-0.24617089331150055,0.8803362250328064
8,4,-0.2369447648525238,0.8836817145347595,-0.24773624539375305,0.8803362250328064
10,5,-0.23555046319961548,0.8836817145347595,-0.24532386660575867,0.8803362250328064
12,6,-0.23628011345863342,0.8836817145347595,-0.246408149600029,0.8803362250328064
14,7,-0.23363427817821503,0.8836817145347595,-0.24190865457057953,0.8803362250328064
16,8,-0.2344530075788498,0.8836817145347595,-0.24407975375652313,0.8803362250328064
18,9,-0.23387712240219116,0.8836817145347595,-0.24360251426696777,0.8803362250328064
20,10,-0.23127128183841705,0.8836817145347595,-0.24249495565891266,0.8803362250328064
