global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
4,0,80000,-2.123807907104492,-0.7028946876525879,5138.02197265625,0.9140625
4,49,80049,-2.0859341621398926,-0.6969578266143799,5022.53857421875,0.87109375
4,99,80099,-2.052927255630493,-0.6962834596633911,4905.62353515625,0.8515625
4,149,80149,-2.0246636867523193,-0.7001121044158936,4789.57861328125,0.8828125
4,199,80199,-1.9715430736541748,-0.6788110733032227,4674.5185546875,0.15625
4,249,80249,-1.9642452001571655,-0.7031283974647522,4560.19873046875,0.84765625
4,299,80299,-1.9066448211669922,-0.6768808960914612,4446.826171875,0.10546875
4,349,80349,-1.8742127418518066,-0.6755170822143555,4334.48388671875,0.16015625
4,399,80399,-1.850149154663086,-0.682273805141449,4223.037109375,0.1015625
4,449,80449,-1.8145732879638672,-0.6772955060005188,4112.396484375,0.12109375
4,499,80499,-1.78289794921875,-0.6759333610534668,4002.783447265625,0.1171875
4,549,80549,-1.7615749835968018,-0.6846096515655518,3894.306884765625,0.12109375
4,599,80599,-1.7317426204681396,-0.684454083442688,3786.995361328125,0.1484375
4,649,80649,-1.6766393184661865,-0.6587795615196228,3680.581298828125,0.07421875
4,699,80699,-1.6630756855010986,-0.6743830442428589,3575.112548828125,0.12109375
4,749,80749,-1.6416834592819214,-0.6818834543228149,3470.63671875,0.125
4,799,80799,-1.607084035873413,-0.6758678555488586,3367.27783203125,0.0859375
4,849,80849,-1.552298903465271,-0.6492741107940674,3265.337646484375,0.1328125
4,899,80899,-1.549100399017334,-0.6740595698356628,3164.14794921875,0.12890625
4,949,80949,-1.4662950038909912,-0.6188440322875977,3064.3828125,0.125
4,999,80999,-1.4663947820663452,-0.6463006138801575,2965.46044921875,0.140625
4,1049,81049,-1.4353458881378174,-0.6423243880271912,2867.56591796875,0.09375
4,1099,81099,-1.4021104574203491,-0.6356987953186035,2771.3447265625,0.12890625
4,1149,81149,-1.3825058937072754,-0.6423749327659607,2676.3134765625,0.125
4,1199,81199,-1.3189971446990967,-0.6047064661979675,2582.875,0.109375
4,1249,81249,-1.2650246620178223,-0.5762410759925842,2490.6416015625,0.109375
4,1299,81299,-1.2261531352996826,-0.5624067783355713,2400.10693359375,0.08203125
4,1349,81349,-1.1552965641021729,-0.5161658525466919,2311.0966796875,0.12109375
4,1399,81399,-1.1376889944076538,-0.5226215124130249,2224.083984375,0.1328125
4,1449,81449,-1.1242467164993286,-0.5326275825500488,2139.294677734375,0.08203125
4,1499,81499,-1.0590779781341553,-0.4902953803539276,2056.717529296875,0.1328125
4,1549,81549,-1.0631005764007568,-0.5165103077888489,1976.470703125,0.140625
4,1599,81599,-0.9253073930740356,-0.4001312255859375,1899.037109375,0.109375
4,1649,81649,-0.9657484292984009,-0.46127498149871826,1824.176025390625,0.14453125
4,1699,81699,-0.8836334347724915,-0.39899444580078125,1752.45458984375,0.10546875
4,1749,81749,-0.9085315465927124,-0.4428977072238922,1683.73193359375,0.1171875
4,1799,81799,-0.8049582242965698,-0.35749077796936035,1618.042236328125,0.12109375
4,1849,81849,-0.7714418768882751,-0.3412553071975708,1555.5546875,0.08984375
4,1899,81899,-0.7369000911712646,-0.32325229048728943,1495.75048828125,0.1015625
4,1949,81949,-0.6875264048576355,-0.2895078659057617,1439.235107421875,0.09765625
4,1999,81999,-0.6718870401382446,-0.2887204885482788,1385.5302734375,0.12890625
4,2049,82049,-0.6677769422531128,-0.298758864402771,1334.369384765625,0.1328125
4,2099,82099,-0.6284116506576538,-0.2728871703147888,1285.57666015625,0.109375
4,2149,82149,-0.6261409521102905,-0.2833884656429291,1239.39306640625,0.125
4,2199,82199,-0.6422125697135925,-0.3116382360458374,1195.3568115234375,0.1328125
4,2249,82249,-0.5595849752426147,-0.24070483446121216,1153.0706787109375,0.09375
4,2299,82299,-0.6313464045524597,-0.32353389263153076,1113.0499267578125,0.1484375
4,2349,82349,-0.5454893708229065,-0.24830591678619385,1074.6153564453125,0.109375
4,2399,82399,-0.5785823464393616,-0.29144299030303955,1038.2960205078125,0.13671875
4,2449,82449,-0.5182633996009827,-0.24075248837471008,1003.4794311523438,0.1171875
4,2499,82499,-0.45939481258392334,-0.1910899579524994,970.1904296875,0.06640625
4,2549,82549,-0.495453417301178,-0.23593859374523163,938.4056396484375,0.10546875
4,2599,82599,-0.4433562755584717,-0.19225214421749115,907.9926147460938,0.0859375
4,2649,82649,-0.496410995721817,-0.2533941864967346,878.748779296875,0.125
4,2699,82699,-0.521833062171936,-0.28648537397384644,851.0171508789062,0.15625
4,2749,82749,-0.505872368812561,-0.2779567837715149,824.142822265625,0.12890625
4,2799,82799,-0.44925108551979065,-0.22847536206245422,798.3250732421875,0.109375
4,2849,82849,-0.5417487621307373,-0.3278675675392151,773.39453125,0.1484375
4,2899,82899,-0.4188864529132843,-0.2115328013896942,749.7908325195312,0.10546875
4,2949,82949,-0.48646312952041626,-0.28542807698249817,726.9428100585938,0.12890625
4,2999,82999,-0.4044244885444641,-0.20950773358345032,704.8189697265625,0.1015625
4,3049,83049,-0.43793344497680664,-0.24890361726284027,683.5318603515625,0.125
4,3099,83099,-0.40667206048965454,-0.2232622653245926,663.2098388671875,0.10546875
4,3149,83149,-0.33531051874160767,-0.1572479009628296,643.8744506835938,0.0703125
4,3199,83199,-0.4131772518157959,-0.24034400284290314,624.9650268554688,0.125
4,3249,83249,-0.3850266933441162,-0.21717354655265808,606.95703125,0.1015625
4,3299,83299,-0.36969971656799316,-0.2066546082496643,589.5711669921875,0.09765625
4,3349,83349,-0.43915653228759766,-0.28075265884399414,572.7883911132812,0.15234375
4,3399,83399,-0.4344157576560974,-0.2805377244949341,556.4229736328125,0.12890625
4,3449,83449,-0.37812700867652893,-0.22860151529312134,540.6842041015625,0.12109375
4,3499,83499,-0.5156794786453247,-0.3703410029411316,525.5439453125,0.171875
4,3549,83549,-0.33756232261657715,-0.19628861546516418,510.8458251953125,0.08984375
4,3599,83599,-0.41235172748565674,-0.27498817443847656,496.7066650390625,0.12109375
4,3649,83649,-0.3561238646507263,-0.22253182530403137,483.06878662109375,0.11328125
4,3699,83699,-0.35629889369010925,-0.22633329033851624,469.95556640625,0.1171875
4,3749,83749,-0.36329182982444763,-0.23685100674629211,457.2100524902344,0.10546875
4,3799,83799,-0.29643213748931885,-0.17338208854198456,444.94903564453125,0.078125
4,3849,83849,-0.36783871054649353,-0.2481296956539154,432.8677673339844,0.125
4,3899,83899,-0.3736264109611511,-0.25713151693344116,421.2454528808594,0.12890625
4,3949,83949,-0.31450700759887695,-0.20112061500549316,410.00518798828125,0.10546875
4,3999,83999,-0.3394228518009186,-0.2290254533290863,399.1970520019531,0.125
4,4049,84049,-0.45559364557266235,-0.3480818271636963,388.7628173828125,0.1484375
4,4099,84099,-0.3020353615283966,-0.19728878140449524,378.76361083984375,0.10546875
4,4149,84149,-0.3844609260559082,-0.28241777420043945,368.9880676269531,0.13671875
4,4199,84199,-0.30612874031066895,-0.20669806003570557,359.54132080078125,0.09765625
4,4249,84249,-0.3776760697364807,-0.28076326847076416,350.4366760253906,0.12890625
4,4299,84299,-0.3407410979270935,-0.24628092348575592,341.5679931640625,0.125
4,4349,84349,-0.28938886523246765,-0.19731739163398743,332.93048095703125,0.09375
4,4399,84399,-0.2883393168449402,-0.1985640972852707,324.62725830078125,0.10546875
4,4449,84449,-0.2657948136329651,-0.17825010418891907,316.56170654296875,0.08984375
4,4499,84499,-0.3507733941078186,-0.2653791606426239,308.7855224609375,0.13671875
4,4549,84549,-0.3197815418243408,-0.23652397096157074,301.0594177246094,0.12890625
4,4599,84599,-0.29280003905296326,-0.21158143877983093,293.6864929199219,0.109375
4,4649,84649,-0.3315209150314331,-0.25229722261428833,286.4728698730469,0.12890625
4,4699,84699,-0.3965211510658264,-0.31920480728149414,279.575927734375,0.1328125
4,4749,84749,-0.24826927483081818,-0.1728038638830185,272.8829040527344,0.09765625
4,4799,84799,-0.4282112419605255,-0.35458505153656006,266.23223876953125,0.16015625
4,4849,84849,-0.2991602420806885,-0.22724737226963043,260.0368957519531,0.11328125
4,4899,84899,-0.3056599795818329,-0.2354486584663391,253.88417053222656,0.1171875
4,4949,84949,-0.2893027067184448,-0.22070348262786865,248.05482482910156,0.1171875
4,4999,84999,-0.2495640516281128,-0.1825633943080902,242.27435302734375,0.078125
4,5049,85049,-0.27863752841949463,-0.21315953135490417,236.76840209960938,0.109375
4,5099,85099,-0.2643387019634247,-0.2003709375858307,231.30746459960938,0.1015625
4,5149,85149,-0.3244613707065582,-0.2619110941886902,226.1818084716797,0.13671875
4,5199,85199,-0.31403684616088867,-0.25292009115219116,220.99815368652344,0.15234375
4,5249,85249,-0.2989996671676636,-0.23922695219516754,216.1380615234375,0.11328125
4,5299,85299,-0.3026951551437378,-0.24423301219940186,211.39901733398438,0.125
4,5349,85349,-0.3358062505722046,-0.2786257565021515,206.76463317871094,0.12890625
4,5399,85399,-0.23923620581626892,-0.18330371379852295,202.25186157226562,0.1015625
