global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-15.355585098266602,-0.677171528339386,5298.9072265625,0.0078125
0,49,49,-15.056404113769531,-0.6974595189094543,5183.5791015625,0.99609375
0,99,99,-14.736414909362793,-0.7009754180908203,5066.7939453125,0.98828125
0,149,149,-14.385711669921875,-0.6710549592971802,4950.9912109375,0.01171875
0,199,199,-14.098367691040039,-0.7016845941543579,4836.20263671875,0.98828125
0,249,249,-13.776410102844238,-0.6947793960571289,4722.46875,0.8203125
0,299,299,-13.458379745483398,-0.6888159513473511,4609.8125,0.0078125
0,349,349,-13.163117408752441,-0.7025638818740845,4498.259765625,0.98828125
0,399,399,-12.842885971069336,-0.6881248950958252,4387.86865234375,0.01953125
0,449,449,-12.549772262573242,-0.6974788904190063,4278.677734375,0.95703125
0,499,499,-12.221504211425781,-0.6682573556900024,4170.72216796875,0.0
0,549,549,-11.953060150146484,-0.6953493356704712,4064.03369140625,0.83203125
0,599,599,-11.617467880249023,-0.6516979932785034,3958.64306640625,0.00390625
0,649,649,-11.360477447509766,-0.682926595211029,3854.595947265625,0.01171875
0,699,699,-11.116010665893555,-0.7228622436523438,3751.926513671875,0.99609375
0,749,749,-10.775510787963867,-0.6628550291061401,3650.668701171875,0.01171875
0,799,799,-10.551535606384277,-0.7154171466827393,3550.839111328125,0.98828125
0,849,849,-10.25183391571045,-0.6881182193756104,3452.50146484375,0.0390625
0,899,899,-9.974832534790039,-0.6794395446777344,3355.636962890625,0.01171875
0,949,949,-9.694985389709473,-0.6636190414428711,3260.3232421875,0.00390625
0,999,999,-9.459677696228027,-0.6880534291267395,3166.556640625,0.046875
0,1049,1049,-9.231496810913086,-0.7150799632072449,3074.426513671875,1.0
0,1099,1099,-8.951169967651367,-0.6854931712150574,2983.909423828125,0.0390625
0,1149,1149,-8.727673530578613,-0.708219051361084,2895.0234375,0.9921875
0,1199,1199,-8.489856719970703,-0.7119001150131226,2807.842529296875,0.96875
0,1249,1249,-8.192005157470703,-0.6508132219314575,2722.370361328125,0.00390625
0,1299,1299,-8.013053894042969,-0.7039083242416382,2638.6015625,0.98046875
0,1349,1349,-7.760058403015137,-0.6782304048538208,2556.5400390625,0.0546875
0,1399,1399,-7.521363258361816,-0.6620461940765381,2476.21337890625,0.0078125
0,1449,1449,-7.277470111846924,-0.6359217762947083,2397.598876953125,0.01171875
0,1499,1499,-7.092256546020508,-0.663612961769104,2320.740234375,0.0078125
0,1549,1549,-6.856673240661621,-0.6359570026397705,2245.6787109375,0.01171875
0,1599,1599,-6.6698503494262695,-0.6521723866462708,2172.3818359375,0.0
0,1649,1649,-6.5165252685546875,-0.6970673203468323,2100.824462890625,0.6796875
0,1699,1699,-6.307048797607422,-0.6808537244796753,2031.056396484375,0.08984375
0,1749,1749,-6.14226770401001,-0.704219400882721,1963.135498046875,0.86328125
0,1799,1799,-5.964186668395996,-0.7094557881355286,1896.9578857421875,0.9453125
0,1849,1849,-5.756996154785156,-0.6806795597076416,1832.5504150390625,0.15234375
0,1899,1899,-5.538074493408203,-0.6353882551193237,1769.869873046875,0.01171875
0,1949,1949,-5.43355655670166,-0.6996796131134033,1708.9295654296875,0.73046875
0,1999,1999,-5.205081939697266,-0.6351765990257263,1649.73583984375,0.01171875
0,2049,2049,-5.086130142211914,-0.6754146814346313,1592.2684326171875,0.046875
0,2099,2099,-4.882925033569336,-0.6266544461250305,1536.513916015625,0.01171875
0,2149,2149,-4.749759197235107,-0.6433706283569336,1482.40625,0.0
0,2199,2199,-4.590829849243164,-0.6297260522842407,1429.9586181640625,0.01171875
0,2249,2249,-4.536683082580566,-0.716336727142334,1379.1451416015625,0.96875
0,2299,2299,-4.359588146209717,-0.6754871010780334,1329.96044921875,0.05078125
0,2349,2349,-4.27924919128418,-0.7269278764724731,1282.38818359375,0.8984375
0,2399,2399,-4.053536415100098,-0.6287773847579956,1236.3380126953125,0.01171875
0,2449,2449,-3.8507914543151855,-0.5495395660400391,1191.751953125,0.00390625
0,2499,2499,-3.785161018371582,-0.6033228635787964,1148.6436767578125,0.01171875
0,2549,2549,-3.685232162475586,-0.6185985803604126,1107.0546875,0.01171875
0,2599,2599,-3.57108211517334,-0.6157707571983337,1066.867431640625,0.0078125
0,2649,2649,-3.4179182052612305,-0.5701358318328857,1028.0494384765625,0.01171875
0,2699,2699,-3.377838134765625,-0.6336931586265564,990.6363525390625,0.0078125
