global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
7,0,70000,-77.59510803222656,-0.5509268045425415,301011.625,0.21875
7,49,70049,-19.80846405029297,-0.5755635499954224,75142.9453125,0.21875
7,99,70099,-10.79983901977539,-0.5869408845901489,39901.7890625,0.2578125
7,149,70149,-6.611536026000977,-0.5579774379730225,23651.255859375,0.22265625
7,199,70199,-4.474942207336426,-0.5676091909408569,15265.9521484375,0.234375
7,249,70249,-3.214998722076416,-0.5724949836730957,10324.26171875,0.25
7,299,70299,-2.46193265914917,-0.5503305196762085,7468.6298828125,0.2109375
7,349,70349,-1.991357684135437,-0.5413803458213806,5665.0615234375,0.21875
7,399,70399,-1.6793631315231323,-0.5567768812179565,4385.9453125,0.25390625
7,449,70449,-1.490966796875,-0.5497651100158691,3677.275390625,0.21875
7,499,70499,-1.3762614727020264,-0.5945227742195129,3054.2529296875,0.23828125
7,549,70549,-1.26714026927948,-0.5901163816452026,2645.13232421875,0.203125
7,599,70599,-1.1938332319259644,-0.5849368572235107,2378.95849609375,0.2734375
7,649,70649,-1.126450538635254,-0.6031454801559448,2044.552978515625,0.2578125
7,699,70699,-1.0437633991241455,-0.5390310287475586,1971.9892578125,0.19921875
7,749,70749,-1.0218589305877686,-0.5567116141319275,1817.33056640625,0.21484375
7,799,70799,-1.0220166444778442,-0.5599566698074341,1805.2684326171875,0.19921875
7,849,70849,-0.9833551049232483,-0.5808731317520142,1572.4971923828125,0.23828125
7,899,70899,-0.9710109829902649,-0.5829727649688721,1516.0654296875,0.26953125
7,949,70949,-0.934994101524353,-0.5536225438117981,1490.018798828125,0.21484375
7,999,70999,-0.9296578168869019,-0.561445415019989,1438.606201171875,0.24609375
7,1049,71049,-0.930127739906311,-0.5937432646751404,1314.2542724609375,0.2578125
7,1099,71099,-0.9110641479492188,-0.5664105415344238,1346.5615234375,0.23828125
7,1149,71149,-0.9283952116966248,-0.5916919708251953,1315.49951171875,0.28125
7,1199,71199,-0.8975484371185303,-0.552902340888977,1346.532470703125,0.2265625
7,1249,71249,-0.8583420515060425,-0.5339901447296143,1267.2431640625,0.19140625
7,1299,71299,-0.8769088387489319,-0.5615867972373962,1231.9632568359375,0.2421875
7,1349,71349,-0.886749267578125,-0.5649338960647583,1257.332763671875,0.1796875
7,1399,71399,-0.9167394638061523,-0.6063401699066162,1212.7301025390625,0.234375
7,1449,71449,-0.8928896188735962,-0.6064828634262085,1118.9912109375,0.25
7,1499,71499,-0.8464009761810303,-0.5657494068145752,1096.5057373046875,0.23828125
7,1549,71549,-0.8888298869132996,-0.5996983051300049,1129.6370849609375,0.25390625
7,1599,71599,-0.8428031206130981,-0.5582156777381897,1111.88330078125,0.23828125
7,1649,71649,-0.8457496166229248,-0.556352436542511,1130.675048828125,0.21484375
7,1699,71699,-0.8460782766342163,-0.5649510622024536,1098.3642578125,0.23828125
7,1749,71749,-0.8207123875617981,-0.5457732677459717,1074.18701171875,0.20703125
7,1799,71799,-0.8476865291595459,-0.5777279138565063,1054.728515625,0.24609375
7,1849,71849,-0.8175960183143616,-0.5581557750701904,1013.633056640625,0.25
7,1899,71899,-0.8109005689620972,-0.5591073036193848,983.75634765625,0.234375
7,1949,71949,-0.8372578620910645,-0.5960681438446045,942.328125,0.23046875
7,1999,71999,-0.8628908395767212,-0.6071667671203613,999.11376953125,0.234375
7,2049,72049,-0.8311938643455505,-0.5909754633903503,938.5333862304688,0.2734375
7,2099,72099,-0.8137896060943604,-0.5675767660140991,961.9534912109375,0.2421875
7,2149,72149,-0.7762778997421265,-0.5307068228721619,959.4461669921875,0.19140625
7,2199,72199,-0.7993741035461426,-0.5593817830085754,937.6499633789062,0.2265625
7,2249,72249,-0.7728429436683655,-0.5535578727722168,856.7467651367188,0.19140625
