global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
9,0,90000,-100.91707611083984,-0.42980292439460754,363362.0,0.1015625
9,49,90049,-42.049774169921875,-0.39722779393196106,150615.609375,0.1015625
9,99,90099,-26.416793823242188,-0.4041912257671356,94061.5625,0.09765625
9,149,90149,-18.810073852539062,-0.425261527299881,66479.484375,0.125
9,199,90199,-14.442094802856445,-0.4319532513618469,50660.671875,0.12109375
9,249,90249,-11.598291397094727,-0.40929925441741943,40459.39453125,0.12890625
9,299,90299,-9.705541610717773,-0.4383108615875244,33510.30859375,0.140625
9,349,90349,-8.2460298538208,-0.40105798840522766,28367.41796875,0.109375
9,399,90399,-7.168431758880615,-0.43479397892951965,24348.833984375,0.15625
9,449,90449,-6.292574882507324,-0.4364091753959656,21175.89453125,0.1328125
9,499,90499,-5.619328498840332,-0.3747358024120331,18964.4453125,0.1015625
9,549,90549,-5.143636703491211,-0.41167551279067993,17110.771484375,0.1328125
9,599,90599,-4.7944722175598145,-0.386766642332077,15938.263671875,0.11328125
9,649,90649,-4.571011543273926,-0.36800718307495117,15198.0625,0.08984375
9,699,90699,-4.097189903259277,-0.3722056448459625,13469.54296875,0.09765625
9,749,90749,-3.947085380554199,-0.3700345754623413,12934.615234375,0.09375
9,799,90799,-3.772918224334717,-0.41689303517341614,12135.38671875,0.13671875
9,849,90849,-3.6272995471954346,-0.4310600757598877,11557.6015625,0.13671875
9,899,90899,-3.4693522453308105,-0.3977842926979065,11106.7890625,0.1328125
9,949,90949,-3.363440752029419,-0.41638028621673584,10656.5703125,0.12890625
9,999,90999,-3.147120714187622,-0.3839317560195923,9991.69140625,0.109375
9,1049,91049,-3.0890603065490723,-0.4238967299461365,9637.2314453125,0.15234375
9,1099,91099,-3.008767604827881,-0.43012869358062744,9324.3583984375,0.140625
9,1149,91149,-2.7722887992858887,-0.355495810508728,8739.123046875,0.09765625
9,1199,91199,-2.7442843914031982,-0.3730788826942444,8574.279296875,0.12109375
9,1249,91249,-2.6418709754943848,-0.37581223249435425,8194.068359375,0.11328125
9,1299,91299,-2.5132222175598145,-0.36322981119155884,7774.373046875,0.09765625
9,1349,91349,-2.506096601486206,-0.3783136010169983,7694.0634765625,0.109375
9,1399,91399,-2.3747119903564453,-0.365656316280365,7264.7451171875,0.1015625
9,1449,91449,-2.2574167251586914,-0.3649904429912567,6843.01318359375,0.1171875
9,1499,91499,-2.2675061225891113,-0.3969796597957611,6763.82421875,0.12109375
9,1549,91549,-2.2021894454956055,-0.36165687441825867,6655.365234375,0.10546875
9,1599,91599,-2.1557013988494873,-0.41974300146102905,6277.2255859375,0.140625
9,1649,91649,-2.182896614074707,-0.3864539861679077,6495.9365234375,0.1171875
9,1699,91699,-2.0551388263702393,-0.3856877386569977,6036.7353515625,0.12109375
9,1749,91749,-2.0390853881835938,-0.4240568280220032,5839.943359375,0.15234375
9,1799,91799,-1.9213371276855469,-0.3318493962287903,5747.587890625,0.1015625
9,1849,91849,-1.857082724571228,-0.37227779626846313,5369.0546875,0.1171875
9,1899,91899,-1.810961127281189,-0.3443939685821533,5303.10693359375,0.0859375
9,1949,91949,-1.817215919494629,-0.34365931153297424,5328.38037109375,0.09765625
9,1999,91999,-1.8008171319961548,-0.388150155544281,5108.20361328125,0.125
9,2049,92049,-1.725564956665039,-0.38663381338119507,4841.5751953125,0.12109375
9,2099,92099,-1.734004020690918,-0.37755101919174194,4904.93408203125,0.13671875
9,2149,92149,-1.7206182479858398,-0.4023389518260956,4766.8984375,0.1328125
9,2199,92199,-1.7322008609771729,-0.34789061546325684,5005.666015625,0.09375
9,2249,92249,-1.647498369216919,-0.4099162220954895,4475.09716796875,0.1484375
9,2299,92299,-1.627959132194519,-0.39444875717163086,4460.37353515625,0.125
9,2349,92349,-1.5768513679504395,-0.3754243850708008,4344.3603515625,0.11328125
9,2399,92399,-1.5664162635803223,-0.4227869212627411,4135.36328125,0.17578125
9,2449,92449,-1.5247820615768433,-0.3559475541114807,4226.505859375,0.1171875
9,2499,92499,-1.478525161743164,-0.3535541296005249,4067.8955078125,0.09765625
9,2549,92549,-1.4999514818191528,-0.35107558965682983,4154.3349609375,0.08984375
9,2599,92599,-1.448350191116333,-0.36355605721473694,3922.61572265625,0.11328125
9,2649,92649,-1.5004456043243408,-0.3896803557872772,4016.527099609375,0.12890625
9,2699,92699,-1.487090826034546,-0.39125195145606995,3962.55322265625,0.12109375
9,2749,92749,-1.447688341140747,-0.37687915563583374,3872.0458984375,0.13671875
9,2799,92799,-1.465047836303711,-0.4120110869407654,3807.78076171875,0.14453125
9,2849,92849,-1.3668813705444336,-0.3560680150985718,3655.10107421875,0.09765625
9,2899,92899,-1.4352803230285645,-0.41996854543685913,3671.3671875,0.15234375
9,2949,92949,-1.3118067979812622,-0.3893693685531616,3335.53369140625,0.125
9,2999,92999,-1.2575500011444092,-0.3480815291404724,3288.63818359375,0.10546875
9,3049,93049,-1.3704776763916016,-0.3973024785518646,3519.001220703125,0.15234375
9,3099,93099,-1.2408044338226318,-0.3466525971889496,3233.2529296875,0.1015625
9,3149,93149,-1.2286748886108398,-0.33371132612228394,3236.1884765625,0.0859375
9,3199,93199,-1.2951380014419556,-0.36092862486839294,3378.10107421875,0.09765625
9,3249,93249,-1.3130638599395752,-0.35197728872299194,3475.2890625,0.10546875
9,3299,93299,-1.2526040077209473,-0.38177254796028137,3148.926513671875,0.1328125
9,3349,93349,-1.291378378868103,-0.4137154221534729,3173.62939453125,0.1328125
9,3399,93399,-1.2426948547363281,-0.37738460302352905,3128.9619140625,0.12890625
9,3449,93449,-1.2432184219360352,-0.3835952877998352,3108.3974609375,0.125
9,3499,93499,-1.1754190921783447,-0.35197949409484863,2977.5576171875,0.0859375
9,3549,93549,-1.2168246507644653,-0.4322786331176758,2836.91845703125,0.1640625
