global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-51.021331787109375,-0.3197959065437317,18303.25390625,0.0078125
0,49,49,-51.02859115600586,-0.2809159457683563,18319.91015625,0.00390625
0,99,99,-49.86226272583008,-0.2836131751537323,17897.892578125,0.01171875
0,149,149,-48.99798583984375,-0.2584546208381653,17594.970703125,0.01171875
0,199,199,-48.2020263671875,-0.24220401048660278,17313.49609375,0.01171875
0,249,249,-47.391090393066406,-0.21568118035793304,17030.322265625,0.0078125
0,299,299,-46.79994201660156,-0.22418361902236938,16813.849609375,0.0078125
0,349,349,-45.97419357299805,-0.21412771940231323,16519.3828125,0.0078125
0,399,399,-45.28132247924805,-0.197284534573555,16275.337890625,0.00390625
0,449,449,-44.633934020996094,-0.20085668563842773,16040.33984375,0.0078125
0,499,499,-44.02022171020508,-0.20414255559444427,15817.60546875,0.00390625
0,549,549,-43.48212432861328,-0.19899871945381165,15625.208984375,0.01171875
0,599,599,-43.00841522216797,-0.1929461807012558,15456.384765625,0.00390625
0,649,649,-42.47754669189453,-0.19980309903621674,15262.265625,0.01171875
0,699,699,-41.94449996948242,-0.2166212946176529,15063.7646484375,0.0078125
0,749,749,-41.435035705566406,-0.21684382855892181,14879.767578125,0.01171875
0,799,799,-41.04819107055664,-0.17930512130260468,14753.66796875,0.0078125
0,849,849,-40.491153717041016,-0.21426647901535034,14539.95703125,0.01171875
0,899,899,-40.07818603515625,-0.16525211930274963,14408.568359375,0.0078125
0,949,949,-40.19401168823242,-0.1798153817653656,14445.125,0.0078125
0,999,999,-39.56509017944336,-0.16287781298160553,14224.19921875,0.0078125
0,1049,1049,-38.900474548339844,-0.1632443368434906,13984.140625,0.00390625
0,1099,1099,-38.57904052734375,-0.17435917258262634,13864.08984375,0.0078125
0,1149,1149,-38.296287536621094,-0.16433635354042053,13765.634765625,0.0078125
0,1199,1199,-37.746337890625,-0.17953312397003174,13561.6171875,0.01171875
0,1249,1249,-37.56245422363281,-0.1537347137928009,13504.548828125,0.0078125
0,1299,1299,-37.38286209106445,-0.29057830572128296,13390.31640625,0.015625
0,1349,1349,-36.857749938964844,-0.1953054517507553,13235.1435546875,0.01171875
0,1399,1399,-36.4503173828125,-0.16816772520542145,13097.8564453125,0.01171875
0,1449,1449,-36.11927032470703,-0.16214334964752197,12980.5234375,0.0078125
0,1499,1499,-35.819068908691406,-0.14991480112075806,12876.5654296875,0.0078125
0,1549,1549,-35.80012512207031,-0.15683352947235107,12867.228515625,0.0078125
0,1599,1599,-35.22669219970703,-0.20415730774402618,12643.13671875,0.00390625
0,1649,1649,-34.985984802246094,-0.15425218641757965,12574.255859375,0.0078125
0,1699,1699,-34.790157318115234,-0.1373569518327713,12509.6611328125,0.00390625
0,1749,1749,-33.818634033203125,-0.17109987139701843,12146.759765625,0.01171875
0,1799,1799,-33.83320617675781,-0.14101997017860413,12162.8798828125,0.00390625
0,1849,1849,-33.728790283203125,-0.16799038648605347,12115.44921875,0.01171875
0,1899,1899,-33.12843322753906,-0.18551313877105713,11892.39453125,0.01171875
0,1949,1949,-33.125457763671875,-0.18760165572166443,11890.56640625,0.01171875
0,1999,1999,-32.4398193359375,-0.15051835775375366,11656.4384765625,0.0078125
0,2049,2049,-32.27555847167969,-0.16384068131446838,11592.330078125,0.0078125
0,2099,2099,-31.80228042602539,-0.14881829917430878,11426.900390625,0.0078125
0,2149,2149,-31.804981231689453,-0.1314779818058014,11434.1357421875,0.00390625
0,2199,2199,-31.291297912597656,-0.15500852465629578,11240.201171875,0.0078125
0,2249,2249,-31.595211029052734,-0.1430867612361908,11354.2177734375,0.00390625
0,2299,2299,-30.742795944213867,-0.16130448877811432,11039.91796875,0.01171875
0,2349,2349,-30.259525299072266,-0.22990426421165466,10840.693359375,0.0
0,2399,2399,-29.738767623901367,-0.17610299587249756,10672.1220703125,0.01171875
0,2449,2449,-29.029747009277344,-0.17788374423980713,10415.5234375,0.0078125
0,2499,2499,-28.82387924194336,-0.23974601924419403,10318.8720703125,0.01171875
0,2549,2549,-31.797754287719727,-0.18355172872543335,11412.7275390625,0.0078125
0,2599,2599,-28.98941993713379,-0.19114255905151367,10396.177734375,0.01171875
0,2649,2649,-26.398395538330078,-0.20746511220932007,9454.92578125,0.0078125
0,2699,2699,-26.166580200195312,-0.34633368253707886,9321.109375,0.01171875
0,2749,2749,-26.256755828857422,-0.7122140526771545,9221.580078125,0.015625
0,2799,2799,-26.631153106689453,-0.22440697252750397,9532.8359375,0.00390625
