communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-56.72108840942383,0.31722673773765564,-56.95967483520508,0.32309582829475403
2,1,-0.6099469661712646,0.7615233063697815,-0.6124886274337769,0.7574734091758728
4,2,-0.5671918392181396,0.7615233063697815,-0.5755227208137512,0.7574734091758728
6,3,-0.5590710639953613,0.7615233063697815,-0.5649769306182861,0.7574734091758728
8,4,-0.5597832798957825,0.7615233063697815,-0.5657983422279358,0.7574734091758728
10,5,-0.557558536529541,0.7615233063697815,-0.5632982850074768,0.7574734091758728
12,6,-0.5446078181266785,0.7615233063697815,-0.5513700246810913,0.7574734091758728
14,7,-0.5163795948028564,0.7615233063697815,-0.5274637937545776,0.7574734091758728
16,8,-0.5104320645332336,0.7615233063697815,-0.5218088626861572,0.7574734091758728
18,9,-0.5080605149269104,0.7615233063697815,-0.521440327167511,0.7574734091758728
20,10,-0.5038918852806091,0.7615233063697815,-0.5114949345588684,0.7574734091758728
