global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-0.8180849552154541,-0.6072162985801697,8239.271484375,0.27734375
0,49,49,-0.7432471513748169,-0.5512789487838745,7500.77392578125,0.24609375
0,99,99,-0.6406278610229492,-0.4605180025100708,7037.4326171875,0.1953125
0,149,149,-0.6120308041572571,-0.43972039222717285,6732.68359375,0.1640625
0,199,199,-0.5512919425964355,-0.3861443102359772,6452.8134765625,0.1640625
0,249,249,-0.505831241607666,-0.3476989269256592,6178.7021484375,0.1484375
0,299,299,-0.5445874929428101,-0.3933261036872864,5910.2373046875,0.20703125
0,349,349,-0.5054857730865479,-0.3591797649860382,5716.61376953125,0.16796875
0,399,399,-0.487838476896286,-0.34615305066108704,5536.07421875,0.15234375
0,449,449,-0.4284045100212097,-0.29059284925460815,5384.71484375,0.125
0,499,499,-0.4605333209037781,-0.32646143436431885,5238.59033203125,0.16796875
0,549,549,-0.5023138523101807,-0.3714321255683899,5113.9423828125,0.17578125
0,599,599,-0.4265129566192627,-0.2985091805458069,5001.490234375,0.13671875
0,649,649,-0.5010875463485718,-0.3759695589542389,4888.7353515625,0.1796875
0,699,699,-0.47508177161216736,-0.3525617718696594,4787.2236328125,0.140625
0,749,749,-0.45807626843452454,-0.33806052803993225,4689.37451171875,0.1484375
0,799,799,-0.41677314043045044,-0.2989046573638916,4605.4755859375,0.1328125
0,849,849,-0.41736942529678345,-0.3013732433319092,4532.31884765625,0.12890625
0,899,899,-0.4634215235710144,-0.34943413734436035,4453.828125,0.171875
0,949,949,-0.41251540184020996,-0.30054032802581787,4375.2021484375,0.140625
0,999,999,-0.44451868534088135,-0.3339719772338867,4319.390625,0.14453125
0,1049,1049,-0.40473806858062744,-0.2957650125026703,4257.9033203125,0.12109375
0,1099,1099,-0.4616696834564209,-0.3541712164878845,4200.2880859375,0.14453125
0,1149,1149,-0.45609772205352783,-0.3501264452934265,4140.615234375,0.14453125
0,1199,1199,-0.4704486131668091,-0.36599892377853394,4081.162841796875,0.171875
0,1249,1249,-0.36425769329071045,-0.2611643671989441,4028.165283203125,0.12109375
0,1299,1299,-0.45987075567245483,-0.35785120725631714,3986.209228515625,0.16796875
0,1349,1349,-0.3826643228530884,-0.28177380561828613,3942.09521484375,0.15234375
0,1399,1399,-0.4065305292606354,-0.30687564611434937,3893.814208984375,0.12890625
0,1449,1449,-0.3730705976486206,-0.2748136520385742,3839.1923828125,0.11328125
0,1499,1499,-0.4012855887413025,-0.30406928062438965,3798.53369140625,0.12109375
0,1549,1549,-0.3972281813621521,-0.30090224742889404,3763.7431640625,0.140625
0,1599,1599,-0.40099677443504333,-0.30584025382995605,3718.049560546875,0.15234375
0,1649,1649,-0.40854257345199585,-0.3147020936012268,3666.62890625,0.12109375
0,1699,1699,-0.4148109555244446,-0.32183411717414856,3632.8837890625,0.15234375
0,1749,1749,-0.3908573389053345,-0.29865506291389465,3602.619140625,0.140625
0,1799,1799,-0.42100733518600464,-0.32998377084732056,3556.5634765625,0.1484375
0,1849,1849,-0.35919710993766785,-0.2690656781196594,3521.7060546875,0.1171875
0,1899,1899,-0.4428258538246155,-0.35355329513549805,3488.146728515625,0.16015625
0,1949,1949,-0.3965546190738678,-0.3079453706741333,3462.22900390625,0.1328125
0,1999,1999,-0.40766796469688416,-0.3200424611568451,3423.79150390625,0.16015625
0,2049,2049,-0.38452720642089844,-0.29773345589637756,3391.29296875,0.140625
0,2099,2099,-0.42599737644195557,-0.3402005136013031,3352.34130859375,0.15234375
0,2149,2149,-0.41899609565734863,-0.33392682671546936,3323.911376953125,0.1640625
0,2199,2199,-0.49327903985977173,-0.4088672399520874,3298.220703125,0.20703125
0,2249,2249,-0.3120824694633484,-0.22854001820087433,3264.2548828125,0.0859375
0,2299,2299,-0.37443119287490845,-0.29163363575935364,3235.1494140625,0.1171875
0,2349,2349,-0.4296823740005493,-0.34760379791259766,3207.0546875,0.1875
0,2399,2399,-0.4036407768726349,-0.3222774863243103,3179.1083984375,0.140625
0,2449,2449,-0.38545238971710205,-0.30509984493255615,3139.614501953125,0.15234375
0,2499,2499,-0.4155850410461426,-0.33565568923950195,3123.07958984375,0.15625
0,2549,2549,-0.39329373836517334,-0.3141695261001587,3091.619140625,0.13671875
0,2599,2599,-0.4387282729148865,-0.3604387044906616,3059.00830078125,0.171875
0,2649,2649,-0.39087623357772827,-0.3130788505077362,3039.77685546875,0.13671875
0,2699,2699,-0.35970285534858704,-0.2826247811317444,3011.6708984375,0.12109375
0,2749,2749,-0.3859217166900635,-0.30956560373306274,2983.46142578125,0.14453125
0,2799,2799,-0.41702431440353394,-0.34138867259025574,2955.311767578125,0.15625
0,2849,2849,-0.3990333080291748,-0.32393792271614075,2934.2021484375,0.15625
0,2899,2899,-0.3792130947113037,-0.3046661615371704,2912.77099609375,0.1484375
0,2949,2949,-0.4428221881389618,-0.369054913520813,2882.308837890625,0.17578125
0,2999,2999,-0.4038269817829132,-0.33064138889312744,2859.580078125,0.171875
0,3049,3049,-0.46406498551368713,-0.3915767967700958,2832.331298828125,0.19140625
0,3099,3099,-0.38138309121131897,-0.3093479871749878,2814.627685546875,0.13671875
0,3149,3149,-0.4261687994003296,-0.35470956563949585,2792.12646484375,0.140625
0,3199,3199,-0.4323575496673584,-0.36153846979141235,2767.1142578125,0.1796875
0,3249,3249,-0.39204317331314087,-0.32178810238838196,2745.076171875,0.15625
0,3299,3299,-0.4081062376499176,-0.3383548855781555,2725.395263671875,0.15234375
0,3349,3349,-0.34257882833480835,-0.27362462878227234,2694.24853515625,0.11328125
0,3399,3399,-0.39963188767433167,-0.33120599389076233,2673.60498046875,0.140625
0,3449,3449,-0.41753387451171875,-0.3495088219642639,2657.943115234375,0.16015625
0,3499,3499,-0.37544047832489014,-0.3081454336643219,2629.418212890625,0.140625
0,3549,3549,-0.4448367655277252,-0.3780176043510437,2610.8251953125,0.1953125
0,3599,3599,-0.3983266055583954,-0.3320630192756653,2589.11669921875,0.15625
0,3649,3649,-0.38986098766326904,-0.3242054283618927,2565.35888671875,0.140625
0,3699,3699,-0.33712661266326904,-0.2718404233455658,2550.92626953125,0.13671875
0,3749,3749,-0.35986536741256714,-0.29502663016319275,2533.443359375,0.125
0,3799,3799,-0.3968203365802765,-0.33262377977371216,2508.35302734375,0.1640625
0,3849,3849,-0.3654177784919739,-0.3018258512020111,2484.72705078125,0.13671875
