communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-48.84504699707031,0.5786092877388,-49.3720817565918,0.5796478390693665
2,1,-0.3843635022640228,0.7615233063697815,-0.3864263892173767,0.7574734091758728
4,2,-0.37459635734558105,0.7615233063697815,-0.3842584788799286,0.7574734091758728
6,3,-0.3664402663707733,0.7615233063697815,-0.3728213310241699,0.7574734091758728
8,4,-0.36605221033096313,0.7615233063697815,-0.37762364745140076,0.7574734091758728
10,5,-0.3586292564868927,0.8522765040397644,-0.36600571870803833,0.8451064825057983
12,6,-0.35029977560043335,0.8558083772659302,-0.35938897728919983,0.8487919569015503
14,7,-0.3562071919441223,0.8564738035202026,-0.3669480085372925,0.8509418368339539
16,8,-0.35048946738243103,0.8550405502319336,-0.3605687618255615,0.8484848737716675
18,9,-0.35000404715538025,0.8577022552490234,-0.3607523739337921,0.8513513803482056
20,10,-0.3464406430721283,0.8573951125144958,-0.35820287466049194,0.8507370948791504
