global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
4,0,40000,-5.942653656005859,-0.687332272529602,20532.54296875,0.265625
4,49,40049,-5.892726898193359,-0.6902915835380554,20325.916015625,0.24609375
4,99,40099,-5.8281402587890625,-0.6798417568206787,20114.404296875,0.2265625
4,149,40149,-5.78465461730957,-0.6907116174697876,19902.037109375,0.23046875
4,199,40199,-5.731451034545898,-0.6920797228813171,19688.826171875,0.36328125
4,249,40249,-5.663151264190674,-0.6785922646522522,19474.673828125,0.20703125
4,299,40299,-5.622522354125977,-0.6930074691772461,19259.615234375,0.5546875
4,349,40349,-5.560244560241699,-0.6860527396202087,19043.46875,0.2578125
4,399,40399,-5.510002136230469,-0.691425085067749,18826.181640625,0.359375
4,449,40449,-5.449734687805176,-0.6870681643486023,18607.740234375,0.1875
4,499,40499,-5.386491775512695,-0.6800698041915894,18387.9921875,0.23828125
4,549,40549,-5.331154823303223,-0.6813190579414368,18166.908203125,0.2734375
4,599,40599,-5.283863067626953,-0.691025972366333,17944.216796875,0.3671875
4,649,40649,-5.216865539550781,-0.6813808083534241,17720.140625,0.2421875
4,699,40699,-5.161240577697754,-0.6835711002349854,17494.255859375,0.20703125
4,749,40749,-5.099320888519287,-0.6798924803733826,17266.70703125,0.28515625
4,799,40799,-5.026649475097656,-0.665984034538269,17037.12109375,0.234375
4,849,40849,-4.987276077270508,-0.685779333114624,16805.94921875,0.3203125
4,899,40899,-4.924677848815918,-0.6830204129219055,16572.15625,0.3359375
4,949,40949,-4.847521781921387,-0.6661726832389832,16336.5322265625,0.23828125
4,999,40999,-4.788301467895508,-0.6678123474121094,16098.751953125,0.23046875
4,1049,41049,-4.720288276672363,-0.6612088680267334,15858.82421875,0.29296875
4,1099,41099,-4.662508010864258,-0.6655973196029663,15615.9296875,0.234375
4,1149,41149,-4.5811662673950195,-0.6470566987991333,15370.5654296875,0.21484375
4,1199,41199,-4.526533126831055,-0.655805766582489,15122.931640625,0.265625
4,1249,41249,-4.45151948928833,-0.6449229717254639,14872.373046875,0.234375
4,1299,41299,-4.375735282897949,-0.6339109539985657,14619.3076171875,0.26171875
4,1349,41349,-4.276942729949951,-0.6007235050201416,14362.990234375,0.234375
4,1399,41399,-4.19406795501709,-0.5840468406677246,14104.3525390625,0.2109375
4,1449,41449,-4.150137901306152,-0.6069825887680054,13843.109375,0.2578125
4,1499,41499,-4.04946231842041,-0.5739518404006958,13578.8193359375,0.24609375
4,1549,41549,-3.9785940647125244,-0.5711173415184021,13313.01171875,0.2109375
4,1599,41599,-3.8990516662597656,-0.559956431388855,13045.8466796875,0.23046875
4,1649,41649,-3.836049795150757,-0.5657528042793274,12777.0517578125,0.25
4,1699,41699,-3.731571674346924,-0.5304432511329651,12506.8095703125,0.22265625
4,1749,41749,-3.6875405311584473,-0.5558341145515442,12235.5771484375,0.234375
4,1799,41799,-3.5384860038757324,-0.47630345821380615,11963.947265625,0.2578125
4,1849,41849,-3.4405035972595215,-0.4478739798069,11692.205078125,0.24609375
4,1899,41899,-3.388176441192627,-0.465071439743042,11420.572265625,0.23828125
4,1949,41949,-3.302495002746582,-0.44878241419792175,11149.4560546875,0.24609375
4,1999,41999,-3.2367196083068848,-0.45232903957366943,10878.615234375,0.26171875
4,2049,42049,-3.1240200996398926,-0.4088359773159027,10608.2255859375,0.24609375
4,2099,42099,-3.068166971206665,-0.42180004715919495,10339.35546875,0.2421875
4,2149,42149,-2.9931485652923584,-0.41529911756515503,10071.658203125,0.1875
4,2199,42199,-2.9585373401641846,-0.44899436831474304,9804.78515625,0.28515625
4,2249,42249,-2.8530542850494385,-0.41139575839042664,9539.560546875,0.1796875
4,2299,42299,-2.7284488677978516,-0.35422176122665405,9276.10546875,0.2109375
4,2349,42349,-2.6810693740844727,-0.3738507330417633,9014.3037109375,0.23046875
4,2399,42399,-2.618727684020996,-0.3779217600822449,8754.830078125,0.2265625
4,2449,42449,-2.529853343963623,-0.3548176884651184,8497.8642578125,0.21484375
4,2499,42499,-2.517338991165161,-0.40731239318847656,8243.8740234375,0.203125
4,2549,42549,-2.4167537689208984,-0.37099921703338623,7992.76416015625,0.23046875
4,2599,42599,-2.339369773864746,-0.35704705119132996,7744.93505859375,0.203125
4,2649,42649,-2.320850372314453,-0.40107184648513794,7500.57470703125,0.2578125
4,2699,42699,-2.2098851203918457,-0.35172975063323975,7259.81298828125,0.2421875
4,2749,42749,-2.1815261840820312,-0.38393938541412354,7023.17236328125,0.2578125
4,2799,42799,-2.0751914978027344,-0.33697816729545593,6791.19921875,0.2421875
4,2849,42849,-2.043687105178833,-0.3637274503707886,6563.6025390625,0.2109375
4,2899,42899,-2.008776903152466,-0.38583120703697205,6340.84912109375,0.2734375
4,2949,42949,-1.9292216300964355,-0.3620101809501648,6123.09521484375,0.1875
4,2999,42999,-1.8818708658218384,-0.36906254291534424,5910.54248046875,0.23046875
4,3049,43049,-1.8073627948760986,-0.3476617932319641,5703.05224609375,0.21484375
4,3099,43099,-1.8187634944915771,-0.4107794463634491,5500.99365234375,0.20703125
4,3149,43149,-1.6746978759765625,-0.3169980049133301,5304.53369140625,0.2109375
4,3199,43199,-1.6744563579559326,-0.36561015248298645,5113.66259765625,0.23828125
4,3249,43249,-1.6113612651824951,-0.3499302268028259,4928.41162109375,0.171875
4,3299,43299,-1.562573790550232,-0.3471043109893799,4748.83935546875,0.234375
4,3349,43349,-1.509296178817749,-0.3382876515388489,4575.130859375,0.2421875
4,3399,43399,-1.51735258102417,-0.3893193006515503,4407.2265625,0.25
4,3449,43449,-1.4368340969085693,-0.3503021001815796,4245.080078125,0.26171875
4,3499,43499,-1.4139502048492432,-0.3674173951148987,4088.803955078125,0.23046875
4,3549,43549,-1.3810158967971802,-0.37303876876831055,3938.166748046875,0.21484375
4,3599,43599,-1.2932374477386475,-0.32241541147232056,3793.002197265625,0.15234375
4,3649,43649,-1.3687968254089355,-0.4336824417114258,3653.4921875,0.27734375
4,3699,43699,-1.2222390174865723,-0.3213641345500946,3519.718505859375,0.24609375
4,3749,43749,-1.184446096420288,-0.3165079951286316,3391.0341796875,0.19921875
4,3799,43799,-1.219099521636963,-0.38273924589157104,3267.65966796875,0.2421875
4,3849,43849,-1.1604235172271729,-0.3542945981025696,3149.5458984375,0.15234375
4,3899,43899,-1.0901626348495483,-0.31303906440734863,3036.221923828125,0.203125
4,3949,43949,-1.1089199781417847,-0.35958635807037354,2927.646728515625,0.26953125
4,3999,43999,-1.084584355354309,-0.3618677258491516,2823.654052734375,0.23828125
4,4049,44049,-1.0436251163482666,-0.3463097810745239,2724.41162109375,0.1953125
4,4099,44099,-1.0753616094589233,-0.40235406160354614,2629.4404296875,0.26171875
