communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-44.909217834472656,0.7393596768379211,-45.368263244628906,0.7373054623603821
2,1,-0.41817769408226013,0.7615233063697815,-0.42005103826522827,0.7574734091758728
4,2,-0.37324777245521545,0.7615233063697815,-0.38428959250450134,0.7574734091758728
6,3,-0.36700794100761414,0.7615233063697815,-0.3733607828617096,0.7574734091758728
8,4,-0.36152127385139465,0.7615233063697815,-0.37541842460632324,0.7574734091758728
10,5,-0.3574007749557495,0.7615233063697815,-0.36421358585357666,0.7574734091758728
12,6,-0.35357674956321716,0.841783344745636,-0.3598526120185852,0.8356879353523254
14,7,-0.35291820764541626,0.8410922884941101,-0.3611906170845032,0.8355855941772461
16,8,-0.3500545024871826,0.8476697206497192,-0.3609810471534729,0.8402948379516602
18,9,-0.34874916076660156,0.8508688807487488,-0.3575282394886017,0.8421375751495361
20,10,-0.34761127829551697,0.8515343070030212,-0.3570247292518616,0.8428542017936707
22,11,-0.3478268086910248,0.8530699014663696,-0.35998353362083435,0.8445945978164673
24,12,-0.34593260288238525,0.8548102378845215,-0.35394561290740967,0.8466420769691467
26,13,-0.3455866575241089,0.8558595180511475,-0.35683584213256836,0.8487919569015503
28,14,-0.3444329500198364,0.8560898900032043,-0.3528173267841339,0.8495085835456848
30,15,-0.34242674708366394,0.8571903705596924,-0.3512520492076874,0.851044237613678
32,16,-0.34159958362579346,0.8577278256416321,-0.35541120171546936,0.8516584634780884
34,17,-0.3403068482875824,0.8573951125144958,-0.3492342531681061,0.851965606212616
36,18,-0.33879560232162476,0.8574207425117493,-0.35351091623306274,0.8518632054328918
38,19,-0.3370473384857178,0.8578302264213562,-0.3515184223651886,0.851556122303009
40,20,-0.3349721133708954,0.8583420515060425,-0.3467743694782257,0.851965606212616
42,21,-0.3328222930431366,0.8582909107208252,-0.34288689494132996,0.8522727489471436
44,22,-0.3292063772678375,0.8583932518959045,-0.34453627467155457,0.8526822328567505
46,23,-0.3276422321796417,0.8586236238479614,-0.33789196610450745,0.8521703481674194
48,24,-0.3250351548194885,0.8586747646331787,-0.33609911799430847,0.852477490901947
50,25,-0.3234612047672272,0.8584700226783752,-0.33582600951194763,0.8516584634780884
52,26,-0.3212854564189911,0.8586747646331787,-0.3332007825374603,0.8527845740318298
54,27,-0.3206821084022522,0.8582141399383545,-0.33439868688583374,0.8527845740318298
56,28,-0.3201691806316376,0.8591866493225098,-0.33272603154182434,0.8526822328567505
58,29,-0.3201591968536377,0.8594681620597839,-0.33575960993766785,0.8536036014556885
60,30,-0.318231463432312,0.8586747646331787,-0.332734614610672,0.8530917167663574
62,31,-0.3203890025615692,0.8596985340118408,-0.33542901277542114,0.8520679473876953
64,32,-0.31984570622444153,0.8592378497123718,-0.3357356786727905,0.8526822328567505
66,33,-0.3187892735004425,0.8592634201049805,-0.3356936275959015,0.852477490901947
68,34,-0.31717246770858765,0.8593146204948425,-0.331421822309494,0.851965606212616
70,35,-0.31590941548347473,0.8600056171417236,-0.32925888895988464,0.8527845740318298
