communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.7116304039955139,0.4108719527721405,-0.7114218473434448,0.4176904261112213
20,1,-0.3308465778827667,0.8469531536102295,-0.3371683359146118,0.8419328331947327
40,2,-0.5220021605491638,0.7794384956359863,-0.5242801308631897,0.7753890156745911
60,3,-0.323857843875885,0.8509968519210815,-0.3301238417625427,0.8466420769691467
80,4,-0.3479117155075073,0.8411434888839722,-0.3599587678909302,0.83640456199646
100,5,-0.35611283779144287,0.8426535129547119,-0.363669753074646,0.8373259902000427
120,6,-0.34275341033935547,0.8451871871948242,-0.3507629334926605,0.8384521007537842
140,7,-0.3387332260608673,0.8464668989181519,-0.3436111509799957,0.8442874550819397
160,8,-0.3362911343574524,0.8481048345565796,-0.34315282106399536,0.8382473587989807
180,9,-0.32781821489334106,0.853223443031311,-0.3353031277656555,0.8468468189239502
200,10,-0.33657893538475037,0.8487446308135986,-0.344580739736557,0.8415233492851257
