global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.165450096130371,-0.6058586835861206,5639.482421875,0.296875
0,49,49,-1.8885207176208496,-0.5057885646820068,4999.958984375,0.19140625
0,99,99,-1.7059242725372314,-0.4264368414878845,4626.626953125,0.125
0,149,149,-1.6216979026794434,-0.4151075482368469,4363.03125,0.109375
0,199,199,-1.5344804525375366,-0.3819579482078552,4167.521484375,0.1328125
0,249,249,-1.4242517948150635,-0.3146151304244995,4012.4462890625,0.1171875
0,299,299,-1.3305574655532837,-0.2596955895423889,3872.23681640625,0.0859375
0,349,349,-1.3046894073486328,-0.26785680651664734,3749.1865234375,0.12109375
0,399,399,-1.2559785842895508,-0.25025931000709534,3636.6806640625,0.09765625
0,449,449,-1.2375227212905884,-0.26027047634124756,3533.744140625,0.1171875
0,499,499,-1.1962833404541016,-0.24552488327026367,3437.94287109375,0.11328125
0,549,549,-1.132223129272461,-0.20507915318012238,3352.552734375,0.08203125
0,599,599,-1.1769956350326538,-0.2731735110282898,3268.220703125,0.10546875
0,649,649,-1.097635269165039,-0.21516874432563782,3190.9990234375,0.09765625
0,699,699,-1.1341543197631836,-0.2720252275466919,3117.458984375,0.12109375
0,749,749,-1.0793325901031494,-0.23811577260494232,3041.83984375,0.10546875
0,799,799,-1.0630178451538086,-0.2403774857521057,2974.66748046875,0.109375
0,849,849,-1.06736421585083,-0.26222705841064453,2911.375732421875,0.1015625
0,899,899,-1.0011457204818726,-0.21594086289405823,2839.30078125,0.1015625
0,949,949,-0.9834569692611694,-0.21533647179603577,2777.523681640625,0.078125
0,999,999,-1.005783200263977,-0.25625964999198914,2710.27734375,0.1328125
0,1049,1049,-0.9586396217346191,-0.22617869079113007,2648.57861328125,0.07421875
0,1099,1099,-0.9046647548675537,-0.19008181989192963,2583.931884765625,0.0703125
0,1149,1149,-0.9501540064811707,-0.25220462679862976,2523.784912109375,0.109375
0,1199,1199,-0.8842048645019531,-0.20447692275047302,2457.896484375,0.0859375
0,1249,1249,-0.9184040427207947,-0.2549837827682495,2398.927734375,0.09375
0,1299,1299,-0.8633637428283691,-0.21782201528549194,2334.27880859375,0.1015625
0,1349,1349,-0.8879983425140381,-0.259745329618454,2271.7626953125,0.1171875
0,1399,1399,-0.8546707630157471,-0.24336856603622437,2210.46875,0.08984375
0,1449,1449,-0.8488466739654541,-0.25461259484291077,2148.75048828125,0.13671875
0,1499,1499,-0.8043253421783447,-0.22792088985443115,2084.2783203125,0.078125
0,1549,1549,-0.7389363646507263,-0.18047186732292175,2019.40771484375,0.0625
0,1599,1599,-0.7860041856765747,-0.24531179666519165,1955.1435546875,0.109375
0,1649,1649,-0.8274853229522705,-0.30398744344711304,1892.9683837890625,0.14453125
0,1699,1699,-0.6962908506393433,-0.18925456702709198,1833.443115234375,0.05859375
0,1749,1749,-0.7081815600395203,-0.21865874528884888,1770.114501953125,0.10546875
0,1799,1799,-0.7336928844451904,-0.2592657208442688,1715.528564453125,0.1171875
0,1849,1849,-0.6580716371536255,-0.19936230778694153,1658.69287109375,0.06640625
0,1899,1899,-0.7021785974502563,-0.261629581451416,1593.025146484375,0.10546875
0,1949,1949,-0.6743325591087341,-0.24961647391319275,1535.7733154296875,0.10546875
0,1999,1999,-0.6565630435943604,-0.24701043963432312,1480.942138671875,0.12109375
0,2049,2049,-0.6039854288101196,-0.2095809280872345,1426.166748046875,0.08203125
0,2099,2099,-0.6422470808029175,-0.26338082551956177,1369.9805908203125,0.12890625
0,2149,2149,-0.5821609497070312,-0.215341717004776,1326.418212890625,0.09765625
0,2199,2199,-0.5351531505584717,-0.18409889936447144,1269.412109375,0.06640625
0,2249,2249,-0.5834911465644836,-0.24428480863571167,1226.570068359375,0.1015625
0,2299,2299,-0.5958894491195679,-0.26613324880599976,1192.398681640625,0.1484375
0,2349,2349,-0.5264421701431274,-0.20995846390724182,1144.405029296875,0.09375
0,2399,2399,-0.5044211745262146,-0.1981499195098877,1107.4769287109375,0.09375
0,2449,2449,-0.5497630834579468,-0.2529285252094269,1073.353759765625,0.1015625
0,2499,2499,-0.5067102909088135,-0.2182135432958603,1043.204345703125,0.08203125
0,2549,2549,-0.568303644657135,-0.289761483669281,1007.2083740234375,0.12109375
0,2599,2599,-0.5099939703941345,-0.2391040027141571,979.5380859375,0.10546875
0,2649,2649,-0.5130878686904907,-0.24991509318351746,951.6328735351562,0.11328125
0,2699,2699,-0.5231449604034424,-0.27058297395706177,913.2642822265625,0.109375
0,2749,2749,-0.4951173663139343,-0.24737396836280823,895.8401489257812,0.10546875
0,2799,2799,-0.41900336742401123,-0.17838242650032043,870.0852661132812,0.06640625
0,2849,2849,-0.44463202357292175,-0.211893230676651,841.58349609375,0.08984375
0,2899,2899,-0.48524603247642517,-0.25535455346107483,831.2875366210938,0.09375
0,2949,2949,-0.45631280541419983,-0.23464101552963257,801.565185546875,0.09765625
0,2999,2999,-0.454950749874115,-0.2389090359210968,781.2069091796875,0.109375
0,3049,3049,-0.39612579345703125,-0.1863206923007965,758.6552734375,0.08203125
0,3099,3099,-0.4376503825187683,-0.23435822129249573,735.1043701171875,0.09765625
0,3149,3149,-0.41301172971725464,-0.21427446603775024,718.6339111328125,0.09765625
0,3199,3199,-0.4513743817806244,-0.25693851709365845,703.0799560546875,0.125
0,3249,3249,-0.42356789112091064,-0.23355385661125183,687.0908203125,0.0859375
0,3299,3299,-0.41276922821998596,-0.22657212615013123,673.2887573242188,0.109375
0,3349,3349,-0.44155991077423096,-0.2597852647304535,657.2972412109375,0.09375
0,3399,3399,-0.4150576591491699,-0.2378857582807541,640.6536865234375,0.1015625
0,3449,3449,-0.38073593378067017,-0.2071198672056198,627.7957763671875,0.08203125
0,3499,3499,-0.3962022066116333,-0.22758671641349792,609.7136840820312,0.10546875
0,3549,3549,-0.4166277050971985,-0.24962162971496582,603.89404296875,0.11328125
0,3599,3599,-0.38563603162765503,-0.22273771464824677,589.0404052734375,0.10546875
0,3649,3649,-0.4092053771018982,-0.24933616816997528,578.087158203125,0.11328125
0,3699,3699,-0.3700192868709564,-0.2131761610507965,567.144775390625,0.09765625
0,3749,3749,-0.43125778436660767,-0.2768678069114685,558.2740478515625,0.125
0,3799,3799,-0.35748767852783203,-0.2070034295320511,544.151123046875,0.109375
0,3849,3849,-0.39827731251716614,-0.2482130378484726,542.6324462890625,0.1171875
0,3899,3899,-0.3795306384563446,-0.23365579545497894,527.4834594726562,0.0859375
0,3949,3949,-0.3811700940132141,-0.23792880773544312,517.9605102539062,0.109375
0,3999,3999,-0.38166624307632446,-0.24035707116127014,510.9739990234375,0.109375
0,4049,4049,-0.3843916058540344,-0.24486143887043,504.54107666015625,0.08203125
0,4099,4099,-0.34069502353668213,-0.2033361792564392,496.68963623046875,0.0859375
0,4149,4149,-0.41366246342658997,-0.2782744765281677,489.5628967285156,0.1328125
0,4199,4199,-0.33896732330322266,-0.20490556955337524,484.76727294921875,0.08984375
0,4249,4249,-0.30888426303863525,-0.17794039845466614,473.4930419921875,0.08203125
0,4299,4299,-0.39983177185058594,-0.2699214220046997,469.7557373046875,0.109375
0,4349,4349,-0.34426939487457275,-0.21630436182022095,462.72161865234375,0.10546875
0,4399,4399,-0.37293633818626404,-0.24755048751831055,453.395263671875,0.11328125
0,4449,4449,-0.35577645897865295,-0.23230472207069397,446.4737548828125,0.10546875
0,4499,4499,-0.3664624094963074,-0.24354247748851776,444.47845458984375,0.12109375
0,4549,4549,-0.3367021679878235,-0.215620756149292,437.83038330078125,0.08984375
0,4599,4599,-0.37502801418304443,-0.2550221085548401,433.94134521484375,0.12109375
0,4649,4649,-0.3314743638038635,-0.21405500173568726,424.58837890625,0.09375
0,4699,4699,-0.3043367862701416,-0.1880371868610382,420.53924560546875,0.078125
0,4749,4749,-0.33795225620269775,-0.223240464925766,414.7978515625,0.09375
0,4799,4799,-0.38125258684158325,-0.2666623294353485,414.3582763671875,0.14453125
0,4849,4849,-0.30649200081825256,-0.19388747215270996,407.177978515625,0.0703125
0,4899,4899,-0.3241865634918213,-0.2120460867881775,405.4999694824219,0.08984375
0,4949,4949,-0.3808104991912842,-0.2708786129951477,397.5137023925781,0.11328125
0,4999,4999,-0.311276376247406,-0.20174436271190643,396.06781005859375,0.09375
0,5049,5049,-0.347287118434906,-0.23989906907081604,388.315185546875,0.09765625
0,5099,5099,-0.342970609664917,-0.23651471734046936,384.9445495605469,0.109375
0,5149,5149,-0.3294945955276489,-0.2228945940732956,385.465576171875,0.1015625
0,5199,5199,-0.3521900475025177,-0.2472405731678009,379.497314453125,0.1015625
0,5249,5249,-0.37647879123687744,-0.2723430395126343,376.5549011230469,0.13671875
0,5299,5299,-0.324718177318573,-0.22145207226276398,373.41021728515625,0.08203125
0,5349,5349,-0.3030291795730591,-0.2007751762866974,369.75054931640625,0.078125
0,5399,5399,-0.34405893087387085,-0.24303925037384033,365.287109375,0.109375
0,5449,5449,-0.34609049558639526,-0.24602046608924866,361.853271484375,0.125
0,5499,5499,-0.3115619421005249,-0.21228168904781342,358.99737548828125,0.11328125
0,5549,5549,-0.2884138524532318,-0.19085562229156494,352.77056884765625,0.078125
0,5599,5599,-0.3473275601863861,-0.25050240755081177,350.1197509765625,0.1015625
0,5649,5649,-0.3046714663505554,-0.20907804369926453,345.6658020019531,0.09375
0,5699,5699,-0.34767967462539673,-0.2533469796180725,341.10699462890625,0.09375
0,5749,5749,-0.3198093771934509,-0.22488364577293396,343.2514953613281,0.09375
