global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
4,0,40000,-4.38034725189209,-0.686488151550293,13356.9951171875,0.0859375
4,49,40049,-4.337454319000244,-0.6808342933654785,13222.337890625,0.10546875
4,99,40099,-4.297488212585449,-0.6790368556976318,13084.3193359375,0.08984375
4,149,40149,-4.258434295654297,-0.6783471703529358,12945.5947265625,0.109375
4,199,40199,-4.2220778465271,-0.6805391311645508,12806.2041015625,0.15625
4,249,40249,-4.195832252502441,-0.6930643320083618,12666.0087890625,0.46875
4,299,40299,-4.147027969360352,-0.6832422018051147,12525.0478515625,0.10546875
4,349,40349,-4.110006809234619,-0.6854749917984009,12383.1064453125,0.16015625
4,399,40399,-4.067507743835449,-0.6824877858161926,12240.232421875,0.1015625
4,449,40449,-4.015069007873535,-0.6698412299156189,12096.3447265625,0.12109375
4,499,40499,-3.9869961738586426,-0.6818387508392334,11951.44921875,0.1171875
4,549,40549,-3.9496774673461914,-0.6849654912948608,11805.19921875,0.12109375
4,599,40599,-3.892477035522461,-0.6685405969619751,11657.75390625,0.1015625
4,649,40649,-3.85929274559021,-0.6764962077140808,11508.9921875,0.07421875
4,699,40699,-3.814199686050415,-0.6729212999343872,11358.86328125,0.10546875
4,749,40749,-3.7626137733459473,-0.6632705926895142,11207.2255859375,0.109375
4,799,40799,-3.7254767417907715,-0.6684779524803162,11054.107421875,0.08984375
4,849,40849,-3.663545608520508,-0.6494308710098267,10899.0390625,0.1328125
4,899,40899,-3.6203150749206543,-0.6495895981788635,10742.142578125,0.11328125
4,949,40949,-3.5697574615478516,-0.642924964427948,10583.42578125,0.125
4,999,40999,-3.5542588233947754,-0.6718523502349854,10422.7822265625,0.125
4,1049,41049,-3.4939093589782715,-0.6565169095993042,10260.01171875,0.10546875
4,1099,41099,-3.443772554397583,-0.6520411968231201,10094.900390625,0.12890625
4,1149,41149,-3.370633602142334,-0.625038743019104,9928.0712890625,0.13671875
4,1199,41199,-3.3160884380340576,-0.6173973083496094,9758.466796875,0.109375
4,1249,41249,-3.2559494972229004,-0.6046353578567505,9587.15234375,0.109375
4,1299,41299,-3.1882972717285156,-0.5850861072540283,9413.2119140625,0.08203125
4,1349,41349,-3.172410726547241,-0.618126630783081,9236.291015625,0.12109375
4,1399,41399,-3.134920120239258,-0.6299818158149719,9057.857421875,0.1328125
4,1449,41449,-3.005467414855957,-0.5505834221839905,8876.8603515625,0.09765625
4,1499,41499,-2.934922456741333,-0.5307459831237793,8693.501953125,0.1328125
4,1549,41549,-2.89168381690979,-0.5386173725128174,8508.6884765625,0.13671875
4,1599,41599,-2.852726936340332,-0.5512890815734863,8321.9990234375,0.109375
4,1649,41649,-2.733858346939087,-0.4844769239425659,8133.763671875,0.14453125
