communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-48.14387512207031,0.807675302028656,-48.095638275146484,0.8052421808242798
20,1,-0.4156087338924408,0.8836817145347595,-0.4205757677555084,0.8803362250328064
40,2,-4.990240573883057,0.8836817145347595,-5.2219319343566895,0.8803362250328064
60,3,-0.31540343165397644,0.8836817145347595,-0.31920844316482544,0.8803362250328064
80,4,-0.26016533374786377,0.8836817145347595,-0.2665179669857025,0.8803362250328064
100,5,-0.24658578634262085,0.8836817145347595,-0.2549917995929718,0.8803362250328064
120,6,-0.2427244782447815,0.8836817145347595,-0.2514856457710266,0.8803362250328064
140,7,-0.23541438579559326,0.8836817145347595,-0.24374164640903473,0.8803362250328064
160,8,-0.2369416356086731,0.8836817145347595,-0.24630318582057953,0.8803362250328064
180,9,-0.2416783720254898,0.8836817145347595,-0.24944369494915009,0.8803362250328064
200,10,-0.2353888750076294,0.8836817145347595,-0.24599552154541016,0.8803362250328064
