communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.685881495475769,0.8833775520324707,-0.6859912872314453,0.8797832131385803
20,1,-0.815899670124054,0.8836817145347595,-0.8445794582366943,0.8803362250328064
40,2,-0.659762978553772,0.8836817145347595,-0.6605616211891174,0.8803362250328064
60,3,-0.6481459140777588,0.8836817145347595,-0.6491513848304749,0.8803362250328064
80,4,-0.6285304427146912,0.8836817145347595,-0.6300337314605713,0.8803362250328064
100,5,-0.6075950264930725,0.8836817145347595,-0.6098487973213196,0.8803362250328064
120,6,-0.5745571851730347,0.8836817145347595,-0.5772467851638794,0.8803362250328064
140,7,-0.5391426682472229,0.8836817145347595,-0.5420913100242615,0.8803362250328064
160,8,-0.4800002872943878,0.8836817145347595,-0.48418888449668884,0.8803362250328064
180,9,-0.42860379815101624,0.8836817145347595,-0.43323591351509094,0.8803362250328064
200,10,-0.37203463912010193,0.8836817145347595,-0.37800875306129456,0.8803362250328064
