global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.903024196624756,-0.6645627617835999,15380.46875,0.10546875
0,49,49,-2.891477584838867,-0.6713705658912659,15254.35546875,0.11328125
0,99,99,-2.8892927169799805,-0.6878793239593506,15125.9130859375,0.15625
0,149,149,-2.879551410675049,-0.6968109607696533,14997.609375,0.88671875
0,199,199,-2.872490406036377,-0.708435595035553,14869.220703125,0.86328125
0,249,249,-2.820878028869629,-0.6754794716835022,14741.033203125,0.12890625
0,299,299,-2.836550712585449,-0.709800124168396,14612.90234375,0.89453125
0,349,349,-2.823956251144409,-0.715850830078125,14484.79296875,0.90234375
0,399,399,-2.7917075157165527,-0.7022397518157959,14356.7333984375,0.8515625
0,449,449,-2.7541799545288086,-0.6833196878433228,14228.880859375,0.15234375
0,499,499,-2.7440106868743896,-0.6917154788970947,14101.3203125,0.2890625
0,549,549,-2.737955093383789,-0.704201340675354,13973.921875,0.84375
0,599,599,-2.6697099208831787,-0.6544833779335022,13846.6220703125,0.12109375
0,649,649,-2.66485857963562,-0.6681615114212036,13719.3056640625,0.1171875
0,699,699,-2.6575989723205566,-0.6793936491012573,13592.2490234375,0.11328125
0,749,749,-2.6810684204101562,-0.7212966680526733,13465.591796875,0.91015625
0,799,799,-2.6309237480163574,-0.6895818114280701,13338.9609375,0.13671875
0,849,849,-2.6158788204193115,-0.6929219961166382,13212.63671875,0.46484375
0,899,899,-2.572230577468872,-0.6676416397094727,13086.4306640625,0.1171875
0,949,949,-2.5809237957000732,-0.6946350932121277,12960.6904296875,0.62890625
0,999,999,-2.5463242530822754,-0.6783721446990967,12834.701171875,0.10546875
0,1049,1049,-2.549093246459961,-0.6994250416755676,12709.0712890625,0.87890625
0,1099,1099,-2.511363983154297,-0.6799298524856567,12583.78515625,0.12890625
0,1149,1149,-2.5075714588165283,-0.6942681074142456,12459.2080078125,0.60546875
0,1199,1199,-2.491905689239502,-0.6967752575874329,12334.341796875,0.73828125
0,1249,1249,-2.4807114601135254,-0.7036588191986084,12210.12890625,0.90625
0,1299,1299,-2.443861246109009,-0.6848118901252747,12086.4287109375,0.16796875
0,1349,1349,-2.4103994369506836,-0.6693474054336548,11962.76953125,0.109375
0,1399,1399,-2.4324376583099365,-0.7091850638389587,11840.46875,0.875
0,1449,1449,-2.4098763465881348,-0.7043623328208923,11718.587890625,0.87890625
0,1499,1499,-2.4063282012939453,-0.7185484766960144,11596.7353515625,0.86328125
0,1549,1549,-2.3723440170288086,-0.7022102475166321,11475.490234375,0.8359375
0,1599,1599,-2.3300576210021973,-0.6774778366088867,11354.875,0.14453125
0,1649,1649,-2.3238134384155273,-0.688644528388977,11235.2470703125,0.21484375
0,1699,1699,-2.3302571773529053,-0.7122781276702881,11117.134765625,0.86328125
0,1749,1749,-2.2910079956054688,-0.6901581287384033,10999.4384765625,0.28125
0,1799,1799,-2.2771012783050537,-0.6933419704437256,10882.0107421875,0.4609375
0,1849,1849,-2.250824213027954,-0.6839752793312073,10765.8193359375,0.16796875
0,1899,1899,-2.2432754039764404,-0.6932249665260315,10650.396484375,0.5078125
0,1949,1949,-2.2193150520324707,-0.685834527015686,10536.5439453125,0.23046875
0,1999,1999,-2.1936817169189453,-0.6766825914382935,10423.30078125,0.125
0,2049,2049,-2.156813859939575,-0.6561613082885742,10310.9833984375,0.1328125
0,2099,2099,-2.2040305137634277,-0.7195782661437988,10199.671875,0.8671875
0,2149,2149,-2.0964508056640625,-0.627991795539856,10089.78125,0.109375
0,2199,2199,-2.1399364471435547,-0.6872769594192505,9981.224609375,0.30078125
0,2249,2249,-2.1363372802734375,-0.6991344690322876,9875.0205078125,0.6796875
0,2299,2299,-2.0769598484039307,-0.6551012992858887,9769.5908203125,0.11328125
0,2349,2349,-2.0759644508361816,-0.6691586375236511,9666.162109375,0.13671875
0,2399,2399,-2.060027599334717,-0.6681129336357117,9563.8466796875,0.14453125
0,2449,2449,-2.0605075359344482,-0.6835970282554626,9460.751953125,0.2578125
0,2499,2499,-1.9830904006958008,-0.6210001707077026,9358.921875,0.1328125
0,2549,2549,-2.003384828567505,-0.655928373336792,9258.373046875,0.13671875
0,2599,2599,-1.8854178190231323,-0.5522753000259399,9160.0224609375,0.1328125
0,2649,2649,-1.9576995372772217,-0.6388386487960815,9061.89453125,0.15234375
0,2699,2699,-1.920637607574463,-0.615668535232544,8966.4423828125,0.13671875
