iteration,vfe,ll,kl,error
0,-61.83120346069336,-61.83118438720703,0.484427273273468,1.0610195398330688
49,-26.94873046875,-26.94852066040039,7.686425685882568,0.6690091490745544
99,-12.909701347351074,-12.908995628356934,25.88124656677246,0.4226800203323364
149,-9.594310760498047,-9.593245506286621,38.969356536865234,0.401455283164978
199,-12.407500267028809,-12.40550422668457,73.0147933959961,0.4228687882423401
249,-8.46787166595459,-8.464097023010254,138.07684326171875,0.3818266689777374
299,-7.976635932922363,-7.969234466552734,270.7303466796875,0.3605232238769531
349,-7.5136942863464355,-7.5056586265563965,293.9796142578125,0.3719841241836548
399,-7.677348613739014,-7.665030002593994,450.63018798828125,0.3594720959663391
449,-6.412777900695801,-6.399988174438477,467.8732604980469,0.3592512905597687
499,-7.259808540344238,-7.245297908782959,530.8453979492188,0.37015458941459656
549,-6.310882568359375,-6.292847633361816,659.7780151367188,0.3568420708179474
599,-6.530766487121582,-6.512805461883545,657.1171264648438,0.36211514472961426
649,-6.740555763244629,-6.719934940338135,754.3704833984375,0.3786262571811676
699,-5.940919399261475,-5.919692516326904,776.5706787109375,0.3563976585865021
749,-5.792269706726074,-5.768448352813721,871.474609375,0.3547453284263611
799,-6.083726406097412,-6.056422233581543,998.8992309570312,0.365116685628891
849,-5.306439399719238,-5.275308609008789,1138.8826904296875,0.3512619137763977
899,-5.601796627044678,-5.5680718421936035,1233.7938232421875,0.3579981029033661
949,-5.3942551612854,-5.3577704429626465,1334.7679443359375,0.3516392111778259
999,-4.8118896484375,-4.768810272216797,1575.9969482421875,0.3378479778766632
1049,-4.771934986114502,-4.721508026123047,1844.8099365234375,0.33262988924980164
1099,-4.992791652679443,-4.93747091293335,2023.8336181640625,0.34264224767684937
1149,-4.354493618011475,-4.297194004058838,2096.233154296875,0.3272695541381836
1199,-4.4803595542907715,-4.417008399963379,2317.65869140625,0.32821983098983765
1249,-4.660993576049805,-4.593672275543213,2462.887939453125,0.33830684423446655
1299,-4.270339488983154,-4.202464580535889,2483.146240234375,0.3254527151584625
1349,-4.273350238800049,-4.203223705291748,2565.51513671875,0.32735541462898254
1399,-4.5389018058776855,-4.466312408447266,2655.612060546875,0.3362094461917877
1449,-4.1433916091918945,-4.070266246795654,2675.22265625,0.3237539231777191
1499,-4.211196422576904,-4.140959739685059,2569.534423828125,0.32617536187171936
1549,-4.538223743438721,-4.465583801269531,2657.454345703125,0.3373276889324188
1599,-4.240671634674072,-4.172381401062012,2498.34228515625,0.3275197148323059
1649,-4.166079521179199,-4.098671913146973,2466.048828125,0.32451537251472473
1699,-4.5036468505859375,-4.4345598220825195,2527.483154296875,0.3366835117340088
1749,-4.155808925628662,-4.089711666107178,2418.114990234375,0.32540982961654663
1799,-4.045568943023682,-3.9780495166778564,2470.147705078125,0.32366639375686646
1849,-4.488352298736572,-4.421233654022217,2455.484375,0.33626219630241394
1899,-4.0743937492370605,-4.002835750579834,2617.887451171875,0.3243089020252228
1949,-3.9825496673583984,-3.9095611572265625,2670.22265625,0.3220350742340088
1999,-4.348060131072998,-4.273329257965088,2733.957275390625,0.3335839509963989
