iteration,vfe,ll,kl,error
0,-0.3204435408115387,-0.3186969757080078,6.82373046875,0.14128488302230835
49,-0.3166074752807617,-0.31609371304512024,2.0072946548461914,0.13821345567703247
99,-0.314413845539093,-0.31188032031059265,9.898493766784668,0.13335037231445312
149,-0.3154778480529785,-0.31287235021591187,10.179758071899414,0.13693368434906006
199,-0.3139229714870453,-0.3109714686870575,11.531411170959473,0.13463014364242554
249,-0.31440654397010803,-0.3114081025123596,11.71483325958252,0.13360637426376343
299,-0.31450557708740234,-0.31166261434555054,11.10742473602295,0.13565397262573242
349,-0.31346210837364197,-0.3106051981449127,11.162008285522461,0.13590991497039795
399,-0.3144964873790741,-0.31135159730911255,12.287129402160645,0.136421799659729
449,-0.31349417567253113,-0.31063932180404663,11.153836250305176,0.13718968629837036
499,-0.3138699233531952,-0.31087467074394226,11.702407836914062,0.13463014364242554
549,-0.3134196698665619,-0.3103395998477936,12.033963203430176,0.13411825895309448
599,-0.3145047724246979,-0.31143003702163696,12.01313591003418,0.13411825895309448
649,-0.3146282732486725,-0.3114927411079407,12.250449180603027,0.13335037231445312
699,-0.31389060616493225,-0.31084203720092773,11.91069221496582,0.13488608598709106
749,-0.31296589970588684,-0.3099702298641205,11.704123497009277,0.1320706605911255
799,-0.31459981203079224,-0.3112278878688812,13.173956871032715,0.13718968629837036
849,-0.3138751685619354,-0.3105963170528412,12.81036376953125,0.13335037231445312
899,-0.3140603303909302,-0.3110267221927643,11.852374076843262,0.13590991497039795
949,-0.3139648139476776,-0.3107955753803253,12.382181167602539,0.13616585731506348
999,-0.3138439357280731,-0.31078267097473145,11.96023941040039,0.13770157098770142
0,-0.3114299178123474,-0.3087151050567627,10.606715202331543,0.13463014364242554
49,-0.3119353950023651,-0.3077321946620941,16.4219913482666,0.13411825895309448
99,-0.3114783763885498,-0.30721578001976013,16.654043197631836,0.13437420129776
149,-0.3121773898601532,-0.30765455961227417,17.670654296875,0.13232660293579102
199,-0.31098878383636475,-0.3066287934780121,17.03449058532715,0.13437420129776
