iteration,vfe,ll,kl,error
0,-0.33232709765434265,-0.3286971151828766,14.182337760925293,0.109375
49,-0.3340047299861908,-0.33155250549316406,9.580934524536133,0.1484375
99,-0.3792060613632202,-0.37651440501213074,10.516395568847656,0.1640625
149,-0.38274282217025757,-0.3801809549331665,10.009161949157715,0.1875
199,-0.40406402945518494,-0.4014076888561249,10.378368377685547,0.1796875
249,-0.27206969261169434,-0.2691352367401123,11.464959144592285,0.1171875
299,-0.30242857336997986,-0.29939794540405273,11.84065055847168,0.140625
349,-0.32780107855796814,-0.32473692297935486,11.97155475616455,0.1484375
399,-0.3474663197994232,-0.3443179130554199,12.300948143005371,0.140625
449,-0.30859366059303284,-0.3054150938987732,12.418560981750488,0.125
499,-0.3247406780719757,-0.32160601019859314,12.247201919555664,0.125
549,-0.2706093490123749,-0.267473429441452,12.251973152160645,0.1015625
599,-0.30540651082992554,-0.302197128534317,12.538985252380371,0.1328125
649,-0.29270780086517334,-0.2893754243850708,13.019601821899414,0.125
699,-0.36439523100852966,-0.3611587584018707,12.644935607910156,0.1796875
749,-0.3369060456752777,-0.3333521783351898,13.88500690460205,0.125
799,-0.26770028471946716,-0.2644732594490051,12.608138084411621,0.09375
849,-0.31734609603881836,-0.3139066696166992,13.437829971313477,0.1484375
899,-0.3532891273498535,-0.3497260510921478,13.920953750610352,0.15625
949,-0.25646042823791504,-0.25300076603889465,13.516876220703125,0.0625
999,-0.28528234362602234,-0.28185901045799255,13.374963760375977,0.125
0,-0.3049892485141754,-0.2982575595378876,26.30075454711914,0.109375
49,-0.32730206847190857,-0.3197592794895172,29.469629287719727,0.15625
99,-0.3709895610809326,-0.3640149235725403,27.249876022338867,0.15625
149,-0.37290194630622864,-0.36591416597366333,27.30134391784668,0.1796875
199,-0.4253256022930145,-0.41836339235305786,27.201374053955078,0.1875
249,-0.2365424633026123,-0.22959505021572113,27.143644332885742,0.1171875
299,-0.27925974130630493,-0.2723839581012726,26.863616943359375,0.1171875
349,-0.30961209535598755,-0.30275359749794006,26.796096801757812,0.1484375
399,-0.36675122380256653,-0.35995587706565857,26.549421310424805,0.15625
449,-0.2988588809967041,-0.292029470205307,26.682485580444336,0.1328125
499,-0.301273912191391,-0.29433199763298035,27.121984481811523,0.1328125
549,-0.2496234029531479,-0.242819145321846,26.584150314331055,0.1015625
599,-0.2983859181404114,-0.2914693057537079,27.023157119750977,0.125
649,-0.29420971870422363,-0.28740546107292175,26.5842227935791,0.125
699,-0.3447531759738922,-0.3379726707935333,26.491430282592773,0.1484375
749,-0.3158334791660309,-0.30878153443336487,27.552030563354492,0.1328125
799,-0.2463529407978058,-0.23943987488746643,27.009342193603516,0.09375
849,-0.3018724024295807,-0.2950206995010376,26.769580841064453,0.1640625
899,-0.33259257674217224,-0.3256911337375641,26.96390724182129,0.15625
949,-0.26230373978614807,-0.255481094121933,26.656177520751953,0.0703125
999,-0.2634870111942291,-0.256557822227478,27.072324752807617,0.1171875
0,-0.30953463912010193,-0.30319252610206604,24.77884292602539,0.1328125
49,-0.33325621485710144,-0.32601198554039,28.3031063079834,0.1640625
99,-0.38117513060569763,-0.37406525015830994,27.7783260345459,0.15625
149,-0.38281044363975525,-0.37554797530174255,28.374439239501953,0.15625
199,-0.42147397994995117,-0.41387197375297546,29.701330184936523,0.171875
249,-0.23156237602233887,-0.22406995296478271,29.27280044555664,0.109375
299,-0.28201812505722046,-0.27451297640800476,29.322559356689453,0.1328125
349,-0.30394771695137024,-0.29660341143608093,28.694229125976562,0.15625
399,-0.37532374262809753,-0.36793002486228943,28.88740348815918,0.1328125
449,-0.29587608575820923,-0.28823989629745483,29.834619522094727,0.125
499,-0.2972432076931,-0.2897004783153534,29.469507217407227,0.125
549,-0.24224010109901428,-0.2346479743719101,29.662500381469727,0.09375
599,-0.29313158988952637,-0.2854286730289459,30.095245361328125,0.1015625
649,-0.2834092378616333,-0.2758466899394989,29.547033309936523,0.125
699,-0.35889577865600586,-0.3513261377811432,29.574726104736328,0.1484375
749,-0.3080386221408844,-0.3004487156867981,29.653797149658203,0.1328125
799,-0.24111898243427277,-0.23353195190429688,29.642431259155273,0.09375
849,-0.315438836812973,-0.3077692985534668,29.9649658203125,0.15625
899,-0.33834925293922424,-0.33085256814956665,29.28960609436035,0.15625
949,-0.2821466028690338,-0.27457451820373535,29.58408546447754,0.0703125
999,-0.2607997953891754,-0.25313377380371094,29.951156616210938,0.1171875
