iteration,vfe,ll,kl,error
0,-0.32782039046287537,-0.3270070254802704,3.1777946949005127,0.1328125
49,-0.3426286280155182,-0.34240445494651794,0.8760185241699219,0.1640625
99,-0.36738479137420654,-0.3671153485774994,1.0527938604354858,0.140625
149,-0.38356754183769226,-0.38285955786705017,2.7660796642303467,0.21875
199,-0.40303096175193787,-0.40198537707328796,4.085276126861572,0.1953125
249,-0.26433292031288147,-0.2629983127117157,5.214268207550049,0.1015625
299,-0.2997203767299652,-0.29794055223464966,6.9536590576171875,0.15625
349,-0.32552599906921387,-0.32354965806007385,7.721519470214844,0.140625
399,-0.3612419366836548,-0.3595317006111145,6.681837558746338,0.1171875
449,-0.302701860666275,-0.30069422721862793,7.843748569488525,0.1484375
499,-0.32450538873672485,-0.32246118783950806,7.986629009246826,0.15625
549,-0.2734396159648895,-0.27156442403793335,7.326282024383545,0.1015625
599,-0.3135317862033844,-0.3113614618778229,8.479392051696777,0.109375
649,-0.2982887923717499,-0.29613780975341797,8.403846740722656,0.125
699,-0.35554978251457214,-0.3533153235912323,8.730031967163086,0.1484375
749,-0.3275228440761566,-0.32524600625038147,8.89561653137207,0.140625
799,-0.26566728949546814,-0.2635650336742401,8.21345043182373,0.078125
849,-0.3268619477748871,-0.3246605098247528,8.601045608520508,0.171875
899,-0.3519537150859833,-0.3497653901576996,8.54981517791748,0.171875
949,-0.28526419401168823,-0.2831074893474579,8.42629337310791,0.0703125
999,-0.2849411368370056,-0.2828134298324585,8.312880516052246,0.125
0,-0.29925790429115295,-0.29721322655677795,7.98848295211792,0.140625
49,-0.3240056335926056,-0.32059669494628906,13.318648338317871,0.171875
99,-0.3779606223106384,-0.3746660649776459,12.871742248535156,0.1796875
149,-0.38356196880340576,-0.38017508387565613,13.23258113861084,0.1875
199,-0.420175701379776,-0.4169807434082031,12.482519149780273,0.15625
249,-0.2505781352519989,-0.24722807109355927,13.088711738586426,0.125
299,-0.2873123586177826,-0.2838006913661957,13.720122337341309,0.1328125
349,-0.30912885069847107,-0.30550649762153625,14.152559280395508,0.1484375
399,-0.384583979845047,-0.3812885880470276,12.874991416931152,0.140625
449,-0.28859052062034607,-0.28502845764160156,13.917022705078125,0.1328125
499,-0.3115377724170685,-0.30822762846946716,12.93255615234375,0.140625
549,-0.25063014030456543,-0.24733681976795197,12.867036819458008,0.1015625
599,-0.30697548389434814,-0.30353665351867676,13.435465812683105,0.1484375
649,-0.2773168683052063,-0.273980051279068,13.037007331848145,0.1171875
699,-0.35566246509552,-0.35216575860977173,13.661635398864746,0.1796875
749,-0.3129192888736725,-0.30939576029777527,13.76646614074707,0.140625
799,-0.2455798238515854,-0.24204467236995697,13.81182861328125,0.09375
849,-0.3160868287086487,-0.31240853667259216,14.37094783782959,0.15625
899,-0.3342590928077698,-0.33058950304985046,14.336987495422363,0.1640625
949,-0.27790752053260803,-0.27424854040145874,14.295613288879395,0.0703125
999,-0.255700021982193,-0.2522208094596863,13.593289375305176,0.1015625
0,-0.3014918863773346,-0.29759523272514343,15.224234580993652,0.1328125
49,-0.3133780062198639,-0.3083377778530121,19.69220542907715,0.140625
99,-0.3821795582771301,-0.3777528703212738,17.295019149780273,0.1640625
149,-0.3793284296989441,-0.37473157048225403,17.960006713867188,0.171875
199,-0.4205186069011688,-0.4156542718410492,19.00465202331543,0.171875
249,-0.23759210109710693,-0.23301516473293304,17.882089614868164,0.125
299,-0.2911524772644043,-0.2866942882537842,17.418140411376953,0.140625
349,-0.3089238107204437,-0.3042014539241791,18.450220108032227,0.1484375
399,-0.3812738060951233,-0.3767475187778473,17.68410873413086,0.140625
449,-0.28634366393089294,-0.28168436884880066,18.204111099243164,0.1328125
499,-0.31185150146484375,-0.30686983466148376,19.463327407836914,0.140625
549,-0.24474607408046722,-0.24014337360858917,17.982757568359375,0.1015625
599,-0.30431848764419556,-0.2995065152645111,18.800390243530273,0.1171875
649,-0.28445419669151306,-0.2799290418624878,17.67975425720215,0.109375
699,-0.3636564016342163,-0.3590404689311981,18.034439086914062,0.1640625
749,-0.30545496940612793,-0.3006550073623657,18.75348472595215,0.1484375
799,-0.2420535832643509,-0.23740454018115997,18.163833618164062,0.0859375
849,-0.31411659717559814,-0.3093460202217102,18.63881492614746,0.15625
899,-0.33447888493537903,-0.3298247754573822,18.183597564697266,0.1640625
949,-0.2829698622226715,-0.2783861756324768,17.908512115478516,0.078125
999,-0.2649863362312317,-0.26007309556007385,19.19587516784668,0.125
