global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.3057522773742676,-0.6934045553207397,6299.443359375,0.765625
0,49,49,-2.2222795486450195,-0.6932083964347839,5974.08154296875,0.734375
0,99,99,-2.13956880569458,-0.6931905746459961,5650.99951171875,0.7734375
0,149,149,-2.0589399337768555,-0.6927401423454285,5337.74365234375,0.2109375
0,199,199,-1.9812953472137451,-0.6926426887512207,5034.765625,0.2265625
0,249,249,-1.9067872762680054,-0.6929490566253662,4742.46630859375,0.2578125
0,299,299,-1.833715796470642,-0.6918708086013794,4461.1884765625,0.296875
0,349,349,-1.7650278806686401,-0.6922866106033325,4191.2001953125,0.171875
0,399,399,-1.6982907056808472,-0.6917012929916382,3932.744873046875,0.2890625
0,449,449,-1.6351583003997803,-0.6917340159416199,3685.958740234375,0.25
0,499,499,-1.5745346546173096,-0.69126957654953,3450.916748046875,0.2109375
0,549,549,-1.5170722007751465,-0.690961480140686,3227.614501953125,0.2109375
0,599,599,-1.46189284324646,-0.6899464130401611,3015.994873046875,0.203125
0,649,649,-1.409598708152771,-0.6888635754585266,2815.912353515625,0.2421875
0,699,699,-1.3600068092346191,-0.6875771284103394,2627.182861328125,0.2265625
0,749,749,-1.314386010169983,-0.687411904335022,2449.588134765625,0.2734375
0,799,799,-1.2674044370651245,-0.6830929517745972,2282.90478515625,0.2109375
0,849,849,-1.2273449897766113,-0.6829953193664551,2126.7744140625,0.265625
0,899,899,-1.1768996715545654,-0.6699674129486084,1980.583984375,0.1796875
0,949,949,-1.14131498336792,-0.6694431900978088,1843.6029052734375,0.2734375
0,999,999,-1.0974888801574707,-0.6585376262664795,1714.982666015625,0.2578125
1,0,1000,-2.7298688888549805,-0.6087880730628967,8287.0634765625,0.234375
1,49,1049,-2.7284765243530273,-0.6158686876296997,8253.958984375,0.265625
1,99,1099,-2.708951711654663,-0.6039485931396484,8224.248046875,0.2265625
1,149,1149,-2.695249557495117,-0.5969240069389343,8198.1591796875,0.2109375
1,199,1199,-2.691718101501465,-0.5992818474769592,8175.1494140625,0.2265625
1,249,1249,-2.6983659267425537,-0.611139178276062,8154.7958984375,0.2578125
1,299,1299,-2.701474905014038,-0.6188808679580688,8136.69580078125,0.296875
1,349,1349,-2.6520793437957764,-0.5736188888549805,8120.5458984375,0.171875
1,399,1399,-2.6906447410583496,-0.6158835887908936,8106.09228515625,0.2890625
1,449,1449,-2.669691562652588,-0.59825599193573,8093.10009765625,0.25
1,499,1499,-2.655735492706299,-0.587295413017273,8081.39599609375,0.2109375
1,549,1549,-2.642904281616211,-0.5771714448928833,8070.818359375,0.2109375
1,599,1599,-2.643303632736206,-0.580026388168335,8061.22509765625,0.203125
1,649,1649,-2.6500988006591797,-0.5890514254570007,8052.51220703125,0.2421875
1,699,1699,-2.6455202102661133,-0.5865049958229065,8044.57177734375,0.2265625
1,749,1749,-2.6562724113464355,-0.5991142392158508,8037.3173828125,0.2734375
1,799,1799,-2.6323792934417725,-0.5769190788269043,8030.68310546875,0.2109375
1,849,1849,-2.64896821975708,-0.5950665473937988,8024.5947265625,0.265625
1,899,1899,-2.6112234592437744,-0.558753252029419,8019.001953125,0.1796875
1,949,1949,-2.6431069374084473,-0.5919542908668518,8013.8544921875,0.2734375
1,999,1999,-2.6417388916015625,-0.5918014645576477,8009.10546875,0.2578125
2,0,2000,-7.814662933349609,-6.572863578796387,4851.7080078125,0.234375
2,49,2049,-10.42628288269043,-9.188506126403809,4835.99462890625,0.265625
2,99,2099,-9.01963996887207,-7.785638809204102,4821.24462890625,0.2265625
2,149,2149,-8.185538291931152,-6.955017566680908,4807.6435546875,0.2109375
2,199,2199,-7.304752349853516,-6.077439308166504,4795.11376953125,0.2265625
2,249,2249,-8.854410171508789,-7.630030632019043,4783.654296875,0.2578125
2,299,2299,-8.679720878601074,-7.457945346832275,4773.47705078125,0.296875
2,349,2349,-5.5444135665893555,-4.324895858764648,4764.65576171875,0.171875
2,399,2399,-8.137036323547363,-6.919367790222168,4757.4296875,0.2890625
2,449,2449,-6.899718284606934,-5.683438301086426,4752.00634765625,0.25
2,499,2499,-4.994294166564941,-3.7788944244384766,4748.56640625,0.2109375
2,549,2549,-4.203708648681641,-2.988605260848999,4747.41015625,0.2109375
2,599,2599,-4.8279829025268555,-3.612576961517334,4748.59326171875,0.203125
2,649,2649,-4.546514511108398,-3.330148220062256,4752.3427734375,0.2421875
2,699,2699,-4.510689735412598,-3.292705535888672,4758.66357421875,0.2265625
2,749,2749,-4.272398948669434,-3.0521738529205322,4767.42041015625,0.2734375
2,799,2799,-3.8827266693115234,-2.65958309173584,4778.822265625,0.2109375
2,849,2849,-3.571047067642212,-2.344433546066284,4792.37890625,0.265625
2,899,2899,-2.7928967475891113,-1.5623085498809814,4807.90869140625,0.1796875
2,949,2949,-3.35516357421875,-2.1201119422912598,4825.34619140625,0.2734375
2,999,2999,-3.7180962562561035,-2.4782769680023193,4843.974609375,0.2578125
3,0,3000,-2.3254458904266357,-0.6094825863838196,6704.2685546875,0.234375
3,49,3049,-2.304532527923584,-0.597237765789032,6670.4013671875,0.265625
3,99,3099,-2.3001444339752197,-0.6011519432067871,6637.96435546875,0.2265625
3,149,3149,-2.2864017486572266,-0.5952627658843994,6607.27978515625,0.2109375
3,199,3199,-2.2905473709106445,-0.6069139242172241,6577.95556640625,0.2265625
3,249,3249,-2.2776026725769043,-0.6012192964553833,6549.630859375,0.2578125
3,299,3299,-2.27227783203125,-0.6029579043388367,6522.03369140625,0.296875
3,349,3349,-2.231450080871582,-0.5690641403198242,6494.94287109375,0.171875
3,399,3399,-2.251347064971924,-0.5958150625228882,6468.16455078125,0.2890625
3,449,3449,-2.239063262939453,-0.5903225541114807,6441.62939453125,0.25
3,499,3499,-2.23850679397583,-0.5965163707733154,6415.2568359375,0.2109375
3,549,3549,-2.2116193771362305,-0.5763389468193054,6389.041015625,0.2109375
3,599,3599,-2.228515863418579,-0.5998618602752686,6363.1513671875,0.203125
3,649,3649,-2.220165491104126,-0.59804368019104,6337.63037109375,0.2421875
3,699,3699,-2.212407112121582,-0.5966712236404419,6312.6806640625,0.2265625
3,749,3749,-2.2198448181152344,-0.6102705597877502,6288.60693359375,0.2734375
3,799,3799,-2.1952157020568848,-0.5915607213973999,6265.48046875,0.2109375
3,849,3849,-2.1974267959594727,-0.5993712544441223,6243.603515625,0.265625
3,899,3899,-2.1627938747406006,-0.5699764490127563,6223.13818359375,0.1796875
3,949,3949,-2.1783881187438965,-0.5904512405395508,6204.0703125,0.2734375
3,999,3999,-2.1818456649780273,-0.5983753800392151,6186.6181640625,0.2578125
4,0,4000,-4.45680046081543,-3.115823745727539,5239.19677734375,0.234375
4,49,4049,-5.11942195892334,-3.7837486267089844,5218.4765625,0.265625
4,99,4099,-4.463056564331055,-3.132404088973999,5198.85986328125,0.2265625
4,149,4149,-4.104798793792725,-2.7788496017456055,5180.48486328125,0.2109375
4,199,4199,-3.9641573429107666,-2.6425838470458984,5163.38818359375,0.2265625
4,249,4249,-4.534956932067871,-3.21740984916687,5147.65673828125,0.2578125
4,299,4299,-4.577751159667969,-3.2638680934906006,5133.34228515625,0.296875
