global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.158499240875244,-0.693130373954773,5298.77392578125,0.125
0,49,49,-2.095309257507324,-0.6935428977012634,5068.787109375,0.8671875
0,99,99,-2.0313539505004883,-0.6934539675712585,4837.84619140625,0.8515625
0,149,149,-1.9675465822219849,-0.6923483610153198,4611.11669921875,0.0390625
0,199,199,-1.9071513414382935,-0.6934084892272949,4388.89404296875,0.9140625
0,249,249,-1.847609281539917,-0.6939787864685059,4171.52783203125,0.8984375
0,299,299,-1.7870471477508545,-0.6921064853668213,3959.305419921875,0.1015625
0,349,349,-1.7302088737487793,-0.6924479007720947,3752.543701171875,0.09375
0,399,399,-1.6742233037948608,-0.692050576210022,3551.536865234375,0.1171875
0,449,449,-1.6201248168945312,-0.6918688416481018,3356.573486328125,0.1484375
0,499,499,-1.5645582675933838,-0.6884744167327881,3167.919189453125,0.078125
0,549,549,-1.5146442651748657,-0.6889209747314453,2985.8154296875,0.109375
0,599,599,-1.4656589031219482,-0.6884247660636902,2810.478759765625,0.140625
0,649,649,-1.4195208549499512,-0.6888545751571655,2642.089599609375,0.1015625
0,699,699,-1.3728126287460327,-0.6867464780807495,2480.8154296875,0.140625
0,749,749,-1.325691819190979,-0.6822850108146667,2326.55908203125,0.1484375
0,799,799,-1.276479721069336,-0.6739166975021362,2178.8681640625,0.078125
0,849,849,-1.2211735248565674,-0.657869815826416,2036.906005859375,0.0703125
0,899,899,-1.169276237487793,-0.6439515352249146,1899.5738525390625,0.0859375
0,949,949,-1.0991560220718384,-0.6109315156936646,1765.419677734375,0.078125
0,999,999,-1.0173099040985107,-0.5656967163085938,1633.0335693359375,0.125
1,0,1000,-2.2250137329101562,-0.4527318477630615,6408.5712890625,0.125
1,49,1049,-2.214317560195923,-0.4480675756931305,6386.76025390625,0.1328125
1,99,1099,-2.22464656829834,-0.46379467844963074,6367.23974609375,0.1484375
1,149,1149,-2.1190762519836426,-0.3629603981971741,6350.11474609375,0.0390625
1,199,1199,-2.149862766265869,-0.39792001247406006,6335.025390625,0.0859375
1,249,1249,-2.15578031539917,-0.4075218737125397,6321.703125,0.1015625
1,299,1299,-2.1478357315063477,-0.40284398198127747,6309.89013671875,0.1015625
1,349,1349,-2.1365339756011963,-0.3944544792175293,6299.359375,0.09375
1,399,1399,-2.148401975631714,-0.4089270234107971,6289.94140625,0.1171875
1,449,1449,-2.185293674468994,-0.4481532573699951,6281.49951171875,0.1484375
1,499,1499,-2.1054277420043945,-0.37038350105285645,6273.9189453125,0.078125
1,549,1549,-2.1337778568267822,-0.40062665939331055,6267.07421875,0.109375
1,599,1599,-2.152459144592285,-0.42102110385894775,6260.87890625,0.140625
1,649,1649,-2.1107728481292725,-0.3808891177177429,6255.25927734375,0.1015625
1,699,1699,-2.14414119720459,-0.4156686067581177,6250.1572265625,0.140625
1,749,1749,-2.1555135250091553,-0.4283260405063629,6245.51025390625,0.1484375
1,799,1799,-2.071150302886963,-0.3451371490955353,6241.263671875,0.078125
1,849,1849,-2.066087007522583,-0.34114933013916016,6237.37451171875,0.0703125
1,899,1899,-2.082130193710327,-0.35817691683769226,6233.81494140625,0.0859375
1,949,1949,-2.064274549484253,-0.3412248492240906,6230.5478515625,0.078125
1,999,1999,-2.1123154163360596,-0.3900974690914154,6227.5400390625,0.125
2,0,2000,-16.118741989135742,-14.85884952545166,4555.77099609375,0.125
2,49,2049,-14.947874069213867,-13.691600799560547,4542.6845703125,0.1328125
2,99,2099,-16.47414779663086,-15.22156047821045,4529.3525390625,0.1484375
2,149,2149,-5.014843940734863,-3.7658984661102295,4516.185546875,0.0390625
2,199,2199,-9.98458480834961,-8.739198684692383,4503.31494140625,0.0859375
2,249,2249,-10.42027759552002,-9.17838191986084,4490.693359375,0.1015625
2,299,2299,-9.29804801940918,-8.05952262878418,4478.5068359375,0.1015625
2,349,2349,-8.986461639404297,-7.75106143951416,4467.21044921875,0.09375
2,399,2399,-9.704286575317383,-8.471700668334961,4457.0283203125,0.1171875
2,449,2449,-12.946654319763184,-11.716513633728027,4448.1884765625,0.1484375
2,499,2499,-6.741812229156494,-5.513675689697266,4440.94140625,0.078125
2,549,2549,-7.847133159637451,-6.620421409606934,4435.7890625,0.109375
2,599,2599,-8.298372268676758,-7.072422981262207,4433.03515625,0.140625
2,649,2649,-6.261313438415527,-5.035397529602051,4432.912109375,0.1015625
2,699,2699,-7.659901142120361,-6.433225631713867,4435.6591796875,0.140625
2,749,2749,-7.456042766571045,-6.227771282196045,4441.43017578125,0.1484375
2,799,2799,-3.809800386428833,-2.579101324081421,4450.20751953125,0.078125
2,849,2849,-4.221911430358887,-2.987997055053711,4461.8349609375,0.0703125
2,899,2899,-4.215391159057617,-2.9774484634399414,4476.4013671875,0.0859375
2,949,2949,-3.145078182220459,-1.902357578277588,4493.677734375,0.078125
2,999,2999,-4.254391670227051,-3.0062828063964844,4513.16259765625,0.125
