communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.6931448578834534,0.8836817145347595,-0.693143367767334,0.8803362250328064
20,1,-0.44464975595474243,0.8836817145347595,-0.44762539863586426,0.8803362250328064
40,2,-12.726876258850098,0.8836817145347595,-13.078917503356934,0.8803362250328064
60,3,-0.5185959935188293,0.8836817145347595,-0.5224450826644897,0.8803362250328064
80,4,-4.536636829376221,0.8836817145347595,-4.638906002044678,0.8803362250328064
100,5,-0.6303035020828247,0.8836817145347595,-0.6318079829216003,0.8803362250328064
120,6,-1.7099461555480957,0.8836817145347595,-1.7444229125976562,0.8803362250328064
140,7,-0.651448667049408,0.8836817145347595,-0.6528628468513489,0.8803362250328064
160,8,-0.8913069367408752,0.8836817145347595,-0.9193296432495117,0.8803362250328064
180,9,-0.6600719690322876,0.8836817145347595,-0.6609283685684204,0.8803362250328064
200,10,-0.9537092447280884,0.8836817145347595,-1.0470600128173828,0.8803362250328064
