global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-99.93589782714844,-0.6931589841842651,5160.62255859375,0.5384615659713745
0,49,49,-95.7001953125,-0.6930837631225586,4940.36962890625,0.4615384340286255
0,99,99,-91.44395446777344,-0.6931872963905334,4719.03955078125,0.5384615659713745
0,149,149,-87.26176452636719,-0.6931389570236206,4501.568359375,0.4615384340286255
0,199,199,-83.15934753417969,-0.6930407285690308,4288.248046875,0.4615384340286255
0,249,249,-79.1427001953125,-0.6930719017982483,4079.380126953125,0.4615384340286255
0,299,299,-75.21737670898438,-0.6931064128875732,3875.26171875,0.4615384340286255
0,349,349,-71.388916015625,-0.6929487586021423,3676.190185546875,0.4615384340286255
0,399,399,-67.6632080078125,-0.6929662227630615,3482.452392578125,0.4615384340286255
0,449,449,-64.04563903808594,-0.6931067705154419,3294.33154296875,0.4615384340286255
0,499,499,-60.540870666503906,-0.6929787993431091,3112.090087890625,0.4615384340286255
0,549,549,-57.15380859375,-0.692806601524353,2935.971923828125,0.4615384340286255
0,599,599,-53.888816833496094,-0.6927955150604248,2766.19287109375,0.4615384340286255
0,649,649,-50.74945068359375,-0.6927791833877563,2602.94677734375,0.4615384340286255
0,699,699,-47.73865509033203,-0.6927437782287598,2446.38720703125,0.4615384340286255
0,749,749,-44.85847091674805,-0.6924428939819336,2296.63330078125,0.4615384340286255
0,799,799,-42.11134719848633,-0.6928471922874451,2153.761962890625,0.4615384340286255
0,849,849,-39.49639129638672,-0.692280650138855,2017.813720703125,0.4615384340286255
0,899,899,-37.01507568359375,-0.6923650503158569,1888.7808837890625,0.4615384340286255
0,949,949,-34.6658935546875,-0.6924799680709839,1766.6175537109375,0.4615384340286255
0,999,999,-32.446983337402344,-0.6923841238021851,1651.2391357421875,0.4615384340286255
1,0,1000,-121.12628173828125,-0.6939764022827148,6262.4794921875,0.5384615659713745
1,49,1049,-120.70710754394531,-0.6939375400543213,6240.68505859375,0.5384615659713745
1,99,1099,-120.33055877685547,-0.6939829587936401,6221.1015625,0.5384615659713745
1,149,1149,-119.99952697753906,-0.693927526473999,6203.890625,0.5384615659713745
1,199,1199,-119.70732879638672,-0.6939217448234558,6188.69677734375,0.5384615659713745
1,249,1249,-119.44833374023438,-0.6939741373062134,6175.2265625,0.5384615659713745
1,299,1299,-119.21768188476562,-0.6939888596534729,6163.2314453125,0.5384615659713745
1,349,1349,-119.01142883300781,-0.6939758062362671,6152.50732421875,0.5384615659713745
1,399,1399,-118.82640075683594,-0.6939721703529358,6142.88623046875,0.5384615659713745
1,449,1449,-118.65969848632812,-0.6939350366592407,6134.2197265625,0.5384615659713745
1,499,1499,-118.50914001464844,-0.6939435005187988,6126.3896484375,0.5384615659713745
1,549,1549,-118.37263488769531,-0.693938136100769,6119.2919921875,0.5384615659713745
1,599,1599,-118.2485122680664,-0.6939365863800049,6112.83740234375,0.5384615659713745
1,649,1649,-118.1353530883789,-0.6939542293548584,6106.95263671875,0.5384615659713745
1,699,1699,-118.03186798095703,-0.6939454078674316,6101.57177734375,0.5384615659713745
1,749,1749,-117.93698120117188,-0.6939479112625122,6096.6376953125,0.5384615659713745
1,799,1799,-117.84977722167969,-0.6938912868499756,6092.10595703125,0.5384615659713745
1,849,1849,-117.76956176757812,-0.693994402885437,6087.92919921875,0.5384615659713745
1,899,1899,-117.69537353515625,-0.6939262747764587,6084.0751953125,0.5384615659713745
1,949,1949,-117.62675476074219,-0.6938821077346802,6080.50927734375,0.5384615659713745
1,999,1999,-117.563232421875,-0.6939289569854736,6077.20361328125,0.5384615659713745
2,0,2000,-61.05590057373047,-0.70066237449646,3138.47216796875,0.5384615659713745
2,49,2049,-60.70887756347656,-0.7003757953643799,3120.44189453125,0.5384615659713745
2,99,2099,-60.39796447753906,-0.7003629207611084,3104.275146484375,0.5384615659713745
2,149,2149,-60.12508773803711,-0.7001756429672241,3090.09521484375,0.5384615659713745
2,199,2199,-59.88475799560547,-0.7001819610595703,3077.59765625,0.5384615659713745
2,249,2249,-59.67166519165039,-0.6999481916427612,3066.529296875,0.5384615659713745
2,299,2299,-59.482627868652344,-0.7002402544021606,3056.68408203125,0.5384615659713745
2,349,2349,-59.31330108642578,-0.7000255584716797,3047.890380859375,0.5384615659713745
2,399,2399,-59.1617431640625,-0.7000946402549744,3040.005615234375,0.5384615659713745
2,449,2449,-59.025062561035156,-0.6999089121818542,3032.907958984375,0.5384615659713745
2,499,2499,-58.90176010131836,-0.6998779773712158,3026.497802734375,0.5384615659713745
2,549,2549,-58.78993225097656,-0.6997547149658203,3020.68896484375,0.5384615659713745
2,599,2599,-58.68857192993164,-0.6999472379684448,3015.408447265625,0.5384615659713745
2,649,2649,-58.595855712890625,-0.6997935771942139,3010.594970703125,0.5384615659713745
2,699,2699,-58.51141357421875,-0.6999695301055908,3006.195068359375,0.5384615659713745
2,749,2749,-58.43385314941406,-0.6999607086181641,3002.162109375,0.5384615659713745
2,799,2799,-58.362709045410156,-0.7000848054885864,2998.456298828125,0.5384615659713745
2,849,2849,-58.29688262939453,-0.6999268531799316,2995.041748046875,0.5384615659713745
2,899,2899,-58.2362174987793,-0.6998493671417236,2991.89111328125,0.5384615659713745
2,949,2949,-58.18048095703125,-0.7001598477363586,2988.976806640625,0.5384615659713745
2,999,2999,-58.12861633300781,-0.7002707123756409,2986.27392578125,0.5384615659713745
3,0,3000,-19.612018585205078,-0.7071124911308289,983.0549926757812,0.5384615659713745
3,49,3049,-19.421476364135742,-0.7060198187828064,973.2036743164062,0.5384615659713745
3,99,3099,-19.252403259277344,-0.7053898572921753,964.4447021484375,0.5384615659713745
3,149,3149,-19.10462188720703,-0.7046440243721008,956.7988891601562,0.5384615659713745
3,199,3199,-18.974327087402344,-0.7036775350570679,950.07373046875,0.5384615659713745
3,249,3249,-18.860790252685547,-0.7046425342559814,944.1195678710938,0.5384615659713745
3,299,3299,-18.757850646972656,-0.7037081718444824,938.8154296875,0.5384615659713745
3,349,3349,-18.665119171142578,-0.7023650407791138,934.063232421875,0.5384615659713745
3,399,3399,-18.583675384521484,-0.7032099962234497,929.7841186523438,0.5384615659713745
3,449,3449,-18.50925064086914,-0.7032466530799866,925.9121704101562,0.5384615659713745
3,499,3499,-18.440582275390625,-0.7022455930709839,922.3934326171875,0.5384615659713745
3,549,3549,-18.379417419433594,-0.7028363943099976,919.18212890625,0.5384615659713745
3,599,3599,-18.322702407836914,-0.702688455581665,916.2406616210938,0.5384615659713745
3,649,3649,-18.270870208740234,-0.702875018119812,913.5357055664062,0.5384615659713745
3,699,3699,-18.221553802490234,-0.7015464305877686,911.0404052734375,0.5384615659713745
3,749,3749,-18.177082061767578,-0.7014725208282471,908.7317504882812,0.5384615659713745
3,799,3799,-18.136146545410156,-0.7017164826393127,906.5902709960938,0.5384615659713745
3,849,3849,-18.097156524658203,-0.7010540962219238,904.5973510742188,0.5384615659713745
3,899,3899,-18.061080932617188,-0.7007282972335815,902.73828125,0.5384615659713745
3,949,3949,-18.028697967529297,-0.7017825245857239,900.9995727539062,0.5384615659713745
3,999,3999,-17.995813369750977,-0.7002391815185547,899.369873046875,0.5384615659713745
4,0,4000,-7.019838333129883,-0.7105313539505005,328.0839538574219,0.4615384340286255
4,49,4049,-6.8170247077941895,-0.7101597785949707,317.5569763183594,0.4615384340286255
4,99,4099,-6.626699924468994,-0.7121776342391968,307.5551452636719,0.4615384340286255
4,149,4149,-6.44062614440918,-0.7055346965789795,298.2247314453125,0.4615384340286255
4,199,4199,-6.2719292640686035,-0.704805850982666,289.49041748046875,0.4615384340286255
4,249,4249,-6.106947422027588,-0.6975617408752441,281.2880554199219,0.4615384340286255
4,299,4299,-5.95393180847168,-0.6930602788925171,273.5653076171875,0.4615384340286255
4,349,4349,-5.812648773193359,-0.6920068264007568,266.27337646484375,0.4615384340286255
4,399,4399,-5.683067321777344,-0.6951221227645874,259.3731384277344,0.4615384340286255
4,449,4449,-5.552390098571777,-0.6902878284454346,252.82933044433594,0.4615384340286255
4,499,4499,-5.432833671569824,-0.6902621984481812,246.6136932373047,0.4615384340286255
4,549,4549,-5.321437358856201,-0.6926267147064209,240.69815063476562,0.4615384340286255
4,599,4599,-5.209611892700195,-0.6891989707946777,235.06146240234375,0.4615384340286255
4,649,4649,-5.108440399169922,-0.6913729906082153,229.6875,0.4615384340286255
4,699,4699,-5.008880615234375,-0.6902860403060913,224.56689453125,0.4615384340286255
4,749,4749,-4.915494441986084,-0.6906682252883911,219.6909637451172,0.4615384340286255
4,799,4799,-4.825570106506348,-0.6898256540298462,215.05868530273438,0.4615384340286255
4,849,4849,-4.740423202514648,-0.689017117023468,210.67312622070312,0.4615384340286255
4,899,4899,-4.657535552978516,-0.6856629848480225,206.53738403320312,0.4615384340286255
4,949,4949,-4.585043907165527,-0.6878131628036499,202.65597534179688,0.4615384340286255
