communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.6931456923484802,0.5498084425926208,-0.6931469440460205,0.5384615659713745
20,1,-0.691286027431488,0.5498084425926208,-0.6879063844680786,0.5384615659713745
40,2,-0.6824880242347717,0.5498084425926208,-0.7259479761123657,0.5384615659713745
60,3,-0.6787145733833313,0.5498084425926208,-0.6944228410720825,0.5384615659713745
80,4,-0.7983404994010925,0.45019155740737915,-0.7548415064811707,0.4615384638309479
100,5,-2.5705373287200928,0.5498084425926208,-1.5055065155029297,0.5384615659713745
120,6,-0.9378964304924011,0.45019155740737915,-0.6093817353248596,0.4615384638309479
140,7,-2.5126893520355225,0.5498084425926208,-2.7567713260650635,0.5384615659713745
160,8,-0.8143978118896484,0.45019155740737915,-0.7893152832984924,0.4615384638309479
180,9,-1.1988760232925415,0.5498084425926208,-0.7203701138496399,0.5384615659713745
200,10,-0.7712207436561584,0.45019155740737915,-0.7366236448287964,0.4615384638309479
