global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
1,0,1000,-541.031982421875,-0.3457055389881134,488780.375,0.03125
1,49,1049,-327.324462890625,-0.3330860137939453,295600.1875,0.0078125
1,99,1099,-237.25637817382812,-0.3379459083080292,214174.25,0.015625
1,149,1149,-183.0036163330078,-0.32781726121902466,165138.921875,0.0234375
1,199,1199,-145.80706787109375,-0.33885321021080017,131503.25,0.015625
1,249,1249,-117.99200439453125,-0.3498157858848572,106348.5390625,0.0234375
1,299,1299,-96.59526062011719,-0.35570889711380005,87000.5625,0.0390625
1,349,1349,-79.75286865234375,-0.35832369327545166,71772.671875,0.046875
1,399,1399,-66.37965393066406,-0.33988693356513977,59699.953125,0.03125
1,449,1449,-55.64306640625,-0.34712594747543335,49987.53125,0.0234375
1,499,1499,-46.8816032409668,-0.3435525596141815,42070.3984375,0.0234375
1,549,1549,-39.636260986328125,-0.3461031913757324,35518.3046875,0.0234375
1,599,1599,-33.736480712890625,-0.35177329182624817,30179.7734375,0.015625
1,649,1649,-28.838905334472656,-0.3251601457595825,25776.42578125,0.0
1,699,1699,-24.783729553222656,-0.32509541511535645,22110.60546875,0.0078125
1,749,1749,-21.40279769897461,-0.3272431492805481,19052.302734375,0.0078125
1,799,1799,-18.563072204589844,-0.32866984605789185,16483.8984375,0.015625
1,849,1849,-16.183732986450195,-0.3301551043987274,14331.634765625,0.015625
1,899,1899,-14.19694709777832,-0.3370322287082672,12529.36328125,0.0234375
1,949,1949,-12.546327590942383,-0.34867995977401733,11026.6728515625,0.0234375
1,999,1999,-11.157760620117188,-0.36603814363479614,9755.716796875,0.03125
5,0,5000,-83.7696533203125,-0.24493661522865295,75506.34375,0.0
5,49,5049,-25.366939544677734,-0.23638330399990082,22718.0234375,0.0
5,99,5099,-15.304235458374023,-0.246297687292099,13612.375,0.0
5,149,5149,-10.601633071899414,-0.254841148853302,9353.5,0.0
5,199,5199,-7.8216142654418945,-0.260600745677948,6835.15673828125,0.0
5,249,5249,-5.998989582061768,-0.2634528875350952,5184.92529296875,0.0078125
5,299,5299,-4.713236331939697,-0.24948304891586304,4035.233154296875,0.015625
5,349,5349,-3.80517840385437,-0.26834020018577576,3197.3017578125,0.03125
5,399,5399,-3.09713077545166,-0.25470852851867676,2569.5498046875,0.015625
5,449,5449,-2.5599122047424316,-0.2514059543609619,2086.8896484375,0.015625
5,499,5499,-2.1445279121398926,-0.2535196542739868,1709.471435546875,0.015625
5,549,5549,-1.8122191429138184,-0.2454814612865448,1416.330810546875,0.0078125
5,599,5599,-1.5678256750106812,-0.25753119587898254,1184.5062255859375,0.015625
5,649,5649,-1.3444679975509644,-0.23852604627609253,999.771484375,0.0078125
5,699,5699,-1.17766535282135,-0.23723304271697998,850.1507568359375,0.0
5,749,5749,-1.0527647733688354,-0.2452070564031601,730.0322265625,0.0
5,799,5799,-0.9489442110061646,-0.249344140291214,632.4384765625,0.0
5,849,5849,-0.8710970878601074,-0.2590515613555908,553.2891235351562,0.0078125
5,899,5899,-0.793694257736206,-0.252694696187973,489.0635986328125,0.0078125
5,949,5949,-0.7282179594039917,-0.24803021550178528,434.0896911621094,0.0078125
5,999,5999,-0.6967300176620483,-0.2654920220375061,389.83917236328125,0.0234375
9,0,9000,-10.849218368530273,-0.15938115119934082,9663.61328125,0.0078125
9,49,9049,-1.7395614385604858,-0.15854880213737488,1429.2353515625,0.0078125
9,99,9099,-1.06854248046875,-0.1675114631652832,814.531982421875,0.015625
9,149,9149,-0.7949942350387573,-0.17120468616485596,563.90576171875,0.015625
9,199,9199,-0.6356346011161804,-0.15894822776317596,430.92449951171875,0.0078125
9,249,9249,-0.5405552387237549,-0.14975231885910034,353.28582763671875,0.0
