global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-1.463783621788025,-0.6926041841506958,5298.77392578125,0.140625
0,49,49,-1.4560879468917847,-0.6933149099349976,5241.013671875,0.9140625
0,99,99,-1.447577714920044,-0.6933509111404419,5182.29296875,0.8984375
0,149,149,-1.4394571781158447,-0.6937432289123535,5123.80078125,0.875
0,199,199,-1.4303035736083984,-0.6930674314498901,5065.5498046875,0.125
0,249,249,-1.4219014644622803,-0.6931077241897583,5007.5419921875,0.140625
0,299,299,-1.4138987064361572,-0.693512499332428,4949.77392578125,0.8828125
0,349,349,-1.40427565574646,-0.692260205745697,4892.2578125,0.109375
0,399,399,-1.3967400789260864,-0.6930601596832275,4834.98486328125,0.1796875
0,449,449,-1.388291358947754,-0.6929084062576294,4777.97705078125,0.1640625
0,499,499,-1.3797454833984375,-0.6926215887069702,4721.228515625,0.140625
0,549,549,-1.3722591400146484,-0.6933556199073792,4664.74658203125,0.8828125
0,599,599,-1.3640230894088745,-0.6933015584945679,4608.52783203125,0.90625
0,649,649,-1.3556238412857056,-0.693044900894165,4552.58056640625,0.1328125
0,699,699,-1.3473587036132812,-0.6928825378417969,4496.90625,0.0703125
0,749,749,-1.3400795459747314,-0.6936652660369873,4441.5126953125,0.84375
0,799,799,-1.3315486907958984,-0.6931549906730652,4386.4033203125,0.875
0,849,849,-1.323411226272583,-0.6929967403411865,4331.5771484375,0.078125
0,899,899,-1.3148893117904663,-0.6924115419387817,4277.044921875,0.1484375
0,949,949,-1.3073374032974243,-0.692753791809082,4222.80419921875,0.1484375
0,999,999,-1.2984882593154907,-0.691754937171936,4168.8642578125,0.1328125
1,0,1000,-2.1220226287841797,-0.69245845079422,9822.53515625,0.140625
1,49,1049,-2.121091365814209,-0.6924335360527039,9816.30859375,0.0859375
1,99,1099,-2.1202268600463867,-0.6924650073051453,9810.15234375,0.1015625
1,149,1149,-2.119365692138672,-0.6924700736999512,9804.19921875,0.125
1,199,1199,-2.1184463500976562,-0.6923894882202148,9798.4365234375,0.125
1,249,1249,-2.117852210998535,-0.6926072239875793,9792.857421875,0.140625
1,299,1299,-2.116940498352051,-0.6924822926521301,9787.4521484375,0.1171875
1,349,1349,-2.1162819862365723,-0.6925860643386841,9782.2158203125,0.109375
1,399,1399,-2.1155219078063965,-0.6925646066665649,9777.1396484375,0.1796875
1,449,1449,-2.114858865737915,-0.6926180124282837,9772.216796875,0.1640625
1,499,1499,-2.1141245365142822,-0.692578911781311,9767.4404296875,0.140625
1,549,1549,-2.1131887435913086,-0.6923174858093262,9762.806640625,0.1171875
1,599,1599,-2.1127119064331055,-0.692495584487915,9758.3076171875,0.09375
1,649,1649,-2.1121459007263184,-0.6925651431083679,9753.9404296875,0.1328125
1,699,1699,-2.1112985610961914,-0.6923353672027588,9749.6953125,0.0703125
1,749,1749,-2.110813617706299,-0.692450761795044,9745.572265625,0.15625
1,799,1799,-2.110316038131714,-0.6925363540649414,9741.564453125,0.125
1,849,1849,-2.1094982624053955,-0.6922861337661743,9737.6650390625,0.078125
1,899,1899,-2.1091551780700684,-0.6924946308135986,9733.875,0.1484375
1,949,1949,-2.1084980964660645,-0.6923742294311523,9730.1875,0.1484375
1,999,1999,-2.1080007553100586,-0.6923993825912476,9726.5966796875,0.1328125
2,0,2000,-1.950773000717163,-0.6912733316421509,8654.0224609375,0.140625
2,49,2049,-1.9495275020599365,-0.690925121307373,8647.857421875,0.0859375
2,99,2099,-1.9487898349761963,-0.6910743713378906,8641.7626953125,0.1015625
2,149,2149,-1.947962999343872,-0.6911056041717529,8635.8681640625,0.125
2,199,2199,-1.9471663236618042,-0.6911392211914062,8630.162109375,0.125
2,249,2249,-1.9463919401168823,-0.6911687850952148,8624.638671875,0.140625
2,299,2299,-1.9454545974731445,-0.6910103559494019,8619.287109375,0.1171875
2,349,2349,-1.9446932077407837,-0.6910034418106079,8614.1025390625,0.109375
2,399,2399,-1.9442567825317383,-0.6912986636161804,8609.076171875,0.1796875
2,449,2449,-1.943530797958374,-0.6912816762924194,8604.2041015625,0.1640625
2,499,2499,-1.9426772594451904,-0.6911165118217468,8599.474609375,0.140625
2,549,2549,-1.9420009851455688,-0.6911077499389648,8594.8876953125,0.1171875
2,599,2599,-1.9410247802734375,-0.6907793879508972,8590.435546875,0.09375
2,649,2649,-1.9405086040496826,-0.6908926963806152,8586.111328125,0.1328125
2,699,2699,-1.939681053161621,-0.6906765699386597,8581.91015625,0.0703125
2,749,2749,-1.939521312713623,-0.6911106705665588,8577.8291015625,0.15625
2,799,2799,-1.938835859298706,-0.6910027861595154,8573.861328125,0.125
2,849,2849,-1.9378838539123535,-0.690612256526947,8570.0029296875,0.078125
2,899,2899,-1.9377633333206177,-0.6910378932952881,8566.2509765625,0.1484375
2,949,2949,-1.937166690826416,-0.6909723877906799,8562.6005859375,0.1484375
2,999,2999,-1.9367835521697998,-0.6911065578460693,8559.0478515625,0.1328125
3,0,3000,-1.7798954248428345,-0.6882772445678711,7500.50830078125,0.140625
3,49,3049,-1.778489351272583,-0.6877546906471252,7494.4384765625,0.0859375
3,99,3099,-1.7773998975753784,-0.6875381469726562,7488.4404296875,0.1015625
3,149,3149,-1.7769818305969238,-0.687964677810669,7482.63671875,0.125
3,199,3199,-1.7760019302368164,-0.687802255153656,7477.0205078125,0.125
3,249,3249,-1.775679588317871,-0.6882712244987488,7471.5830078125,0.140625
3,299,3299,-1.7741647958755493,-0.6875227689743042,7466.31787109375,0.1171875
3,349,3349,-1.773582935333252,-0.6876835823059082,7461.21484375,0.109375
3,399,3399,-1.7737293243408203,-0.6885496973991394,7456.26904296875,0.1796875
3,449,3449,-1.772957444190979,-0.6884758472442627,7451.47314453125,0.1640625
3,499,3499,-1.7718067169189453,-0.6880022287368774,7446.82080078125,0.140625
3,549,3549,-1.7707911729812622,-0.6876436471939087,7442.30712890625,0.1171875
3,599,3599,-1.7697819471359253,-0.6872721910476685,7437.9248046875,0.09375
3,649,3649,-1.769792079925537,-0.6879016160964966,7433.669921875,0.1328125
3,699,3699,-1.7678241729736328,-0.6865352392196655,7429.53662109375,0.0703125
3,749,3749,-1.7687461376190186,-0.6880417466163635,7425.5205078125,0.15625
3,799,3799,-1.767706036567688,-0.6875698566436768,7421.6162109375,0.125
3,849,3849,-1.7664411067962646,-0.686857283115387,7417.82080078125,0.078125
3,899,3899,-1.7668293714523315,-0.6877826452255249,7414.1298828125,0.1484375
3,949,3949,-1.766398310661316,-0.687874436378479,7410.53759765625,0.1484375
3,999,3999,-1.7657489776611328,-0.6877337694168091,7407.04248046875,0.1328125
4,0,4000,-1.6076526641845703,-0.6805413961410522,6370.181640625,0.140625
4,49,4049,-1.6044130325317383,-0.6781632900238037,6364.26220703125,0.0859375
4,99,4099,-1.6042033433914185,-0.6788049936294556,6358.41162109375,0.1015625
4,149,4149,-1.604024887084961,-0.679450273513794,6352.7529296875,0.125
4,199,4199,-1.6028920412063599,-0.6791144013404846,6347.2763671875,0.125
4,249,4249,-1.6036455631256104,-0.6806395053863525,6341.97509765625,0.140625
4,299,4299,-1.601442813873291,-0.6791839599609375,6336.84130859375,0.1171875
4,349,4349,-1.6007119417190552,-0.679176926612854,6331.86669921875,0.109375
4,399,4399,-1.6018555164337158,-0.6810222864151001,6327.04541015625,0.1796875
4,449,4449,-1.6006524562835693,-0.6804997324943542,6322.3701171875,0.1640625
4,499,4499,-1.5994713306427002,-0.6799784898757935,6317.8359375,0.140625
4,549,4549,-1.5979032516479492,-0.679050624370575,6313.43603515625,0.1171875
4,599,4599,-1.5966699123382568,-0.6784389615058899,6309.16552734375,0.09375
4,649,4649,-1.5968983173370361,-0.6792707443237305,6305.0185546875,0.1328125
4,699,4699,-1.5940382480621338,-0.6769968271255493,6300.9912109375,0.0703125
4,749,4749,-1.596086025238037,-0.6796141862869263,6297.078125,0.15625
4,799,4799,-1.594642162322998,-0.6787239909172058,6293.27392578125,0.125
4,849,4849,-1.5928455591201782,-0.6774656176567078,6289.57568359375,0.078125
4,899,4899,-1.594637393951416,-0.6797808408737183,6285.9794921875,0.1484375
4,949,4949,-1.5941731929779053,-0.679826021194458,6282.47998046875,0.1484375
4,999,4999,-1.593229055404663,-0.6793773174285889,6279.07568359375,0.1328125
5,0,5000,-1.4250637292861938,-0.6571863293647766,5276.0859375,0.140625
5,49,5049,-1.4193278551101685,-0.6522762775421143,5270.412109375,0.0859375
5,99,5099,-1.4195557832717896,-0.6533201932907104,5264.8046875,0.1015625
5,149,5149,-1.4207971096038818,-0.6553510427474976,5259.38037109375,0.125
5,199,5199,-1.4199929237365723,-0.6553106307983398,5254.1318359375,0.125
5,249,5249,-1.4200599193572998,-0.6561169624328613,5249.0517578125,0.140625
5,299,5299,-1.4167633056640625,-0.6535364389419556,5244.1318359375,0.1171875
5,349,5349,-1.4154163599014282,-0.6528831720352173,5239.36572265625,0.109375
5,399,5399,-1.421476125717163,-0.6596153974533081,5234.74560546875,0.1796875
5,449,5449,-1.4189447164535522,-0.6577355861663818,5230.267578125,0.1640625
5,499,5499,-1.4165208339691162,-0.6559439897537231,5225.923828125,0.140625
5,549,5549,-1.412818431854248,-0.6528549194335938,5221.70947265625,0.1171875
5,599,5599,-1.4098236560821533,-0.6504554748535156,5217.619140625,0.09375
5,649,5649,-1.412779450416565,-0.6539889574050903,5213.6494140625,0.1328125
5,699,5699,-1.4047297239303589,-0.6465005874633789,5209.79248046875,0.0703125
5,749,5749,-1.4135105609893799,-0.6558266878128052,5206.04638671875,0.15625
5,799,5799,-1.4097537994384766,-0.6525996923446655,5202.4052734375,0.125
5,849,5849,-1.403733730316162,-0.6470947265625,5198.8662109375,0.078125
5,899,5899,-1.41033935546875,-0.6542013883590698,5195.42431640625,0.1484375
5,949,5949,-1.4103431701660156,-0.6546924710273743,5192.076171875,0.1484375
5,999,5999,-1.4069007635116577,-0.651724100112915,5188.8193359375,0.1328125
6,0,6000,-1.1442445516586304,-0.5259969830513,4247.97900390625,0.140625
6,49,6049,-1.1159405708312988,-0.498444139957428,4242.81787109375,0.0859375
6,99,6099,-1.1203711032867432,-0.5036188960075378,4237.70458984375,0.1015625
6,149,6149,-1.1312775611877441,-0.5152451395988464,4232.75830078125,0.125
6,199,6199,-1.1308891773223877,-0.5155538320541382,4227.9697265625,0.125
6,249,6249,-1.131577491760254,-0.5169159173965454,4223.33935546875,0.140625
6,299,6299,-1.1205315589904785,-0.506522536277771,4218.8564453125,0.1171875
6,349,6349,-1.116623878479004,-0.5032468438148499,4214.51416015625,0.109375
6,399,6399,-1.1511889696121216,-0.538424015045166,4210.3076171875,0.1796875
6,449,6449,-1.1430436372756958,-0.5308716893196106,4206.2333984375,0.1640625
6,499,6499,-1.127640962600708,-0.5160434246063232,4202.287109375,0.140625
6,549,6549,-1.1125829219818115,-0.5015420913696289,4198.46142578125,0.1171875
6,599,6599,-1.0963432788848877,-0.4858425557613373,4194.7509765625,0.09375
6,649,6649,-1.1174370050430298,-0.5074599385261536,4191.15234375,0.1328125
6,699,6699,-1.0778155326843262,-0.46834686398506165,4187.65966796875,0.0703125
6,749,6749,-1.127724528312683,-0.5187495946884155,4184.26708984375,0.15625
6,799,6799,-1.1081300973892212,-0.49963438510894775,4180.97412109375,0.125
6,849,6849,-1.0767016410827637,-0.46867167949676514,4177.7744140625,0.078125
6,899,6899,-1.1157341003417969,-0.508156418800354,4174.66650390625,0.1484375
6,949,6949,-1.114882469177246,-0.5077440738677979,4171.6474609375,0.1484375
6,999,6999,-1.103628396987915,-0.4969169497489929,4168.71435546875,0.1328125
7,0,7000,-0.9949035048484802,-0.5058978199958801,3359.9580078125,0.140625
7,49,7049,-0.8045176863670349,-0.3153712749481201,3360.925048828125,0.0859375
7,99,7099,-0.8378620147705078,-0.3485775589942932,3361.8740234375,0.1015625
7,149,7149,-0.9317118525505066,-0.4422878623008728,3362.83203125,0.125
7,199,7199,-0.9270994067192078,-0.4375317692756653,3363.8193359375,0.125
7,249,7249,-0.9640566110610962,-0.474341481924057,3364.832763671875,0.140625
7,299,7299,-0.8954402208328247,-0.40557318925857544,3365.87646484375,0.1171875
7,349,7349,-0.8728772401809692,-0.3828573226928711,3366.92724609375,0.109375
7,399,7399,-1.0616273880004883,-0.5714573264122009,3367.958984375,0.1796875
7,449,7449,-1.0343985557556152,-0.544073224067688,3369.02587890625,0.1640625
7,499,7499,-0.947580873966217,-0.4570990204811096,3370.10107421875,0.140625
7,549,7549,-0.885505199432373,-0.39486604928970337,3371.181884765625,0.1171875
7,599,7599,-0.7950578331947327,-0.30426615476608276,3372.229736328125,0.09375
7,649,7649,-0.9219339489936829,-0.430996835231781,3373.22900390625,0.1328125
7,699,7699,-0.7279380559921265,-0.2368599772453308,3374.19775390625,0.0703125
7,749,7749,-0.9905695915222168,-0.4993641674518585,3375.07275390625,0.15625
7,799,7799,-0.8910447359085083,-0.39972102642059326,3375.885009765625,0.125
7,849,7849,-0.7582277059555054,-0.26680269837379456,3376.5810546875,0.078125
7,899,7899,-0.946744978427887,-0.4552345275878906,3377.168212890625,0.1484375
7,949,7949,-0.9348739385604858,-0.4432910978794098,3377.666015625,0.1484375
7,999,7999,-0.8780802488327026,-0.38643938302993774,3378.06494140625,0.1328125
8,0,8000,-0.8091974854469299,-0.36695706844329834,3038.6337890625,0.140625
8,49,8049,-0.749751091003418,-0.3082914352416992,3033.269287109375,0.0859375
8,99,8099,-0.7570381164550781,-0.31635403633117676,3027.9404296875,0.1015625
8,149,8149,-0.7877880334854126,-0.3478512763977051,3022.805419921875,0.125
8,199,8199,-0.7927706241607666,-0.35355398058891296,3017.85791015625,0.125
8,249,8249,-0.7933394908905029,-0.35481685400009155,3013.0888671875,0.140625
8,299,8299,-0.7747604846954346,-0.3369065523147583,3008.494873046875,0.1171875
8,349,8349,-0.7682756781578064,-0.3310670554637909,3004.060546875,0.109375
8,399,8399,-0.8401039838790894,-0.4035184383392334,2999.77978515625,0.1796875
8,449,8449,-0.8331132531166077,-0.39712798595428467,2995.654541015625,0.1640625
8,499,8499,-0.8027969598770142,-0.3673906624317169,2991.677001953125,0.140625
8,549,8549,-0.7648049592971802,-0.32995808124542236,2987.832763671875,0.1171875
8,599,8599,-0.7256723642349243,-0.2913663685321808,2984.11669921875,0.09375
8,649,8649,-0.7844384908676147,-0.3506556451320648,2980.521728515625,0.1328125
8,699,8699,-0.6918702125549316,-0.2585931420326233,2977.046630859375,0.0703125
8,749,8749,-0.8122377395629883,-0.37945133447647095,2973.67529296875,0.15625
8,799,8799,-0.768479585647583,-0.3361685872077942,2970.4091796875,0.125
8,849,8849,-0.7012355327606201,-0.26938557624816895,2967.24072265625,0.078125
8,899,8899,-0.7905343174934387,-0.3591318428516388,2964.16650390625,0.1484375
8,949,8949,-0.7827773094177246,-0.35180824995040894,2961.1884765625,0.1484375
8,999,8999,-0.7554522752761841,-0.3249027132987976,2958.305908203125,0.1328125
9,0,9000,-1.3250861167907715,-0.9780981540679932,2384.154052734375,0.140625
9,49,9049,-0.934393048286438,-0.5871299505233765,2386.044921875,0.0859375
9,99,9099,-0.9916374683380127,-0.6440892219543457,2388.00390625,0.1015625
9,149,9149,-1.198167324066162,-0.8503217101097107,2390.04736328125,0.125
9,199,9199,-1.1714609861373901,-0.8233039379119873,2392.187255859375,0.125
9,249,9249,-1.2370216846466064,-0.8885385990142822,2394.4267578125,0.140625
9,299,9299,-1.1149158477783203,-0.7660922408103943,2396.767578125,0.1171875
9,349,9349,-1.070500373840332,-0.7213212251663208,2399.210693359375,0.109375
9,399,9399,-1.3489083051681519,-0.9993599653244019,2401.746337890625,0.1796875
9,449,9449,-1.3484587669372559,-0.9985243678092957,2404.399169921875,0.1640625
9,499,9499,-1.183797836303711,-0.8334604501724243,2407.168212890625,0.140625
9,549,9549,-1.0372763872146606,-0.6865209341049194,2410.040283203125,0.1171875
9,599,9599,-0.8553045392036438,-0.5041165947914124,2413.0126953125,0.09375
9,649,9649,-1.0895252227783203,-0.7378901243209839,2416.084228515625,0.1328125
9,699,9699,-0.7327852249145508,-0.3806883692741394,2419.2578125,0.0703125
9,749,9749,-1.2243177890777588,-0.8717480301856995,2422.5068359375,0.15625
9,799,9799,-1.0269079208374023,-0.6738506555557251,2425.855712890625,0.125
9,849,9849,-0.8019081354141235,-0.4483526349067688,2429.27978515625,0.078125
9,899,9899,-1.1242197751998901,-0.7701541185379028,2432.78515625,0.1484375
9,949,9949,-1.0680887699127197,-0.7134978175163269,2436.393798828125,0.1484375
9,999,9999,-0.9440310597419739,-0.5889015793800354,2440.0947265625,0.1328125
