global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.159053325653076,-0.6936846375465393,5298.77392578125,0.9140625
0,49,49,-2.1432089805603027,-0.6938142776489258,5241.01171875,0.890625
0,99,99,-2.126343011856079,-0.6931909322738647,5182.27783203125,0.859375
0,149,149,-2.1097817420959473,-0.6928075551986694,5123.77880859375,0.109375
0,199,199,-2.094188690185547,-0.6933279633522034,5065.51220703125,0.8671875
0,249,249,-2.07784104347229,-0.6930241584777832,5007.498046875,0.09375
0,299,299,-2.0620832443237305,-0.6932441592216492,4949.72265625,0.8671875
0,349,349,-2.0457425117492676,-0.6928114295005798,4892.1982421875,0.078125
0,399,399,-2.0292258262634277,-0.6921334862709045,4834.92578125,0.09375
0,449,449,-2.014155864715576,-0.6928313970565796,4777.90869140625,0.109375
0,499,499,-1.998276710510254,-0.692648708820343,4721.15087890625,0.09375
0,549,549,-1.9830620288848877,-0.6930570602416992,4664.65771484375,0.0859375
0,599,599,-1.9667422771453857,-0.6922867298126221,4608.431640625,0.09375
0,649,649,-1.9520317316055298,-0.6930491924285889,4552.48095703125,0.078125
0,699,699,-1.935678482055664,-0.6920928359031677,4496.8056640625,0.1171875
0,749,749,-1.9213240146636963,-0.69305819272995,4441.4091796875,0.1640625
0,799,799,-1.9060420989990234,-0.693019449710846,4386.2900390625,0.1328125
0,849,849,-1.8908326625823975,-0.6929725408554077,4331.4619140625,0.125
0,899,899,-1.875680685043335,-0.692902147769928,4276.92724609375,0.0859375
0,949,949,-1.8606469631195068,-0.6928690075874329,4222.68505859375,0.140625
0,999,999,-1.8461123704910278,-0.6932525634765625,4168.7412109375,0.890625
1,0,1000,-3.4089913368225098,-0.6925691366195679,9822.5830078125,0.0859375
1,49,1049,-3.407136917114258,-0.6924375295639038,9816.3525390625,0.109375
1,99,1099,-3.405651807785034,-0.6926553249359131,9810.1953125,0.140625
1,149,1149,-3.403860092163086,-0.6925113201141357,9804.2373046875,0.109375
1,199,1199,-3.4023475646972656,-0.692592978477478,9798.47265625,0.1328125
1,249,1249,-3.400716781616211,-0.6925061941146851,9792.888671875,0.09375
1,299,1299,-3.399249792098999,-0.6925345063209534,9787.482421875,0.1328125
1,349,1349,-3.397639036178589,-0.6923730373382568,9782.2421875,0.078125
1,399,1399,-3.3962972164154053,-0.692435622215271,9777.1640625,0.09375
1,449,1449,-3.3949103355407715,-0.6924110651016235,9772.2373046875,0.109375
1,499,1499,-3.3936314582824707,-0.6924532651901245,9767.4609375,0.09375
1,549,1549,-3.392395496368408,-0.6924989223480225,9762.826171875,0.0859375
1,599,1599,-3.391146183013916,-0.6924949884414673,9758.322265625,0.09375
1,649,1649,-3.389940023422241,-0.6924972534179688,9753.953125,0.078125
1,699,1699,-3.388786554336548,-0.6925175189971924,9749.708984375,0.1171875
1,749,1749,-3.387676477432251,-0.6925485134124756,9745.5830078125,0.1640625
1,799,1799,-3.3864994049072266,-0.6924803256988525,9741.5732421875,0.1328125
1,849,1849,-3.385458469390869,-0.6925178170204163,9737.6728515625,0.125
1,899,1899,-3.3843417167663574,-0.6924496293067932,9733.8818359375,0.0859375
1,949,1949,-3.383291721343994,-0.6924200654029846,9730.19140625,0.140625
1,999,1999,-3.3823354244232178,-0.6924570798873901,9726.6005859375,0.109375
2,0,2000,-3.084331512451172,-0.6910592317581177,8654.0732421875,0.0859375
2,49,2049,-3.0827858448028564,-0.6912193894386292,8647.904296875,0.109375
2,99,2099,-3.081266403198242,-0.6913856267929077,8641.80859375,0.140625
2,149,2149,-3.07934832572937,-0.6910988092422485,8635.9111328125,0.109375
2,199,2199,-3.0779967308044434,-0.6913251876831055,8630.2041015625,0.1328125
2,249,2249,-3.076245069503784,-0.6911013722419739,8624.6796875,0.09375
2,299,2299,-3.0749473571777344,-0.6912842988967896,8619.326171875,0.1328125
2,349,2349,-3.0732033252716064,-0.6909736394882202,8614.142578125,0.078125
2,399,2399,-3.0717036724090576,-0.6908641457557678,8609.1162109375,0.09375
2,449,2449,-3.070641279220581,-0.6911501884460449,8604.240234375,0.109375
2,499,2499,-3.0690770149230957,-0.6908929347991943,8599.513671875,0.09375
2,549,2549,-3.0679168701171875,-0.6910010576248169,8594.9267578125,0.0859375
2,599,2599,-3.0667576789855957,-0.6910740733146667,8590.4716796875,0.09375
2,649,2649,-3.0652668476104736,-0.6907788515090942,8586.1484375,0.078125
2,699,2699,-3.0643391609191895,-0.6910132169723511,8581.9462890625,0.1171875
2,749,2749,-3.063493251800537,-0.6912961006164551,8577.865234375,0.1640625
2,799,2799,-3.062246322631836,-0.6911466121673584,8573.896484375,0.1328125
2,849,2849,-3.0612077713012695,-0.6911752820014954,8570.0380859375,0.125
2,899,2899,-3.0598392486572266,-0.6908441185951233,8566.2861328125,0.0859375
2,949,2949,-3.0591092109680176,-0.6911236643791199,8562.6357421875,0.140625
2,999,2999,-3.0578055381774902,-0.6908029317855835,8559.08203125,0.109375
