iteration,vfe,ll,kl,error
0,-1.2964136600494385,-0.6935083866119385,23557.314453125,0.75
49,-0.8867934346199036,-0.538709282875061,13600.6904296875,0.234375
99,-0.6204367876052856,-0.41901737451553345,7870.06005859375,0.2578125
149,-0.5452463626861572,-0.41224539279937744,5196.74609375,0.2890625
199,-0.5398544073104858,-0.4409711956977844,3863.666015625,0.3125
249,-0.4024139642715454,-0.322848916053772,3108.844970703125,0.1953125
299,-0.3760530948638916,-0.30823612213134766,2649.8125,0.2109375
349,-0.398507684469223,-0.3391486406326294,2319.3359375,0.2109375
399,-0.4564872086048126,-0.4030575156211853,2087.65869140625,0.2421875
449,-0.4052150845527649,-0.35608190298080444,1919.78076171875,0.1796875
499,-0.4835824966430664,-0.43714237213134766,1814.555419921875,0.171875
549,-0.3774644732475281,-0.3329920172691345,1737.6727294921875,0.1640625
599,-0.47128012776374817,-0.42774781584739685,1700.937744140625,0.1875
649,-0.3212178349494934,-0.27984219789505005,1616.6700439453125,0.1171875
699,-0.367279976606369,-0.3278696835041046,1539.87841796875,0.140625
749,-0.34958940744400024,-0.3120139241218567,1468.186767578125,0.1328125
799,-0.35606181621551514,-0.31931236386299133,1435.911376953125,0.1328125
849,-0.33596736192703247,-0.30022144317626953,1396.70068359375,0.140625
899,-0.4140356779098511,-0.3793909251689911,1353.674560546875,0.1796875
949,-0.33425748348236084,-0.30020689964294434,1330.457763671875,0.125
999,-0.3317279815673828,-0.2984698414802551,1299.495849609375,0.1171875
0,-0.39121562242507935,-0.3579690754413605,1299.0418701171875,0.1328125
49,-0.34183400869369507,-0.3105165362358093,1223.6678466796875,0.1640625
99,-0.3696410357952118,-0.3392163813114166,1188.782958984375,0.140625
149,-0.44091176986694336,-0.4101220965385437,1203.0445556640625,0.1796875
199,-0.43664082884788513,-0.4068413972854614,1164.35302734375,0.1875
249,-0.32606542110443115,-0.29737454652786255,1121.0384521484375,0.171875
299,-0.29864197969436646,-0.2698468565940857,1125.113525390625,0.09375
349,-0.3332427144050598,-0.30482178926467896,1110.4915771484375,0.1171875
399,-0.3770894408226013,-0.3490258455276489,1096.5291748046875,0.1328125
449,-0.32049113512039185,-0.2924494743347168,1095.6715087890625,0.125
499,-0.4407241940498352,-0.4126085638999939,1098.5614013671875,0.1640625
549,-0.366364985704422,-0.3388645648956299,1074.5244140625,0.1640625
599,-0.4434792399406433,-0.41571706533432007,1084.751953125,0.1875
649,-0.29595911502838135,-0.26877668499946594,1062.0994873046875,0.140625
699,-0.34846898913383484,-0.3211935758590698,1065.732421875,0.171875
749,-0.34353572130203247,-0.31644606590270996,1058.47412109375,0.140625
799,-0.34745895862579346,-0.3198242783546448,1079.7698974609375,0.1328125
849,-0.3184172511100769,-0.2915859520435333,1048.379638671875,0.1328125
899,-0.38976365327835083,-0.3632226586341858,1037.0361328125,0.203125
949,-0.30726897716522217,-0.28128623962402344,1015.224365234375,0.1328125
999,-0.3061078190803528,-0.27960720658302307,1035.4581298828125,0.1328125
0,-0.3904482126235962,-0.36390966176986694,1036.9417724609375,0.125
49,-0.33547383546829224,-0.3089836835861206,1035.0494384765625,0.140625
99,-0.3720168471336365,-0.34569185972213745,1028.59619140625,0.1484375
149,-0.4074573516845703,-0.380964457988739,1035.1572265625,0.1953125
199,-0.42602357268333435,-0.39990201592445374,1020.6478271484375,0.1796875
249,-0.30852210521698,-0.28303009271621704,996.049072265625,0.140625
