iteration,vfe,ll,kl,error
0,-1.1178327798843384,-0.6925821304321289,15380.4658203125,0.125
49,-0.738405704498291,-0.49460023641586304,8817.955078125,0.1796875
99,-0.3306792080402374,-0.14589542150497437,6683.25927734375,0.0703125
149,-0.39543217420578003,-0.2451358139514923,5435.91845703125,0.109375
199,-0.39111149311065674,-0.2709738612174988,4345.13818359375,0.125
249,-0.32292887568473816,-0.2258305549621582,3511.85205078125,0.140625
299,-0.22881865501403809,-0.14882996678352356,2893.031005859375,0.0546875
349,-0.2946453392505646,-0.2255626618862152,2498.58203125,0.140625
399,-0.2563278079032898,-0.19512996077537537,2213.40380859375,0.078125
449,-0.3188977539539337,-0.26190420985221863,2061.342529296875,0.125
499,-0.23092618584632874,-0.17943952977657318,1862.1693115234375,0.09375
549,-0.22692346572875977,-0.17826753854751587,1759.787109375,0.0859375
599,-0.2575874626636505,-0.2118796408176422,1653.160400390625,0.1015625
649,-0.26094478368759155,-0.21792161464691162,1556.062744140625,0.140625
699,-0.29426783323287964,-0.2530226707458496,1491.7550048828125,0.1640625
749,-0.33152759075164795,-0.2917135953903198,1439.99267578125,0.15625
799,-0.19355544447898865,-0.15492865443229675,1397.0533447265625,0.078125
849,-0.33345478773117065,-0.2963166832923889,1343.21142578125,0.109375
899,-0.2478029876947403,-0.21087750792503357,1335.5205078125,0.1015625
949,-0.2085629254579544,-0.17286305129528046,1291.193359375,0.0546875
999,-0.2698998749256134,-0.2350252866744995,1261.3443603515625,0.1015625
0,-0.2731737494468689,-0.23836000263690948,1259.1429443359375,0.1171875
49,-0.3021768033504486,-0.2701261043548584,1159.2091064453125,0.1328125
99,-0.16958020627498627,-0.13774438202381134,1151.438232421875,0.046875
149,-0.2520377039909363,-0.22042201459407806,1143.4761962890625,0.0859375
199,-0.28813695907592773,-0.25728410482406616,1115.88623046875,0.109375
249,-0.24109697341918945,-0.21017447113990784,1118.405029296875,0.1015625
299,-0.1746118813753128,-0.14380300045013428,1114.295654296875,0.0625
349,-0.2423323690891266,-0.2118401676416397,1102.8421630859375,0.0859375
399,-0.23685380816459656,-0.20626939833164215,1106.177001953125,0.0859375
449,-0.26181739568710327,-0.23201090097427368,1078.0406494140625,0.078125
499,-0.19719219207763672,-0.167914018034935,1058.93310546875,0.0625
549,-0.18011723458766937,-0.15015387535095215,1083.714599609375,0.0546875
599,-0.23148813843727112,-0.20139162242412567,1088.531005859375,0.078125
649,-0.22449655830860138,-0.19585485756397247,1035.9132080078125,0.1015625
