communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.6931518316268921,0.11631829291582108,-0.6931532025337219,0.1196637898683548
2,1,-0.22230428457260132,0.9016810655593872,-0.22923213243484497,0.8953770995140076
4,2,-0.2133275419473648,0.9091185331344604,-0.22192376852035522,0.9013492465019226
6,3,-0.21449024975299835,0.9096992015838623,-0.2225273996591568,0.9010174870491028
8,4,-0.20901831984519958,0.9102521538734436,-0.2185610681772232,0.9023445844650269
10,5,-0.20764778554439545,0.9094226956367493,-0.21733608841896057,0.9006856679916382
12,6,-0.2112371027469635,0.9096992015838623,-0.21993204951286316,0.9014598727226257
14,7,-0.2083902806043625,0.9097544550895691,-0.21748843789100647,0.9025657773017883
16,8,-0.2080884873867035,0.9100033044815063,-0.21670480072498322,0.9019022583961487
18,9,-0.20807980000972748,0.9097544550895691,-0.21706978976726532,0.9022340178489685
20,10,-0.20690082013607025,0.9105286598205566,-0.21593467891216278,0.9027869701385498
