iteration,vfe,ll,kl,error
0,-3.9190688133239746,-3.9083828926086426,386.4892883300781,0.4765625
49,-1.6506145000457764,-1.6352050304412842,557.3267822265625,0.3828125
99,-0.42777541279792786,-0.4104144275188446,627.9120483398438,0.078125
149,-0.509227991104126,-0.4908444881439209,664.8945922851562,0.140625
199,-0.6224086880683899,-0.6030187606811523,701.2933349609375,0.1328125
249,-0.5674551725387573,-0.5472666025161743,730.1812744140625,0.1484375
299,-0.4499155580997467,-0.4302932620048523,709.6998291015625,0.1015625
349,-0.5111085772514343,-0.4898598790168762,768.5233154296875,0.1484375
399,-0.40749090909957886,-0.3856595754623413,789.5966796875,0.09375
449,-0.40685832500457764,-0.38540756702423096,775.830322265625,0.125
499,-0.3162229657173157,-0.2943776249885559,790.1023559570312,0.0859375
549,-0.2869393825531006,-0.26491737365722656,796.4920654296875,0.09375
599,-0.3324710726737976,-0.31078165769577026,784.462890625,0.109375
649,-0.3804551959037781,-0.35831689834594727,800.698974609375,0.1171875
699,-0.3978917896747589,-0.3755376636981964,808.5042114257812,0.140625
749,-0.37081533670425415,-0.3470979928970337,857.8087768554688,0.140625
799,-0.24783621728420258,-0.2251868098974228,819.1839599609375,0.078125
849,-0.3317068815231323,-0.3084864020347595,839.8381958007812,0.109375
899,-0.3304630219936371,-0.30649954080581665,866.7117309570312,0.1015625
949,-0.23140600323677063,-0.20771178603172302,856.9725952148438,0.0546875
999,-0.3396011292934418,-0.3159589469432831,855.09033203125,0.0859375
0,-0.31554940342903137,-0.29104065895080566,886.4317626953125,0.1015625
49,-0.4588965177536011,-0.4325389266014099,953.30126953125,0.1953125
99,-0.20597068965435028,-0.17863860726356506,988.5465698242188,0.0546875
149,-0.3095666170120239,-0.28155389428138733,1013.163818359375,0.1015625
199,-0.3571585416793823,-0.3279780447483063,1055.40087890625,0.1171875
249,-0.30471521615982056,-0.2739620804786682,1112.279052734375,0.1171875
299,-0.1757306307554245,-0.14516624808311462,1105.45263671875,0.0703125
349,-0.3258877396583557,-0.2936292290687561,1166.7254638671875,0.109375
399,-0.2664731740951538,-0.23345676064491272,1194.1378173828125,0.078125
449,-0.3208649456501007,-0.2870800495147705,1221.931640625,0.125
499,-0.23772487044334412,-0.20375320315361023,1228.6875,0.0703125
549,-0.20391489565372467,-0.16891035437583923,1266.04443359375,0.0546875
599,-0.2329690158367157,-0.1979847252368927,1265.31201171875,0.078125
649,-0.2747051417827606,-0.24009525775909424,1251.7701416015625,0.140625
699,-0.29365622997283936,-0.2584921717643738,1271.81298828125,0.109375
749,-0.3316304683685303,-0.29652678966522217,1269.62939453125,0.1328125
799,-0.20364518463611603,-0.1678619086742401,1294.20947265625,0.0703125
