communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-3.3127150535583496,0.6434969902038574,-3.324437141418457,0.6363636255264282
2,1,-0.3126946687698364,0.8862807154655457,-0.3231391906738281,0.882437527179718
4,2,-0.23755069077014923,0.9010174870491028,-0.24597513675689697,0.896040678024292
6,3,-0.23221968114376068,0.9000774025917053,-0.24126337468624115,0.8944923877716064
8,4,-0.22864936292171478,0.9010451436042786,-0.23894056677818298,0.8958194851875305
10,5,-0.22857868671417236,0.9007409811019897,-0.23850080370903015,0.8951559662818909
12,6,-0.22788088023662567,0.9017916321754456,-0.2382616400718689,0.895598292350769
14,7,-0.22700420022010803,0.9011003971099854,-0.23720528185367584,0.8951559662818909
16,8,-0.22635067999362946,0.9017916321754456,-0.23647893965244293,0.8958194851875305
18,9,-0.2274598628282547,0.9013769030570984,-0.2374119758605957,0.8969254493713379
20,10,-0.22752054035663605,0.9014875292778015,-0.23835423588752747,0.8951559662818909
