iteration,vfe,ll,kl,error
0,-0.6868724226951599,-0.6868687272071838,0.13135205209255219,0.125
49,-0.6185492873191833,-0.6185003519058228,1.7688606977462769,0.1796875
99,-0.20349858701229095,-0.2000279277563095,125.52723693847656,0.0703125
149,-0.25563135743141174,-0.25057995319366455,182.69883728027344,0.109375
199,-0.27769413590431213,-0.2719285786151886,208.5289306640625,0.125
249,-0.24655070900917053,-0.24007423222064972,234.24136352539062,0.140625
299,-0.13720056414604187,-0.13063214719295502,237.56680297851562,0.0546875
349,-0.2665364742279053,-0.25969529151916504,247.43211364746094,0.140625
399,-0.2060236781835556,-0.19898435473442078,254.5983428955078,0.078125
449,-0.26121219992637634,-0.25419673323631287,253.73464965820312,0.125
499,-0.1984977275133133,-0.1919797658920288,235.741455078125,0.09375
549,-0.17471839487552643,-0.16814087331295013,237.89553833007812,0.0859375
599,-0.21969497203826904,-0.21337710320949554,228.5050048828125,0.1015625
649,-0.23224423825740814,-0.22563143074512482,239.1723175048828,0.140625
699,-0.24986456334590912,-0.2432660162448883,238.6566925048828,0.1640625
749,-0.30478063225746155,-0.29863545298576355,222.26025390625,0.15625
799,-0.16997769474983215,-0.16397981345653534,216.93101501464844,0.0546875
849,-0.30476269125938416,-0.29884156584739685,214.154296875,0.1328125
899,-0.22524003684520721,-0.21943895518779755,209.8142547607422,0.1328125
949,-0.1837976723909378,-0.17757698893547058,224.98989868164062,0.0546875
999,-0.27014145255088806,-0.26408377289772034,219.093994140625,0.109375
0,-0.22766076028347015,-0.22162866592407227,218.1690673828125,0.109375
49,-0.3008440434932709,-0.29480862617492676,218.2879180908203,0.140625
99,-0.14274926483631134,-0.13633699715137482,231.91917419433594,0.0625
149,-0.23617899417877197,-0.22994981706142426,225.29690551757812,0.0859375
199,-0.2760184407234192,-0.2702285349369049,209.40945434570312,0.125
249,-0.22768783569335938,-0.2216154783964157,219.6243133544922,0.09375
299,-0.13508300483226776,-0.12916623055934906,213.99795532226562,0.0625
349,-0.228746697306633,-0.22280573844909668,214.87295532226562,0.078125
399,-0.20157742500305176,-0.1954026073217392,223.3308563232422,0.09375
449,-0.25229260325431824,-0.24627439677715302,217.665771484375,0.109375
499,-0.1857658326625824,-0.17991766333580017,211.5167694091797,0.0703125
549,-0.16612903773784637,-0.16004107892513275,220.1892852783203,0.0546875
599,-0.20686307549476624,-0.20082063972949982,218.5430145263672,0.0625
649,-0.21487100422382355,-0.2084898203611374,230.79446411132812,0.078125
699,-0.2354060858488083,-0.2291482537984848,226.33377075195312,0.1015625
749,-0.3054904639720917,-0.29953381419181824,215.4403839111328,0.1796875
799,-0.17388616502285004,-0.167964369058609,214.1796112060547,0.0625
849,-0.30516546964645386,-0.2989436686038971,225.030029296875,0.125
899,-0.22682344913482666,-0.22069410979747772,221.6862030029297,0.125
949,-0.18433237075805664,-0.17773403227329254,238.6495361328125,0.0625
999,-0.26832205057144165,-0.26195424795150757,230.31040954589844,0.109375
0,-0.22227926552295685,-0.2159646600484848,228.386474609375,0.1015625
49,-0.2962082326412201,-0.2898651957511902,229.4166259765625,0.140625
99,-0.13862966001033783,-0.1317339986562729,249.4019775390625,0.0546875
149,-0.23761311173439026,-0.23087702691555023,243.63133239746094,0.1015625
199,-0.27203261852264404,-0.26554545760154724,234.62734985351562,0.125
249,-0.22029638290405273,-0.2135596126317978,243.65628051757812,0.09375
299,-0.13346372544765472,-0.12665139138698578,246.38784790039062,0.0625
349,-0.22312907874584198,-0.21616582572460175,251.84703063964844,0.078125
399,-0.19603995978832245,-0.18884103000164032,260.37164306640625,0.0859375
449,-0.2416355162858963,-0.23439255356788635,261.963134765625,0.0859375
499,-0.1804502010345459,-0.17330588400363922,258.39599609375,0.0703125
549,-0.16468779742717743,-0.1572788804769516,267.9660339355469,0.046875
599,-0.19989068806171417,-0.19237001240253448,272.0079650878906,0.0546875
649,-0.20215630531311035,-0.1943628042936325,281.874755859375,0.1015625
699,-0.2387404888868332,-0.2309798002243042,280.6888122558594,0.109375
749,-0.29070279002189636,-0.2831096649169922,274.62750244140625,0.1640625
799,-0.1729801446199417,-0.16561190783977509,266.49462890625,0.0546875
849,-0.3037690222263336,-0.2960336208343506,279.7747497558594,0.0859375
899,-0.22600340843200684,-0.2182759791612625,279.4857482910156,0.125
949,-0.18441249430179596,-0.17632973194122314,292.3375244140625,0.0703125
999,-0.2614465355873108,-0.25358137488365173,284.4666442871094,0.109375
0,-0.21535801887512207,-0.20751290023326874,283.7419128417969,0.078125
49,-0.2766695022583008,-0.2687201201915741,287.5144348144531,0.140625
99,-0.1368379145860672,-0.1285017728805542,301.5016784667969,0.046875
149,-0.233311727643013,-0.22515642642974854,294.96148681640625,0.09375
199,-0.26265186071395874,-0.254759281873703,285.4591979980469,0.125
249,-0.21322360634803772,-0.20506815612316132,294.9659118652344,0.0859375
299,-0.13138167560100555,-0.12342243641614914,287.8702087402344,0.0390625
349,-0.21780195832252502,-0.2096402645111084,295.1913757324219,0.0859375
399,-0.1995830535888672,-0.19129560887813568,299.7408752441406,0.1015625
449,-0.24128425121307373,-0.2331424206495285,294.4733581542969,0.0859375
499,-0.1756557673215866,-0.16771112382411957,287.3415832519531,0.0703125
549,-0.16266722977161407,-0.15435528755187988,300.62628173828125,0.046875
599,-0.1951415240764618,-0.18689416348934174,298.2908630371094,0.0546875
649,-0.1996668428182602,-0.19114163517951965,308.3396911621094,0.109375
699,-0.23260822892189026,-0.2242111712694168,303.7042236328125,0.1171875
749,-0.291262686252594,-0.28289976716041565,302.4702453613281,0.1640625
799,-0.17192871868610382,-0.1638060212135315,293.7815246582031,0.0703125
849,-0.303728312253952,-0.29533037543296814,303.7367858886719,0.09375
899,-0.2253991812467575,-0.21704386174678802,302.1954040527344,0.125
949,-0.1877971887588501,-0.17907598614692688,315.42822265625,0.0703125
999,-0.2585005462169647,-0.2500391900539398,306.0297546386719,0.1171875
0,-0.21511517465114594,-0.206719309091568,303.6611328125,0.1015625
49,-0.2695715129375458,-0.2611444890499115,304.7879943847656,0.140625
99,-0.1387738287448883,-0.1300240010023117,316.4640808105469,0.046875
149,-0.22681458294391632,-0.21823766827583313,310.20977783203125,0.09375
199,-0.26027876138687134,-0.25200384855270386,299.2875671386719,0.1328125
249,-0.20758722722530365,-0.19894056022167206,312.7323913574219,0.0859375
299,-0.13330857455730438,-0.1249518021941185,302.248046875,0.0390625
349,-0.2151259034872055,-0.20661984384059906,307.647216796875,0.0859375
