communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.6893680095672607,0.8836817145347595,-0.6894016861915588,0.8803362250328064
2,1,-0.22547511756420135,0.9009068608283997,-0.2339327037334442,0.8952665328979492
4,2,-0.22228820621967316,0.9036440849304199,-0.23068320751190186,0.8991373777389526
6,3,-0.21507664024829865,0.9069343209266663,-0.2233452945947647,0.9021234512329102
8,4,-0.21313029527664185,0.9069066643714905,-0.2221219390630722,0.9009068608283997
10,5,-0.21264474093914032,0.907431960105896,-0.22194860875606537,0.9019022583961487
12,6,-0.21179473400115967,0.9072384238243103,-0.22092145681381226,0.9009068608283997
14,7,-0.21042481064796448,0.9077361226081848,-0.21986280381679535,0.9023445844650269
16,8,-0.2082301527261734,0.9086762070655823,-0.21828009188175201,0.9013492465019226
18,9,-0.20528079569339752,0.9109710454940796,-0.21503520011901855,0.9012386798858643
20,10,-0.20381036400794983,0.9108327627182007,-0.21422965824604034,0.9016810655593872
