iteration,vfe,ll,kl,error
0,-0.8449358940124512,-0.7414219975471497,3743.890625,0.359375
49,-0.6130582094192505,-0.4966071844100952,4211.8017578125,0.1875
99,-0.3497270941734314,-0.23002761602401733,4329.291015625,0.0703125
149,-0.35228395462036133,-0.23100990056991577,4386.240234375,0.109375
199,-0.42191702127456665,-0.2988099455833435,4452.53759765625,0.1328125
249,-0.35079824924468994,-0.22812652587890625,4436.7919921875,0.09375
299,-0.29045021533966064,-0.1663147211074829,4489.7314453125,0.0546875
349,-0.33389103412628174,-0.20948880910873413,4499.38037109375,0.0703125
399,-0.31936052441596985,-0.19605585932731628,4459.68310546875,0.0859375
449,-0.3831745982170105,-0.25947999954223633,4473.78759765625,0.1015625
499,-0.29005885124206543,-0.1675080955028534,4432.41650390625,0.0625
549,-0.2663995623588562,-0.1447540819644928,4399.6748046875,0.046875
599,-0.3295823335647583,-0.20808586478233337,4394.28466796875,0.078125
649,-0.3291356563568115,-0.209140807390213,4339.9736328125,0.109375
699,-0.3572959899902344,-0.23710159957408905,4347.19091796875,0.09375
749,-0.4250306487083435,-0.30493032932281494,4343.7890625,0.15625
799,-0.26000887155532837,-0.14053404331207275,4321.1650390625,0.0546875
849,-0.41387295722961426,-0.2961459755897522,4257.94921875,0.1328125
899,-0.35137444734573364,-0.23481741547584534,4215.634765625,0.109375
949,-0.29218512773513794,-0.1765158772468567,4183.52490234375,0.078125
999,-0.3524168133735657,-0.2374826967716217,4156.9375,0.09375
0,-0.3411322236061096,-0.22612789273262024,4159.4765625,0.078125
49,-0.3873730003833771,-0.27088427543640137,4213.1630859375,0.1171875
99,-0.26328009366989136,-0.14690294861793518,4209.12939453125,0.0625
149,-0.34659942984580994,-0.22957706451416016,4232.46484375,0.078125
199,-0.38406991958618164,-0.2672629952430725,4224.673828125,0.1328125
249,-0.33980613946914673,-0.22404950857162476,4186.68603515625,0.0703125
299,-0.25322121381759644,-0.13677990436553955,4211.44921875,0.0625
349,-0.3206191062927246,-0.20398017764091492,4218.5966796875,0.0859375
399,-0.3005908131599426,-0.18497616052627563,4181.55078125,0.1015625
449,-0.31984376907348633,-0.20554131269454956,4134.091796875,0.0703125
499,-0.27629220485687256,-0.16250237822532654,4115.5498046875,0.046875
549,-0.2538232207298279,-0.14233247935771942,4032.3974609375,0.046875
599,-0.31221842765808105,-0.19930729269981384,4083.77001953125,0.0546875
649,-0.31443941593170166,-0.20318730175495148,4023.765625,0.0703125
699,-0.34590286016464233,-0.23525702953338623,4001.8388671875,0.109375
749,-0.4295874536037445,-0.31979820132255554,3970.858154296875,0.1640625
799,-0.2543351352214813,-0.14569446444511414,3929.315673828125,0.046875
849,-0.3923313319683075,-0.2842256426811218,3909.96728515625,0.1015625
899,-0.3309059739112854,-0.2232045829296112,3895.3447265625,0.1328125
949,-0.2657051086425781,-0.1597624272108078,3831.734375,0.0703125
999,-0.3673863112926483,-0.2621227204799652,3807.173828125,0.1171875
0,-0.3227696418762207,-0.21775150299072266,3798.29638671875,0.1015625
49,-0.38562214374542236,-0.2797946333885193,3827.56982421875,0.125
99,-0.259631872177124,-0.15556885302066803,3763.7509765625,0.0546875
149,-0.32119667530059814,-0.21779514849185944,3739.8271484375,0.09375
199,-0.3667774796485901,-0.2643110156059265,3706.00830078125,0.1015625
249,-0.2918075919151306,-0.1899234652519226,3684.94482421875,0.0703125
299,-0.23068226873874664,-0.12843427062034607,3698.10595703125,0.046875
349,-0.30595073103904724,-0.20259977877140045,3737.996826171875,0.0859375
399,-0.2760776877403259,-0.17376086115837097,3700.595947265625,0.1015625
449,-0.3432523012161255,-0.24284727871418,3631.44873046875,0.078125
499,-0.2563372254371643,-0.1557420790195465,3638.32470703125,0.078125
549,-0.2336338758468628,-0.13474798202514648,3576.504638671875,0.046875
599,-0.3015163242816925,-0.20316320657730103,3557.236328125,0.0625
649,-0.29664304852485657,-0.19841356575489044,3552.763427734375,0.09375
699,-0.33083969354629517,-0.2336578071117401,3514.8740234375,0.109375
749,-0.4098939001560211,-0.312933087348938,3506.87890625,0.15625
799,-0.23766952753067017,-0.14040687680244446,3517.7958984375,0.0546875
849,-0.3893129825592041,-0.2943529486656189,3434.51416015625,0.1171875
899,-0.3135630488395691,-0.21718724071979523,3485.72021484375,0.1171875
949,-0.2692168951034546,-0.17229720950126648,3505.390380859375,0.0546875
999,-0.3224668800830841,-0.2272571325302124,3443.54638671875,0.09375
0,-0.29870688915252686,-0.20413771271705627,3420.37890625,0.0859375
49,-0.34185588359832764,-0.24757346510887146,3410.0068359375,0.1171875
99,-0.23887035250663757,-0.14605951309204102,3356.7822265625,0.0546875
149,-0.3032035827636719,-0.21178552508354187,3306.409423828125,0.078125
199,-0.3757486343383789,-0.284717857837677,3292.400146484375,0.125
249,-0.30198705196380615,-0.2116834670305252,3266.100341796875,0.0859375
299,-0.22774909436702728,-0.13708066940307617,3279.2958984375,0.0546875
349,-0.29292017221450806,-0.20191389322280884,3291.5146484375,0.078125
399,-0.28210020065307617,-0.1922127902507782,3251.04736328125,0.1171875
449,-0.309576153755188,-0.21982568502426147,3246.09521484375,0.078125
499,-0.2536603510379791,-0.16460886597633362,3220.81396484375,0.0703125
549,-0.23949456214904785,-0.1513364315032959,3188.50244140625,0.0546875
599,-0.268859326839447,-0.18125015497207642,3168.648681640625,0.0625
649,-0.2941957116127014,-0.20804151892662048,3116.025390625,0.109375
699,-0.3110916316509247,-0.2256486713886261,3090.301025390625,0.1015625
749,-0.3909820020198822,-0.30598902702331543,3074.025634765625,0.171875
