communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.5298235416412354,0.8836817145347595,-0.5316045880317688,0.8803362250328064
2,1,-0.21232762932777405,0.9072107672691345,-0.2228950411081314,0.8990267515182495
4,2,-0.2053409069776535,0.9092844724655151,-0.21611624956130981,0.9002432823181152
6,3,-0.20227336883544922,0.9113304615020752,-0.21408547461032867,0.9005751013755798
8,4,-0.19976328313350677,0.9121875762939453,-0.2126341611146927,0.9009068608283997
10,5,-0.1981077641248703,0.9122428894042969,-0.21069499850273132,0.902012825012207
12,6,-0.1962282657623291,0.9137911796569824,-0.20957043766975403,0.9017916321754456
14,7,-0.1946447193622589,0.9137911796569824,-0.20915377140045166,0.9009068608283997
16,8,-0.19340665638446808,0.9143718481063843,-0.20836840569972992,0.9023445844650269
18,9,-0.19293621182441711,0.9149524569511414,-0.20811134576797485,0.902012825012207
20,10,-0.19185450673103333,0.9147036075592041,-0.20822443068027496,0.9032293558120728
