global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-0.5412095785140991,-0.5315403342247009,349.7188720703125,0.125
0,49,49,-0.3586235046386719,-0.3474976420402527,402.39935302734375,0.1796875
0,99,99,-0.17131412029266357,-0.1580697000026703,479.02398681640625,0.0703125
0,149,149,-0.25043848156929016,-0.2369002401828766,489.65142822265625,0.109375
0,199,199,-0.28348225355148315,-0.2710646986961365,449.117431640625,0.1171875
0,249,249,-0.22979006171226501,-0.21728909015655518,452.1351318359375,0.09375
0,299,299,-0.14160141348838806,-0.129383385181427,441.9021911621094,0.0546875
0,349,349,-0.24892935156822205,-0.236546128988266,447.87640380859375,0.0859375
0,399,399,-0.20812056958675385,-0.19599950313568115,438.39471435546875,0.09375
0,449,449,-0.24974291026592255,-0.23762907087802887,438.1332092285156,0.1015625
0,499,499,-0.1893322914838791,-0.17741504311561584,431.02301025390625,0.078125
0,549,549,-0.16321268677711487,-0.15103590488433838,440.41015625,0.0546875
0,599,599,-0.19911135733127594,-0.18676722049713135,446.46282958984375,0.046875
0,649,649,-0.20682886242866516,-0.19436106085777283,450.9350891113281,0.125
0,699,699,-0.24140867590904236,-0.2289724051952362,449.7948303222656,0.125
0,749,749,-0.2975001931190491,-0.2851261496543884,447.5446472167969,0.15625
0,799,799,-0.17238721251487732,-0.16016733646392822,441.9683837890625,0.078125
0,849,849,-0.3264365792274475,-0.3138731122016907,454.3960266113281,0.1171875
0,899,899,-0.23395687341690063,-0.2216011881828308,446.8804626464844,0.1171875
0,949,949,-0.18768468499183655,-0.17517930269241333,452.2945556640625,0.0625
0,999,999,-0.27886056900024414,-0.26631543040275574,453.7332458496094,0.109375
1,0,1000,-0.20996665954589844,-0.19745472073554993,452.5312194824219,0.078125
1,49,1049,-0.2627222537994385,-0.2502095699310303,452.55859375,0.125
1,99,1099,-0.1383286863565445,-0.12537607550621033,468.4700927734375,0.046875
1,149,1149,-0.21399465203285217,-0.20093071460723877,472.49615478515625,0.09375
1,199,1199,-0.25937366485595703,-0.24662089347839355,461.2423400878906,0.1171875
1,249,1249,-0.21835315227508545,-0.20538674294948578,468.9688720703125,0.0859375
1,299,1299,-0.13539575040340424,-0.12252075970172882,465.66253662109375,0.046875
1,349,1349,-0.22188200056552887,-0.20870061218738556,476.74468994140625,0.0859375
1,399,1399,-0.1883736550807953,-0.1750403195619583,482.2403564453125,0.09375
1,449,1449,-0.23788824677467346,-0.2245265394449234,483.2666015625,0.078125
1,499,1499,-0.18762804567813873,-0.17448905110359192,475.21148681640625,0.0703125
1,549,1549,-0.15141403675079346,-0.13782939314842224,491.3297119140625,0.046875
1,599,1599,-0.198520690202713,-0.18484024703502655,494.794677734375,0.0546875
1,649,1649,-0.19482333958148956,-0.18085196614265442,505.31683349609375,0.078125
1,699,1699,-0.24634358286857605,-0.2323828786611557,504.93096923828125,0.125
1,749,1749,-0.2916470170021057,-0.2778044044971466,500.659912109375,0.1328125
1,799,1799,-0.15612870454788208,-0.14229027926921844,500.5082092285156,0.046875
1,849,1849,-0.31491994857788086,-0.30074840784072876,512.5563354492188,0.109375
1,899,1899,-0.23457643389701843,-0.22039705514907837,512.8400268554688,0.1328125
1,949,1949,-0.1835755705833435,-0.16916388273239136,521.24169921875,0.0703125
1,999,1999,-0.2738070785999298,-0.2594528794288635,519.1622314453125,0.09375
2,0,2000,-0.21352186799049377,-0.1991947591304779,518.182861328125,0.0859375
2,49,2049,-0.2500952184200287,-0.23579183220863342,517.324951171875,0.125
2,99,2099,-0.1353704333305359,-0.12077756226062775,527.7952880859375,0.0390625
2,149,2149,-0.21281488239765167,-0.19818781316280365,529.03173828125,0.0859375
2,199,2199,-0.2592521905899048,-0.2450585961341858,513.3543701171875,0.1171875
2,249,2249,-0.21411371231079102,-0.19975721836090088,519.24609375,0.1015625
2,299,2299,-0.14041221141815186,-0.12603817880153656,519.8800048828125,0.046875
2,349,2349,-0.21543049812316895,-0.20072492957115173,531.8716430664062,0.078125
2,399,2399,-0.20086337625980377,-0.1863032579421997,526.6102294921875,0.09375
2,449,2449,-0.23801271617412567,-0.22356098890304565,522.6895751953125,0.0703125
2,499,2499,-0.18734169006347656,-0.17315730452537537,513.0205078125,0.0703125
2,549,2549,-0.14161163568496704,-0.12713907659053802,523.4434814453125,0.046875
2,599,2599,-0.19703438878059387,-0.1823996603488922,529.30908203125,0.046875
2,649,2649,-0.20036132633686066,-0.18525870144367218,546.2318115234375,0.1171875
2,699,2699,-0.2375515103340149,-0.22268691658973694,537.6222534179688,0.109375
2,749,2749,-0.2915719151496887,-0.27680540084838867,534.0758056640625,0.140625
2,799,2799,-0.1565217226743698,-0.1417788565158844,533.219970703125,0.046875
2,849,2849,-0.3041076064109802,-0.28927046060562134,536.6285400390625,0.109375
2,899,2899,-0.23145470023155212,-0.21654070913791656,539.4094848632812,0.1171875
2,949,2949,-0.18260017037391663,-0.16760781407356262,542.242919921875,0.0625
2,999,2999,-0.2672732472419739,-0.25230804085731506,541.26171875,0.09375
3,0,3000,-0.20405960083007812,-0.18913808465003967,539.6819458007812,0.078125
3,49,3049,-0.249386727809906,-0.2344161421060562,541.456298828125,0.1171875
3,99,3099,-0.14005494117736816,-0.12485834211111069,549.6307373046875,0.0390625
3,149,3149,-0.2070748507976532,-0.19196045398712158,546.6575927734375,0.078125
3,199,3199,-0.25314491987228394,-0.23832309246063232,536.075927734375,0.109375
3,249,3249,-0.21514835953712463,-0.20017197728157043,541.665771484375,0.09375
3,299,3299,-0.14502468705177307,-0.1302044540643692,536.0181274414062,0.046875
3,349,3349,-0.2022789716720581,-0.1870797574520111,549.7256469726562,0.078125
3,399,3399,-0.2049921154975891,-0.18988624215126038,546.349853515625,0.0859375
3,449,3449,-0.23720955848693848,-0.22219884395599365,542.9080810546875,0.078125
3,499,3499,-0.18384003639221191,-0.16922128200531006,528.7313232421875,0.0703125
3,549,3549,-0.14378948509693146,-0.1288701593875885,539.6024780273438,0.0390625
3,599,3599,-0.19783909618854523,-0.18287263810634613,541.306884765625,0.0546875
3,649,3649,-0.19809043407440186,-0.18269093334674835,556.9689331054688,0.09375
3,699,3699,-0.23916012048721313,-0.22393664717674255,550.6032104492188,0.109375
3,749,3749,-0.28876566886901855,-0.2737191319465637,544.2034912109375,0.15625
3,799,3799,-0.15360012650489807,-0.1385524868965149,544.242919921875,0.0390625
3,849,3849,-0.29396677017211914,-0.2789471447467804,543.2302856445312,0.1015625
3,899,3899,-0.23186944425106049,-0.21655632555484772,553.8446655273438,0.109375
3,949,3949,-0.1872682422399521,-0.17182651162147522,558.4965209960938,0.0703125
3,999,3999,-0.262570858001709,-0.24728737771511078,552.7725830078125,0.1015625
4,0,4000,-0.20305198431015015,-0.18779392540454865,551.8533935546875,0.09375
4,49,4049,-0.2542475461959839,-0.23889800906181335,555.1614990234375,0.125
4,99,4099,-0.13660942018032074,-0.12102113664150238,563.796875,0.0390625
4,149,4149,-0.21634197235107422,-0.20086365938186646,559.8192138671875,0.09375
4,199,4199,-0.25266528129577637,-0.23743540048599243,550.8348999023438,0.1015625
4,249,4249,-0.21823935210704803,-0.2030836045742035,548.1533203125,0.09375
4,299,4299,-0.14359083771705627,-0.1283908188343048,549.7545166015625,0.046875
4,349,4349,-0.20966783165931702,-0.19405630230903625,564.6377563476562,0.0625
4,399,4399,-0.21492114663124084,-0.1994558423757553,559.3492431640625,0.1015625
4,449,4449,-0.22763267159461975,-0.2122950255870819,554.7316284179688,0.078125
4,499,4499,-0.18458698689937592,-0.16962000727653503,541.3258056640625,0.0703125
4,549,4549,-0.1389254778623581,-0.12370815873146057,550.3799438476562,0.0390625
4,599,4599,-0.19280165433883667,-0.17742347717285156,556.1983032226562,0.046875
4,649,4649,-0.20598287880420685,-0.19007977843284607,575.1834716796875,0.109375
4,699,4699,-0.22840455174446106,-0.21294865012168884,559.009033203125,0.0859375
4,749,4749,-0.29552775621414185,-0.27994346618652344,563.6525268554688,0.140625
4,799,4799,-0.16163727641105652,-0.1462869644165039,555.1898193359375,0.046875
4,849,4849,-0.298450767993927,-0.28308171033859253,555.86865234375,0.1171875
4,899,4899,-0.21896576881408691,-0.20317226648330688,571.2199096679688,0.109375
4,949,4949,-0.17735472321510315,-0.16150063276290894,573.4107055664062,0.0703125
4,999,4999,-0.2646483778953552,-0.248943492770195,568.0145263671875,0.1015625
5,0,5000,-0.20155394077301025,-0.18596158921718597,563.9442749023438,0.078125
5,49,5049,-0.24901291728019714,-0.23323073983192444,570.81005859375,0.1328125
5,99,5099,-0.13257621228694916,-0.1164824366569519,582.0795288085938,0.0390625
5,149,5149,-0.20404157042503357,-0.18814855813980103,574.8179931640625,0.0703125
5,199,5199,-0.25476062297821045,-0.23909246921539307,566.686767578125,0.1171875
5,249,5249,-0.2112497091293335,-0.19560593366622925,565.8036499023438,0.09375
5,299,5299,-0.14136582612991333,-0.1257150024175644,566.058837890625,0.046875
5,349,5349,-0.20693624019622803,-0.1907486468553543,585.4732055664062,0.0546875
5,399,5399,-0.21741163730621338,-0.20147845149040222,576.2708740234375,0.1015625
5,449,5449,-0.2293936312198639,-0.21361050009727478,570.8441162109375,0.078125
5,499,5499,-0.18328505754470825,-0.16783854365348816,558.669677734375,0.0703125
5,549,5549,-0.1372535675764084,-0.12158480286598206,566.7080078125,0.03125
5,599,5599,-0.19965031743049622,-0.1839643120765686,567.3314208984375,0.0546875
5,649,5649,-0.20231831073760986,-0.185995414853096,590.3661499023438,0.09375
5,699,5699,-0.2280603051185608,-0.21214279532432556,575.7042236328125,0.109375
5,749,5749,-0.2987695038318634,-0.28279536962509155,577.751953125,0.140625
5,799,5799,-0.1578913927078247,-0.1421157717704773,570.5724487304688,0.046875
5,849,5849,-0.28936129808425903,-0.2734588384628296,575.1603393554688,0.1171875
5,899,5899,-0.22636198997497559,-0.21006886661052704,589.2901000976562,0.1015625
5,949,5949,-0.17958416044712067,-0.1632155478000641,592.02001953125,0.0703125
5,999,5999,-0.2543438673019409,-0.2382563352584839,581.854248046875,0.09375
6,0,6000,-0.19671043753623962,-0.1805877387523651,583.126220703125,0.078125
6,49,6049,-0.2437136173248291,-0.2273784875869751,590.8092041015625,0.125
6,99,6099,-0.1373445838689804,-0.12079299241304398,598.6381225585938,0.0390625
6,149,6149,-0.21534913778305054,-0.19901826977729797,590.6544799804688,0.0859375
6,199,6199,-0.2536255121231079,-0.23745937645435333,584.697509765625,0.1171875
6,249,6249,-0.21938522160053253,-0.20324257016181946,583.8473510742188,0.09375
6,299,6299,-0.1419578194618225,-0.12579157948493958,584.7010498046875,0.046875
6,349,6349,-0.20445847511291504,-0.187796950340271,602.614013671875,0.0546875
6,399,6399,-0.20852628350257874,-0.19212481379508972,593.2083740234375,0.0859375
6,449,6449,-0.22518391907215118,-0.20902381837368011,584.478271484375,0.0703125
6,499,6499,-0.18607132136821747,-0.1701434850692749,576.0784912109375,0.0625
6,549,6549,-0.13893157243728638,-0.12267439812421799,587.9896240234375,0.0390625
6,599,6599,-0.1953374743461609,-0.1791502684354782,585.458740234375,0.0546875
6,649,6649,-0.2011909931898117,-0.1843843311071396,607.863525390625,0.109375
6,699,6699,-0.22626352310180664,-0.20978261530399323,596.0819091796875,0.0859375
6,749,6749,-0.29841718077659607,-0.2818726897239685,598.3812866210938,0.1484375
6,799,6799,-0.16153760254383087,-0.14532220363616943,586.4786987304688,0.0546875
6,849,6849,-0.2892582416534424,-0.2730060815811157,587.8079833984375,0.109375
6,899,6899,-0.23274070024490356,-0.21613317728042603,600.6609497070312,0.1015625
6,949,6949,-0.1764959692955017,-0.15967512130737305,608.3768920898438,0.0703125
6,999,6999,-0.25720489025115967,-0.24079273641109467,593.5955810546875,0.1015625
7,0,7000,-0.19900910556316376,-0.1826026439666748,593.3887939453125,0.0859375
7,49,7049,-0.238138347864151,-0.2214246392250061,604.5013427734375,0.125
7,99,7099,-0.13998818397521973,-0.12301598489284515,613.8504638671875,0.046875
7,149,7149,-0.2187696397304535,-0.20218336582183838,599.8922729492188,0.0859375
7,199,7199,-0.2593947649002075,-0.24285124242305756,598.3466186523438,0.1171875
7,249,7249,-0.21207734942436218,-0.19568152725696564,593.0043334960938,0.0859375
7,299,7299,-0.14420518279075623,-0.1278548687696457,591.3580932617188,0.046875
7,349,7349,-0.20401319861412048,-0.18701937794685364,614.6326904296875,0.0625
7,399,7399,-0.21217039227485657,-0.1953333020210266,608.96435546875,0.09375
7,449,7449,-0.22214734554290771,-0.20542705059051514,604.7392578125,0.078125
7,499,7499,-0.18665292859077454,-0.1703823357820511,588.4749755859375,0.0703125
7,549,7549,-0.13992318511009216,-0.12330514937639236,601.041015625,0.0390625
7,599,7599,-0.1896573156118393,-0.1731291115283966,597.7919921875,0.046875
7,649,7649,-0.20941993594169617,-0.1922203004360199,622.0765380859375,0.1015625
7,699,7699,-0.2188943326473236,-0.2020614743232727,608.8104248046875,0.09375
7,749,7749,-0.29486069083213806,-0.27815350890159607,604.265380859375,0.1484375
7,799,7799,-0.16451779007911682,-0.148008793592453,597.09716796875,0.0546875
7,849,7849,-0.29470735788345337,-0.2781321704387665,599.4908447265625,0.109375
7,899,7899,-0.23006242513656616,-0.21323388814926147,608.6544189453125,0.109375
7,949,7949,-0.176628977060318,-0.15952447056770325,618.6356811523438,0.0703125
